game,home,away
II1,Forge FC,Cavalry FC
II2,Pacific FC,FC Edmonton
II3,York9 FC,HFX Wanderers FC
II4,York9 FC,Valour FC
II5,Pacific FC,HFX Wanderers FC
II6,Forge FC,Atletico Ottawa
II7,FC Edmonton,Cavalry FC
II8,FC Edmonton,Forge FC
II9,HFX Wanderers FC,Atletico Ottawa
II10,Cavalry FC,York9 FC
II11,Pacific FC,Valour FC
II12,York9 FC,FC Edmonton
II13,Forge FC,HFX Wanderers FC
II14,Valour FC,Atletico Ottawa
II15,Cavalry FC,Pacific FC
II16,York9 FC,Atletico Ottawa
II17,Pacific FC,Forge FC
II18,HFX Wanderers FC,Cavalry FC
II19,Valour FC,FC Edmonton
II20,FC Edmonton,Pacific FC
II21,Forge FC,Valour FC
II22,Atletico Ottawa,HFX Wanderers FC
II23,Cavalry FC,York9 FC
II24,York9 FC,FC Edmonton
II25,Atletico Ottawa,Pacific FC
II26,Cavalry FC,Valour FC
II27,HFX Wanderers FC,Forge FC
II28,Valour FC,HFX Wanderers FC
II29,Forge FC,FC Edmonton
II30,Pacific FC,Cavalry FC
II31,Atletico Ottawa,York9 FC
II32,HFX Wanderers FC,Atletico Ottawa
II33,Pacific FC,Valour FC
II34,Cavalry FC,Valour FC
II35,York9 FC,Forge FC
II36,HFX Wanderers FC,FC Edmonton
II37,Valour FC,Pacific FC
II38,Atletico Ottawa,Cavalry FC
II39,York9 FC,Valour FC
II40,Cavalry FC,Forge FC
II41,FC Edmonton,Atletico Ottawa
II42,Forge FC,Atletico Ottawa
II43,HFX Wanderers FC,Cavalry FC
II44,York9 FC,Pacific FC
II45,FC Edmonton,Valour FC
II46,HFX Wanderers FC,York9 FC
II47,Valour FC,Forge FC
II48,Cavalry FC,FC Edmonton
II49,Pacific FC,Atletico Ottawa
II50,Forge FC,Pacific FC
II51,FC Edmonton,HFX Wanderers FC
II52,Atletico Ottawa,York9 FC
II53,York9 FC,Cavalry FC
II54,Valour FC,Atletico Ottawa
II55,Pacific FC,FC Edmonton
II56,Cavalry FC,Atletico Ottawa
II57,Forge FC,York9 FC
II58,HFX Wanderers FC,Pacific FC
II59,FC Edmonton,Valour FC
II60,Valour FC,Forge FC
II61,York9 FC,Atletico Ottawa
II62,Valour FC,HFX Wanderers FC
II63,FC Edmonton,Cavalry FC
II64,Forge FC,Pacific FC
II65,Cavalry FC,HFX Wanderers FC
II66,FC Edmonton,Atletico Ottawa
II67,Pacific FC,York9 FC
II68,Atletico Ottawa,Cavalry FC
II69,York9 FC,Forge FC
II70,Valour FC,FC Edmonton
II71,HFX Wanderers FC,Pacific FC
II72,York9 FC,HFX Wanderers FC
II73,Atletico Ottawa,Forge FC
II74,Valour FC,Cavalry FC
II75,FC Edmonton,Pacific FC
II76,Pacific FC,HFX Wanderers FC
II77,Atletico Ottawa,Valour FC
II78,FC Edmonton,York9 FC
II79,Cavalry FC,Forge FC
II80,Forge FC,HFX Wanderers FC
II81,Atletico Ottawa,FC Edmonton
II82,Valour FC,York9 FC
II83,Cavalry FC,Pacific FC
II84,HFX Wanderers FC,Valour FC
II85,Pacific FC,Atletico Ottawa
II86,York9 FC,Cavalry FC
II87,FC Edmonton,Forge FC
II88,Atletico Ottawa,HFX Wanderers FC
II89,Valour FC,Pacific FC
II90,Cavalry FC,FC Edmonton
II91,Forge FC,York9 FC
II92,HFX Wanderers FC,Forge FC
II93,York9 FC,Pacific FC
II94,Atletico Ottawa,Forge FC
II95,Valour FC,Cavalry FC
II96,FC Edmonton,HFX Wanderers FC
II97,Forge FC,Valour FC
II98,HFX Wanderers FC,York9 FC
II99,Atletico Ottawa,FC Edmonton
II100,Pacific FC,Cavalry FC
II101,HFX Wanderers FC,Valour FC
II102,Cavalry FC,Atletico Ottawa
II103,FC Edmonton,York9 FC
II104,Pacific FC,Forge FC
II105,Valour FC,York9 FC
II106,Forge FC,FC Edmonton
II107,Cavalry FC,HFX Wanderers FC
II108,Atletico Ottawa,Pacific FC
II109,Forge FC,Cavalry FC
II110,HFX Wanderers FC,FC Edmonton
II111,Atletico Ottawa,Valour FC
II112,Pacific FC,York9 FC
