Rank,GM,optaTeamId,team,leagueId,league,week,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
1,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,3,2,2,1,4,1,0,0,2,0,1,0,1,0,0,0,0,1,2,7,72,10,691,285,324,1.29,1,1,1.09,1,2,1,7,8,20,4,2,40,8,1,1,853,41,6,8,8,25,77.80%,3,2,52,3,1,7,5,2,4,2,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,237,152,464,20,25.90%,88.10%,378,120,111,124,415,0,18.1,4,36.80%,19,0.04,FOR vs EDM,2019-07-06,4ypbcugzi0b9jaqs2xkhvvv56,6925,c2pdzdl3dgf5b0siidn2ay5ii:1052410,FOR vs EDM (2019-07-06)
2,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,4,1,0,1,5,2,0,0,1,0,0,0,0,0,2,1,0,0,5,2,74,39,583,293,177,0.65,0,0,0.53,0,0,2,6,8,35,6,1,50,9,1,0,807,70,6,14,15,44,60.60%,6,1,75,7,2,5,5,2,5,3,1,0,0,0,0,0,0,0,0,0,3,1,1,0,2,0,0,2,3,0,1,1,0,1,0,0,0,1,1,4,5,175,280,352,24,36.90%,80.60%,239,54,177,214,298,0,17.7,13,36.00%,25,0.96,YK9 vs HFX,2019-06-22,4v7kvm443j8j9oc0k0kr5fa7e,15376,cqthcpums3aas2tdy0qhlkuwa:1052401,YK9 vs HFX (2019-06-22)
3,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,6,2,4,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,5,79,16,562,284,183,0.41,0,0,0.28,0,0,0,7,7,25,0,0,57,10,1,1,799,53,5,17,16,52,75.90%,13,2,50,1,1,6,5,1,8,1,0,1,0,1,0,0,1,1,0,0,4,0,0,1,3,1,0,3,3,1,1,2,0,0,1,0,0,1,3,6,12,184,257,358,12,29.50%,83.10%,244,62,161,188,287,0,19.1,7,42.30%,26,1.45,HFX vs YK9,2019-07-06,4yz3ra9ne1a5j97bpncakl6y2,15376,cqthcpums3aas2tdy0qhlkuwa:1052411,HFX vs YK9 (2019-07-06)
4,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,6,4,2,2,0,12,3,0,0,0,0,1,0,1,0,0,0,0,1,5,13,61,34,547,224,228,1.9,1,1,1.62,2,2,1,15,16,24,0,0,52,14,0,0,790,51,7,13,18,57,71.40%,17,7,66,2,1,6,2,0,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,4,17,225,206,359,37,33.10%,82.60%,237,94,121,141,284,0,16.7,8,55.00%,20,0.41,FOR vs YK9,2019-04-27,4ilfbdmlp4zuj7k3cene3m5wq,15382,c2pdzdl3dgf5b0siidn2ay5ii:1052375,FOR vs YK9 (2019-04-27)
5,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,7,3,4,1,3,8,4,0,0,1,0,0,0,0,0,2,0,0,0,6,7,75,9,584,296,204,1.23,0,0,0.84,2,1,1,13,14,22,3,1,60,12,1,0,786,54,2,14,10,30,72.70%,4,1,66,7,1,8,2,3,13,1,0,0,0,0,0,1,2,1,1,0,2,0,0,1,1,0,0,2,1,1,0,1,0,0,1,0,0,2,3,6,11,177,167,442,29,27.70%,85.60%,321,60,119,134,367,0,18.9,6,50.00%,30,1.25,YK9 vs PAC,2019-08-17,57b8spz8wxhzbj03rcqu6cktm,15380,cqthcpums3aas2tdy0qhlkuwa:1052434,YK9 vs PAC (2019-08-17)
6,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,9,7,2,1,2,0,0,0,0,1,0,5,1,6,1,0,1,4,1,6,2,46,31,592,362,153,1.11,6,4,0.68,1,1,0,8,8,19,0,0,60,9,0,0,777,41,7,14,6,35,91.30%,7,3,63,6,3,3,2,7,12,5,0,0,1,0,0,0,2,2,0,0,2,0,0,0,1,0,0,2,1,1,1,1,0,0,1,0,0,2,2,2,10,122,301,354,16,28.50%,87.00%,246,43,226,253,285,0,19.3,2,43.50%,23,1.77,YK9 vs HFX,2019-07-27,53zb6pb4vgyd6ei4nyntxr42y,15376,cqthcpums3aas2tdy0qhlkuwa:1052422,YK9 vs HFX (2019-07-27)
6,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,3,3,0,1,4,6,2,0,0,0,0,1,0,0,1,2,1,0,0,5,1,75,39,573,309,150,1.27,1,1,1.13,2,2,3,7,10,12,0,0,49,6,4,1,777,42,9,10,12,58,79.20%,27,13,71,5,2,6,2,2,6,2,0,0,0,0,0,1,1,1,0,0,3,0,0,1,2,0,0,3,1,2,0,2,0,1,0,0,0,2,1,6,9,129,341,307,13,34.20%,80.10%,183,53,223,275,233,0,21.2,5,48.30%,29,1.29,HFX vs PAC,2019-10-09,5m1xy5ksfqgdrzx3gtiaqka5m,15376,b3436h8h14zw7f1uv6w9vqf6y:1052466,HFX vs PAC (2019-10-09)
8,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,3,0,3,1,1,3,2,0,0,1,0,0,1,1,0,0,0,0,1,2,4,57,20,596,315,204,0.32,1,1,0.13,0,0,0,4,4,21,1,0,44,12,0,0,773,52,4,13,7,30,70.80%,6,3,51,1,0,5,3,2,6,2,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,161,209,403,12,30.20%,87.10%,302,67,150,171,341,0,16,7,23.50%,17,0.63,PAC vs EDM,2019-06-23,4wd6d6al3htq8jwxk4z9b2e0a,6925,b3436h8h14zw7f1uv6w9vqf6y:1052403,PAC vs EDM (2019-06-23)
9,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,7,4,3,3,3,7,2,0,0,0,0,1,1,2,0,4,2,0,2,3,5,59,26,565,314,166,1.04,2,2,0.97,0,0,3,15,18,27,0,0,62,20,0,0,767,46,3,10,26,51,48.10%,11,6,57,3,2,2,1,3,8,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,115,271,381,28,32.70%,85.00%,258,34,188,220,297,0,20.1,14,68.00%,25,0.84,YK9 vs PAC,2019-07-17,51pa1nt9iwnwq8tabekwbu2cq,15380,cqthcpums3aas2tdy0qhlkuwa:1052416,YK9 vs PAC (2019-07-17)
10,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,4,3,1,1,5,7,1,0,0,0,0,0,0,0,0,1,2,0,0,4,4,87,20,531,246,178,1.07,0,0,0.99,1,1,1,13,14,30,1,1,73,22,0,0,756,74,7,15,18,53,62.90%,13,8,63,4,7,8,1,3,9,1,0,0,1,0,0,1,2,2,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0,13,171,253,332,17,36.70%,79.80%,210,52,162,197,254,0,20,13,40.50%,42,1.52,PAC vs YK9,2019-09-12,5d9hwavq8j3gubsel8yg8797u,15382,b3436h8h14zw7f1uv6w9vqf6y:1052449,PAC vs YK9 (2019-09-12)
