image,flag,number,position,overall,first,last,link
Nathan-Ingham.jpg,Canada.png,1,g,0.93,Nathan,Ingham,https://en.wikipedia.org/wiki/Nathan_Ingham
Mélé-Temguia.jpg,Germany.png,8,d,0.96,Mélé,Temguia,https://en.wikipedia.org/wiki/Mélé_Temguia
Luca-Gasparotto.jpg,Canada.png,13,d,0.92,Luca,Gasparotto,https://en.wikipedia.org/wiki/Luca_Gasparotto
André-Bona.jpg,France.png,3,d,0.92,André,Bona,https://en.wikipedia.org/wiki/André_Bona
Marco-Bustos.jpg,Canada.png,22,m,0.9,Marco,Bustos,https://en.wikipedia.org/wiki/Marco_Bustos
Tristan-Borges.jpg,Canada.png,4,m,0.89,Tristan,Borges,https://en.wikipedia.org/wiki/Tristan_Borges
Julian-Buscher.jpg,Germany.png,8,m,0.87,Julian,Büscher,https://en.wikipedia.org/wiki/Julian_Büscher
Ryan-Telfer.jpg,Canada.png,18,m,0.78,Ryan,Telfer,https://en.wikipedia.org/wiki/Ryan_Telfer
Kyle-Bekker.jpg,Canada.png,3,m,0.77,Kyle,Bekker,https://en.wikipedia.org/wiki/Kyle_Bekker
Terran-Campbell.jpg,Canada.png,14,f,0.79,Terran,Campbell,https://en.wikipedia.org/wiki/Terran_Campbell
Mohamed-Kourouma.jpg,Canada.png,12,f,0.77,Mohamed,Kourouma,https://en.wikipedia.org/wiki/Mohamed_Kourouma_(soccer)
