team,name,number,position,minutes,tackles,tackles won,clearances,interceptions,duels,duels won,overall
FC Edmonton,Mélé Temguia,8,d,2430.0,61.0,41.0,82.0,51.0,244.0,140.0,0.87
HFX Wanderers FC,André Bona,3,d,2053.0,66.0,50.0,76.0,32.0,257.0,150.0,0.84
York9 FC,Luca Gasparotto,13,d,2520.0,31.0,24.0,117.0,49.0,254.0,182.0,0.83
Cavalry FC,Dominick Zator,4,d,2335.0,46.0,32.0,75.0,51.0,265.0,169.0,0.83
York9 FC,Diyaeddine Abzi,20,d,1814.0,48.0,35.0,31.0,48.0,267.0,134.0,0.72
Forge FC,Kwame Awuah,2,d,1885.0,57.0,40.0,17.0,39.0,258.0,124.0,0.71
Forge FC,Daniel Krutzen,10,d,2381.0,48.0,24.0,85.0,42.0,186.0,110.0,0.71
Pacific FC,Kadin Chung,7,d,2032.0,57.0,42.0,42.0,31.0,203.0,111.0,0.69
HFX Wanderers FC,Matthew Arnone,23,d,2094.0,31.0,20.0,99.0,49.0,170.0,106.0,0.67
HFX Wanderers FC,Ndzemdzela Langwa,20,d,1281.0,65.0,47.0,20.0,14.0,272.0,154.0,0.67
Cavalry FC,Nathan Mavila,3,d,1952.0,51.0,32.0,42.0,20.0,257.0,134.0,0.66
York9 FC,Morey Doner,3,d,2250.0,40.0,27.0,35.0,32.0,239.0,145.0,0.66
Forge FC,Dominic Samuel,22,d,2044.0,38.0,26.0,74.0,30.0,206.0,116.0,0.65
HFX Wanderers FC,Peter Schaale,2,d,1530.0,42.0,29.0,100.0,24.0,177.0,107.0,0.63
Valour FC,Skylar Thomas,3,d,1894.0,37.0,24.0,102.0,23.0,187.0,113.0,0.63
Valour FC,Martín Arguiñarena,6,d,1534.0,56.0,35.0,18.0,35.0,181.0,118.0,0.62
FC Edmonton,Allan Zebie,4,d,1970.0,45.0,34.0,31.0,27.0,199.0,103.0,0.61
Valour FC,Jordan Murrell,4,d,1784.0,45.0,27.0,63.0,26.0,186.0,107.0,0.61
Pacific FC,Blake Smith,4,d,2004.0,35.0,26.0,53.0,43.0,155.0,87.0,0.6
FC Edmonton,Amer Didic,55,d,1650.0,29.0,20.0,109.0,25.0,152.0,105.0,0.58
FC Edmonton,Ramón Soria,5,d,2011.0,38.0,24.0,26.0,32.0,145.0,79.0,0.52
FC Edmonton,Jeannot Esua,3,d,1799.0,23.0,18.0,40.0,33.0,174.0,108.0,0.52
Pacific FC,Lukas MacNaughton,14,d,1704.0,19.0,14.0,95.0,29.0,136.0,77.0,0.51
Forge FC,Bertrand Owundi,16,d,1757.0,19.0,13.0,91.0,24.0,132.0,72.0,0.48
Valour FC,Raphaël Garcia,2,d,943.0,55.0,36.0,20.0,9.0,137.0,77.0,0.46
York9 FC,Daniel Gogarty,2,d,1551.0,29.0,19.0,40.0,21.0,108.0,62.0,0.42
Valour FC,Adam Mitter,15,d,1513.0,17.0,13.0,50.0,29.0,123.0,64.0,0.42
HFX Wanderers FC,Chrisnovic N'sa,6,d,1217.0,25.0,17.0,44.0,25.0,114.0,71.0,0.41
HFX Wanderers FC,Alex De Carolis,24,d,1246.0,34.0,21.0,34.0,14.0,133.0,62.0,0.4
Pacific FC,Emile Legault,20,d,915.0,31.0,22.0,41.0,21.0,103.0,61.0,0.39
Cavalry FC,Jonathan Wheeldon,14,d,1407.0,16.0,12.0,70.0,14.0,102.0,62.0,0.38
Pacific FC,Hendrik Starostzik,16,d,1161.0,13.0,11.0,72.0,25.0,82.0,48.0,0.36
Forge FC,Jonathan Grant,8,d,822.0,30.0,22.0,15.0,13.0,120.0,55.0,0.34
FC Edmonton,Kareem Moses,12,d,970.0,24.0,15.0,26.0,14.0,109.0,80.0,0.34
Cavalry FC,Mason Trafford,5,d,1801.0,11.0,5.0,56.0,14.0,86.0,48.0,0.33
York9 FC,Justin Springer,5,d,945.0,20.0,13.0,47.0,10.0,72.0,51.0,0.3
HFX Wanderers FC,Duran Lee,16,d,678.0,28.0,24.0,21.0,9.0,70.0,40.0,0.29
Cavalry FC,Dean Northover,12,d,609.0,20.0,13.0,10.0,15.0,91.0,52.0,0.26
Pacific FC,Ryan McCurdy,3,d,744.0,13.0,8.0,35.0,13.0,59.0,42.0,0.24
York9 FC,Roger Thompson,6,d,802.0,9.0,4.0,40.0,15.0,67.0,36.0,0.23
Valour FC,Yohan Le Bourhis,25,d,720.0,12.0,9.0,41.0,5.0,61.0,29.0,0.21
HFX Wanderers FC,Zachary Sukunda,25,d,841.0,9.0,7.0,11.0,7.0,78.0,31.0,0.19
York9 FC,Steven Furlano,77,d,517.0,15.0,9.0,6.0,10.0,62.0,28.0,0.18
Forge FC,Klaidi Cela,16,d,326.0,14.0,6.0,18.0,5.0,55.0,34.0,0.16
Forge FC,David Edgar,30,d,744.0,9.0,3.0,26.0,8.0,37.0,21.0,0.16
Forge FC,Monti Mohsen,11,d,363.0,9.0,5.0,6.0,5.0,62.0,26.0,0.13
HFX Wanderers FC,Chakib Hocine,4,d,352.0,2.0,2.0,12.0,8.0,18.0,9.0,0.08
Pacific FC,Marcel de Jong,8,d,50.0,3.0,3.0,2.0,0.0,7.0,5.0,0.03
Forge FC,Oluwaseun Oyegunle,15,d,38.0,1.0,0.0,1.0,1.0,3.0,2.0,0.01
