team,name,number,position,minutes,clean sheets,saves,shots faced,claimed crosses,overall
York9 FC,Nathan Ingham,1,g,2340.0,6.0,88.0,122.0,17.0,0.93
Cavalry FC,Marco Carducci,1,g,2160.0,9.0,65.0,81.0,11.0,0.79
Forge FC,Triston Henry,9,g,1890.0,8.0,53.0,70.0,12.0,0.72
FC Edmonton,Connor James,1,g,1980.0,6.0,67.0,91.0,9.0,0.71
Pacific FC,Mark Village,1,g,1440.0,4.0,47.0,69.0,10.0,0.55
Valour FC,Tyson Farago,1,g,1440.0,2.0,47.0,77.0,13.0,0.55
HFX Wanderers FC,Christian Oxner,50,g,1489.0,5.0,41.0,56.0,10.0,0.54
Pacific FC,Nolan Wirth,6,g,1080.0,1.0,59.0,83.0,6.0,0.46
Valour FC,Mathias Janssens,26,g,1080.0,4.0,43.0,65.0,0.0,0.39
HFX Wanderers FC,Jan-Michael Williams,21,g,1028.0,2.0,40.0,59.0,4.0,0.37
Forge FC,Quillan Roberts,17,g,720.0,4.0,27.0,36.0,2.0,0.29
Cavalry FC,Nikolas Giantsopoulos,22,g,450.0,2.0,21.0,25.0,1.0,0.18
FC Edmonton,Dylon Powley,13,g,540.0,1.0,20.0,29.0,2.0,0.18
York9 FC,Colm Vance,31,g,90.0,0.0,4.0,6.0,3.0,0.06
York9 FC,Matthew Silva,1,g,90.0,0.0,0.0,1.0,0.0,0.01
