team,name,number,position,minutes,goals,assists,touches,passes,pass-acc,crosses,cross-acc,chances,duels,tackles,overall,new_overall
CFC,Julian Büscher,8,m,18.6,0.2,0.7,0.8,0.6,0.0,0.9,0.0,0.7,0.6,0.3,0.87,0.9
FFC,Tristan Borges,4,m,20.9,0.5,0.7,0.7,0.4,0.0,0.6,0.0,0.7,0.7,0.3,0.9,0.86
CFC,Carlos Patiño,20,m,3.6,0.0,1.0,0.7,0.4,0.1,1.0,0.0,0.5,0.7,0.2,0.27,0.86
Y9,Ryan Telfer,18,m,24.6,0.2,0.0,0.7,0.4,0.0,1.0,0.0,1.0,0.6,0.2,0.79,0.75
CFC,José Escalante,11,m,17.7,0.2,0.7,0.5,0.3,0.0,1.0,0.0,0.6,0.5,0.2,0.62,0.73
HFX,Kodai Iida,9,m,13.1,0.1,0.7,0.5,0.3,0.0,0.3,1.0,0.6,0.4,0.1,0.52,0.73
Y9,Emmanuel Zambazis,14,m,3.1,0.0,1.0,1.0,1.0,0.1,0.0,0.0,0.2,0.4,0.2,0.26,0.71
FFC,Justin Stoddart,20,m,0.2,0.0,0.0,0.5,0.4,1.0,0.0,0.0,0.0,1.0,1.0,0.06,0.71
PFC,Victor Blasco,19,m,17.6,0.2,0.7,0.6,0.4,0.0,0.4,0.0,0.6,0.8,0.2,0.72,0.71
FFC,Kyle Bekker,3,m,26.2,0.2,0.7,0.7,0.6,0.0,0.6,0.0,0.6,0.3,0.1,0.77,0.69
PFC,Ben Fisk,21,m,18.5,0.2,1.0,0.5,0.4,0.0,0.5,0.0,0.6,0.3,0.2,0.69,0.67
VFC,Michael Petrasso,9,m,14.5,0.3,1.0,0.5,0.3,0.0,0.4,0.0,0.6,0.4,0.1,0.6,0.65
Y9,Kyle Porter,19,m,21.3,0.1,0.7,0.6,0.4,0.0,0.6,0.0,0.6,0.4,0.2,0.65,0.65
PFC,Zach Verhoven,16,m,14.3,0.1,0.3,0.7,0.3,0.0,0.6,0.0,0.5,0.7,0.3,0.43,0.63
Y9,Manuel Aparicio,10,m,24.0,0.1,0.3,0.8,0.6,0.0,0.3,0.0,0.6,0.6,0.2,0.64,0.63
FCE,Edem Mortotsi,6,m,9.8,0.0,0.7,0.7,0.6,0.0,0.3,0.0,0.4,0.5,0.2,0.29,0.61
CFC,Sergio Camargo,10,m,13.0,0.4,0.7,0.5,0.3,0.0,0.2,0.0,0.6,0.4,0.1,0.67,0.57
VFC,Louis Béland-Goyette,5,m,19.7,0.1,0.7,0.6,0.5,0.0,0.1,0.0,0.5,0.4,0.3,0.64,0.57
CFC,Elijah Adekugbe,16,m,17.5,0.1,0.7,0.7,0.7,0.0,0.1,0.0,0.3,0.4,0.2,0.67,0.57
VFC,Marco Bustos,22,m,25.0,0.2,0.3,0.6,0.4,0.0,0.4,0.0,0.6,0.5,0.1,0.91,0.55
FFC,David Choinière,5,m,10.8,0.1,0.7,0.6,0.4,0.0,0.2,0.0,0.3,0.5,0.2,0.45,0.53
VFC,Ali Musse,23,m,8.2,0.2,0.7,0.5,0.3,0.0,0.3,0.0,0.4,0.5,0.1,0.35,0.53
FCE,Yong-Chan Son,7,m,10.6,0.0,0.3,0.6,0.4,0.0,0.4,0.0,0.6,0.4,0.3,0.27,0.52
CFC,Nikolas Ledgerwood,6,m,13.6,0.2,0.3,0.6,0.4,0.0,0.4,0.0,0.4,0.4,0.3,0.35,0.52
VFC,Dylan Sacramento,7,m,12.6,0.1,0.3,0.6,0.5,0.0,0.2,0.0,0.5,0.5,0.2,0.33,0.5
FCE,Tony Tchani,22,m,2.1,0.0,0.0,0.9,0.8,0.1,0.1,0.0,0.2,0.7,0.1,0.22,0.5
Y9,Joseph Di Chiara,8,m,19.5,0.1,0.3,0.7,0.6,0.0,0.0,0.0,0.3,0.5,0.3,0.46,0.48
Y9,Wataru Murofushi,23,m,19.1,0.2,0.0,0.7,0.7,0.0,0.1,0.0,0.5,0.4,0.2,0.45,0.48
VFC,Diego Gutiérrez,8,m,17.8,0.0,0.3,0.7,0.6,0.0,0.1,0.0,0.4,0.4,0.2,0.41,0.46
CFC,Joel Waterman,15,m,19.1,0.1,0.3,0.8,0.7,0.0,0.0,0.0,0.2,0.4,0.2,0.45,0.46
PFC,Ahmed Alghamdi,13,m,3.7,0.2,0.0,0.8,0.7,0.1,0.0,0.0,0.2,0.5,0.2,0.26,0.46
