rank,team,name,position,number,minutes,assists
1,Pacific FC,Blake Smith,d,4,2004,5
2,Valour FC,Michael Petrasso,m,9,1301,5
3,Pacific FC,Ben Fisk,m,21,1662,5
4,Forge FC,Tristan Borges,m,4,1884,5
5,Forge FC,Kyle Bekker,m,3,2354,5
6,Forge FC,Kwame Awuah,d,2,1885,5
7,York9 FC,Diyaeddine Abzi,d,20,1814,4
8,York9 FC,Morey Doner,d,3,2250,4
9,York9 FC,Kyle Porter,m,19,1916,4
10,Cavalry FC,Elijah Adekugbe,m,16,1575,4
11,Cavalry FC,José Escalante,m,11,1592,4
12,Cavalry FC,Julian Büscher,m,8,1678,4
13,Pacific FC,Victor Blasco,m,19,1586,3
14,FC Edmonton,Amer Didic,d,55,1650,3
15,Forge FC,Anthony Novak,f,23,1027,3
16,Cavalry FC,Sergio Camargo,m,10,1171,3
17,FC Edmonton,Ramón Soria,d,5,2011,3
18,Cavalry FC,Nico Pasquotti,f,17,1853,3
19,HFX Wanderers FC,Mohamed Kourouma,f,12,1988,3
20,Forge FC,Marcel Zajac,f,9,1073,3
21,Valour FC,Louis Béland-Goyette,m,5,1772,3
22,Valour FC,Marco Bustos,m,22,2249,3
23,Valour FC,Dylan Carreiro,m,10,1441,2
24,FC Edmonton,Oumar Diouck,f,45,1977,2
25,Pacific FC,Zach Verhoven,m,16,1285,2
26,Valour FC,Michele Paolucci,f,17,1139,2
27,FC Edmonton,Jeannot Esua,d,3,1799,2
28,Forge FC,Emery Welshman,f,14,932,2
29,Valour FC,Raphaël Garcia,d,2,943,2
30,Forge FC,Chris Nanco,f,13,1429,2
31,Forge FC,Daniel Krutzen,d,10,2381,2
32,Valour FC,Ali Musse,m,23,740,2
33,Forge FC,David Choinière,m,5,975,2
34,Pacific FC,Alexander González,m,28,1746,2
35,Forge FC,Alexander Achinioti-Jönsson,m,1,1671,2
36,HFX Wanderers FC,Kodai Iida,m,9,1180,2
37,Pacific FC,Kadin Chung,d,7,2032,2
38,FC Edmonton,Edem Mortotsi,m,6,881,2
39,FC Edmonton,Easton Ongaro,f,19,1167,2
40,York9 FC,Steven Furlano,d,77,517,2
41,Cavalry FC,Malyk Hamilton,f,21,1275,2
42,Cavalry FC,Dominick Zator,d,4,2335,2
43,Pacific FC,Terran Campbell,f,14,2334,2
44,York9 FC,Manny Aparicio,m,10,2159,2
45,Cavalry FC,Joel Waterman,m,15,1719,2
46,York9 FC,Simon Karlsson Adjei,f,12,1422,2
47,Pacific FC,Jose Hernandez,f,15,652,2
48,York9 FC,Emilio Estevez,m,11,627,1
49,York9 FC,Ryan Telfer,m,18,2216,1
50,Valour FC,Skylar Thomas,d,3,1894,1
51,HFX Wanderers FC,Tomasz Skublak,f,17,1389,1
52,Cavalry FC,Jordan Brown,f,9,1324,1
53,HFX Wanderers FC,Peter Schaale,d,2,1530,1
54,York9 FC,Stefan Lamanna,f,21,77,1
55,HFX Wanderers FC,Andre Rampersad,m,18,2003,1
56,Forge FC,Klaidi Cela,d,16,326,1
57,Valour FC,Martín Arguiñarena,d,6,1534,1
58,Cavalry FC,Dominique Malonga,f,19,1871,1
59,Valour FC,Dylan Sacramento,m,7,1135,1
60,HFX Wanderers FC,Elton John,m,5,1435,1
61,Cavalry FC,Carlos Patiño,m,20,320,1
62,Pacific FC,Noah Verhoeven,m,23,1850,1
63,Valour FC,Diego Gutiérrez,m,8,1605,1
64,Forge FC,Dominic Samuel,d,22,2044,1
65,Cavalry FC,Oliver Minatel,f,7,1450,1
66,FC Edmonton,Randy Edwini-Bonsu,f,11,363,1
67,York9 FC,Joseph Di Chiara,m,8,1755,1
68,FC Edmonton,Yong-Chan Son,m,7,952,1
69,FC Edmonton,Ajeej Sarkaria,f,9,566,1
70,York9 FC,Austin Ricci,f,7,199,1
71,Forge FC,Kadell Thomas,f,30,542,1
72,HFX Wanderers FC,Luis Alberto Perea,f,10,1014,1
73,FC Edmonton,Prince Amanda,f,16,137,1
74,Forge FC,Elimane Cissé,m,6,1701,1
75,Cavalry FC,Nik Ledgerwood,m,6,1227,1
76,Cavalry FC,Nathan Mavila,d,3,1952,1
77,York9 FC,Emmanuel Zambazis,m,14,277,1
78,Forge FC,Jonathan Grant,d,8,822,1
79,FC Edmonton,Marcus Velado-Tsegaye,f,17,487,1
