rank,team,name,position,number,minutes,goals
1,Forge FC,Tristan Borges,m,4,1884.0,13.0
2,Cavalry FC,Dominique Malonga,f,19,1871.0,11.0
3,Pacific FC,Terran Campbell,f,14,2334.0,11.0
4,FC Edmonton,Easton Ongaro,f,19,1167.0,10.0
5,York9 FC,Rodrigo Gattas,f,22,1958.0,9.0
6,York9 FC,Ryan Telfer,m,18,2216.0,8.0
7,Cavalry FC,Oliver Minatel,f,7,1450.0,7.0
8,Valour FC,Marco Bustos,m,22,2249.0,7.0
9,York9 FC,Simon Karlsson Adjei,f,12,1422.0,7.0
10,HFX Wanderers FC,Akeem Garcia,m,11,2082.0,7.0
11,FC Edmonton,Oumar Diouck,f,45,1977.0,6.0
12,Pacific FC,Ben Fisk,m,21,1662.0,6.0
13,Pacific FC,Victor Blasco,m,19,1586.0,6.0
14,Cavalry FC,Sergio Camargo,m,10,1171.0,6.0
15,Forge FC,Anthony Novak,f,23,1027.0,6.0
16,Valour FC,Michael Petrasso,m,9,1301.0,6.0
17,Valour FC,Tyler Attardo,f,16,999.0,6.0
18,Cavalry FC,Nico Pasquotti,f,17,1853.0,5.0
19,Cavalry FC,Julian Büscher,m,8,1678.0,5.0
20,Cavalry FC,José Escalante,m,11,1592.0,4.0
21,Forge FC,Christopher Nanco,f,13,1429.0,4.0
22,FC Edmonton,Tomi Ameobi,f,18,1860.0,4.0
23,Forge FC,Kyle Bekker,m,3,2354.0,4.0
24,Cavalry FC,Jordan Brown,f,9,1324.0,4.0
25,Forge FC,Emery Welshman,f,14,932.0,3.0
26,Forge FC,Kadell Thomas,f,30,542.0,3.0
27,HFX Wanderers FC,Luis Alberto Perea,f,10,1014.0,3.0
28,York9 FC,Wataru Murofushi,m,23,1718.0,3.0
29,Pacific FC,Marcus Haber,f,9,704.0,3.0
30,Valour FC,Michele Paolucci,f,17,1139.0,3.0
31,Cavalry FC,Nikolas Ledgerwood,m,6,1227.0,3.0
32,Valour FC,Dylan Carreiro,m,10,1441.0,2.0
33,Pacific FC,Lukas MacNaughton,d,14,1704.0,2.0
34,York9 FC,Joseph Di Chiara,m,8,1755.0,2.0
35,York9 FC,Kyle Porter,m,19,1916.0,2.0
36,Pacific FC,Zachary Verhoven,m,16,1285.0,2.0
37,Forge FC,Jace Kotsopoulos,m,12,138.0,2.0
38,Forge FC,Elimane Cissé,m,6,1701.0,2.0
39,Valour FC,Ali Musse,m,23,740.0,2.0
40,York9 FC,Manuel Aparicio,m,10,2159.0,2.0
41,HFX Wanderers FC,Matthew Arnone,d,23,2094.0,2.0
42,HFX Wanderers FC,Juan Diego Gutiérrez,m,7,1240.0,2.0
43,FC Edmonton,Mélé Temguia,d,8,2430.0,2.0
44,FC Edmonton,Ramón Soria,d,5,2011.0,1.0
45,Valour FC,Calum Ferguson,f,12,344.0,1.0
46,HFX Wanderers FC,Kodai Iida,m,9,1180.0,1.0
47,FC Edmonton,Bruno Zebie,m,20,1767.0,1.0
48,HFX Wanderers FC,Mohamed Kourouma,f,12,1988.0,1.0
49,HFX Wanderers FC,Peter Schaale,d,2,1530.0,1.0
50,HFX Wanderers FC,Tomasz Skublak,f,17,1389.0,1.0
51,Pacific FC,Ahmed Alghamdi,m,13,330.0,1.0
52,Pacific FC,Hendrik Starostzik,d,16,1161.0,1.0
53,Pacific FC,Issey Nakajima-Farran,f,11,252.0,1.0
54,Pacific FC,Kadin Chung,d,7,2032.0,1.0
55,Valour FC,Dylan Sacramento,m,7,1135.0,1.0
56,Forge FC,Monti Mohsen,d,11,363.0,1.0
57,Valour FC,Louis Béland-Goyette,m,5,1772.0,1.0
58,Valour FC,Stephen Hoyle,f,17,237.0,1.0
59,York9 FC,Diyaeddine Abzi,d,20,1814.0,1.0
60,York9 FC,Emilio Estevez,m,11,627.0,1.0
61,Cavalry FC,Joel Waterman,m,15,1719.0,1.0
62,York9 FC,Luca Gasparotto,d,13,2520.0,1.0
63,York9 FC,Morey Doner,d,3,2250.0,1.0
64,Cavalry FC,Elijah Adekugbe,m,16,1575.0,1.0
65,Cavalry FC,Dominick Zator,d,4,2335.0,1.0
66,HFX Wanderers FC,Andre Rampersad,m,18,2003.0,1.0
67,Pacific FC,Jose Hernandez,f,15,652.0,1.0
68,Forge FC,Jonathan Grant,d,8,822.0,1.0
69,FC Edmonton,Marcus Velado-Tsegaye,f,17,487.0,1.0
70,Forge FC,David Choinière,m,5,975.0,1.0
71,FC Edmonton,Prince Amanda,f,16,137.0,1.0
72,Forge FC,Marcel Zajac,f,9,1073.0,1.0
73,Forge FC,Daniel Krutzen,d,10,2381.0,1.0
74,Forge FC,Klaidi Cela,d,16,326.0,1.0
75,Forge FC,David Edgar,d,30,744.0,1.0
76,Forge FC,Giuliano Frano,m,7,1960.0,1.0
