game,s,d,m,hs,as,home,hr,away,ar,csh,csa,combined,venue,links
I1,0,27,4,1,1,Forge FC,D,York9 FC,D,0,0,4-27-2019 Forge FC D 1-1 D York9 FC,Tim Hortons Field,https://canpl.ca/matchcentre/4ilfbdmlp4zuj7k3cene3m5wq/highlights
I2,0,28,4,1,0,Pacific FC,W,HFX Wanderers FC,L,1,0,4-28-2019 Pacific FC W 1-0 L HFX Wanderers FC,Westhills Stadium,https://canpl.ca/matchcentre/4itgc6bq5l5c7iv5k27xex9wq/highlights
I3,0,1,5,1,2,Pacific FC,L,Valour FC,W,0,0,5-1-2019 Pacific FC L 1-2 W Valour FC,Westhills Stadium,https://canpl.ca/matchcentre/4j6hzym2ji5zgrm0w0nzugmzu/highlights
I4,0,4,5,2,1,HFX Wanderers FC,W,Forge FC,L,0,0,5-4-2019 HFX Wanderers FC W 2-1 L Forge FC,Wanderers Grounds,https://canpl.ca/matchcentre/4jopa68wp2k7cntkj4s506hka/highlights
I5,0,4,5,2,1,Cavalry FC,W,York9 FC,L,0,0,5-4-2019 Cavalry FC W 2-1 L York9 FC,ATCO Field,https://canpl.ca/matchcentre/4kj2hnlgvv3ncwouftn614siy/highlights
I6,0,4,5,1,2,Valour FC,L,FC Edmonton,W,0,0,5-4-2019 Valour FC L 1-2 W FC Edmonton,IG Field,https://canpl.ca/matchcentre/4l0lq4d7znz1rqsq02s2sk9re/highlights
I7,0,8,5,3,0,Forge FC,W,Pacific FC,L,1,0,5-8-2019 Forge FC W 3-0 L Pacific FC,Tim Hortons Field,https://canpl.ca/matchcentre/4l9f4xu6zpjpzyxu1pzemvd62/highlights
I8,0,8,5,1,0,Cavalry FC,W,Valour FC,L,1,0,5-8-2019 Cavalry FC W 1-0 L Valour FC,ATCO Field,https://canpl.ca/matchcentre/4lfui87m3zeqqeec2n1i4huui/highlights
I9,0,11,5,1,0,Valour FC,W,HFX Wanderers FC,L,1,0,5-11-2019 Valour FC W 1-0 L HFX Wanderers FC,IG Field,https://canpl.ca/matchcentre/4lvxdock0f516s8sxjqnjyfl6/highlights
I10,0,12,5,1,2,Forge FC,L,Cavalry FC,W,0,0,5-12-2019 Forge FC L 1-2 W Cavalry FC,Tim Hortons Field,https://canpl.ca/matchcentre/4m1cw8f5lec9czmckqvw6rwbu/highlights
I11,0,12,5,0,0,FC Edmonton,D,Pacific FC,D,1,1,5-12-2019 FC Edmonton D 0-0 D Pacific FC,Clarke Stadium,https://canpl.ca/matchcentre/4nd4fza6mmhp87jrctliuzz3e/highlights
I12,0,16,5,0,2,Valour FC,L,Forge FC,W,0,1,5-16-2019 Valour FC L 0-2 W Forge FC,IG Field,https://canpl.ca/matchcentre/4ntsd8m3ui3jxf14iv0ah2f6y/highlights
I13,0,18,5,2,2,Pacific FC,D,York9 FC,D,0,0,5-18-2019 Pacific FC D 2-2 D York9 FC,Westhills Stadium,https://canpl.ca/matchcentre/4o4p0koos9zpm6n7zu3b8p0fe/highlights
I14,0,18,5,1,0,Cavalry FC,W,FC Edmonton,L,1,0,5-18-2019 Cavalry FC W 1-0 L FC Edmonton,ATCO Field,https://canpl.ca/matchcentre/4olbjfy802p7g4xn3im4auooa/highlights
