team,name,number,position,minutes,goals,assists,touches,passes,pass-acc,crosses,cross-acc,chances,duels,tackles,overall,new_overall
Y9,Emmanuel Zambazis,14,m,90,0.0,0.3,94.8,81.9,0.3,0.0,0.0,0.6,9.0,1.6,0.26,0.9
FCE,Tony Tchani,22,m,90,0.0,0.0,88.1,67.6,0.4,1.0,0.0,0.5,18.6,1.4,0.22,0.84
CFC,Mauro Eustaquio,18,m,90,0.0,0.0,76.9,61.2,0.1,1.0,0.0,0.3,15.8,2.7,0.18,0.74
CFC,Julian Büscher,8,m,90,0.3,0.2,77.0,52.2,0.0,6.1,0.0,2.0,15.2,3.1,0.87,0.73
PFC,Alexander González,28,m,90,0.0,0.1,77.3,64.5,0.0,0.3,0.0,0.4,11.1,2.4,0.57,0.73
PFC,Ahmed Alghamdi,13,m,90,0.3,0.0,77.0,59.7,0.3,0.0,0.0,0.5,11.9,2.4,0.26,0.71
CFC,Joel Waterman,15,m,90,0.1,0.1,74.5,60.2,0.0,0.3,0.0,0.5,9.8,1.9,0.45,0.68
Y9,Manuel Aparicio,10,m,90,0.1,0.1,74.5,53.0,0.0,1.7,0.0,1.5,14.7,2.3,0.64,0.68
FFC,Giuliano Frano,7,m,90,0.0,0.0,74.1,52.3,0.0,0.6,0.0,0.6,10.8,2.8,0.48,0.65
Y9,Wataru Murofushi,23,m,90,0.2,0.0,69.0,55.6,0.0,0.8,0.0,1.3,9.6,2.3,0.45,0.64
Y9,Joseph Di Chiara,8,m,90,0.1,0.1,69.3,51.3,0.0,0.1,0.0,0.9,13.3,2.7,0.46,0.63
CFC,Elijah Adekugbe,16,m,90,0.1,0.2,67.7,54.2,0.0,0.6,0.0,0.7,11.2,2.4,0.67,0.63
FCE,Edem Mortotsi,6,m,90,0.0,0.2,66.7,46.8,0.1,2.3,0.0,1.2,12.4,2.4,0.29,0.6
VFC,Raphael Ohin,27,m,90,0.0,0.0,68.4,47.2,0.0,0.4,0.0,0.5,13.5,2.3,0.35,0.6
FFC,Kyle Bekker,3,m,90,0.2,0.2,66.7,52.0,0.0,3.7,0.0,1.7,6.6,0.9,0.77,0.6
VFC,Diego Gutiérrez,8,m,90,0.0,0.1,68.8,47.8,0.0,0.8,0.0,1.2,11.0,2.5,0.41,0.6
VFC,José Galán,21,m,90,0.0,0.0,64.5,49.4,0.1,0.5,0.0,0.9,12.6,2.6,0.25,0.59
CFC,Carlos Patiño,20,m,90,0.0,0.3,66.1,33.9,0.2,6.4,0.0,1.4,17.5,2.5,0.27,0.58
FCE,Ajay Khabra,23,m,90,0.0,0.0,62.9,49.7,0.0,0.4,0.0,0.4,9.9,2.1,0.35,0.57
PFC,Noah Verhoeven,23,m,90,0.0,0.0,64.0,44.6,0.0,3.5,0.0,1.2,9.3,1.3,0.49,0.56
PFC,David Norman Jr.,24,m,90,0.0,0.0,60.9,44.2,0.1,0.6,0.0,0.6,13.0,2.7,0.18,0.55
Y9,Ryan Telfer,18,m,90,0.3,0.0,62.3,33.8,0.0,6.7,0.0,2.7,15.1,2.1,0.79,0.55
FFC,Tristan Borges,4,m,90,0.6,0.2,62.5,32.5,0.0,3.7,0.0,2.0,17.0,2.8,0.9,0.54
HFX,Elliot Simmons,8,m,90,0.0,0.0,58.9,44.6,0.1,1.9,0.0,0.8,9.5,2.5,0.37,0.53
FFC,Justin Stoddart,20,m,90,0.0,0.0,50.0,30.0,3.4,0.0,0.0,0.0,25.0,10.0,0.06,0.53
PFC,Victor Blasco,19,m,90,0.3,0.2,59.1,33.5,0.0,2.7,0.0,1.5,19.8,2.4,0.72,0.53
VFC,Louis Béland-Goyette,5,m,90,0.1,0.2,58.9,44.8,0.0,0.5,0.0,1.4,11.0,2.7,0.64,0.53
PFC,Zach Verhoven,16,m,90,0.1,0.1,62.7,26.6,0.1,4.3,0.0,1.4,18.5,3.1,0.43,0.52
PFC,Matthew Baldisimo,17,m,90,0.0,0.0,57.6,45.2,0.0,0.4,0.0,0.6,11.4,2.3,0.51,0.52
FCE,James Marcelin,14,m,90,0.0,0.0,58.6,46.2,0.0,0.4,0.0,0.4,8.9,1.3,0.45,0.51
VFC,Nicolás Galvis,14,m,90,0.0,0.0,60.7,37.2,0.1,2.2,0.0,0.6,11.1,0.7,0.16,0.5
FFC,Alexander Achinioti-Jönsson,1,m,90,0.0,0.1,56.7,44.2,0.0,0.0,0.0,0.3,10.3,2.3,0.5,0.5
HFX,Andre Rampersad,18,m,90,0.0,0.0,57.2,41.3,0.0,0.1,0.0,0.9,10.4,2.3,0.57,0.5
FFC,Elimane Cissé,6,m,90,0.1,0.1,57.0,40.6,0.0,0.3,0.0,0.6,12.2,2.5,0.52,0.5
VFC,Dylan Sacramento,7,m,90,0.1,0.1,56.8,37.1,0.0,1.3,0.0,1.3,13.0,2.3,0.33,0.49
FCE,Philippe Lincourt-Joseph,10,m,90,0.0,0.0,55.5,37.1,0.2,0.8,0.0,0.8,13.4,3.2,0.14,0.49
VFC,Marco Bustos,22,m,90,0.3,0.1,56.7,36.5,0.0,3.0,0.0,1.7,12.0,0.9,0.91,0.49
CFC,Nikolas Ledgerwood,6,m,90,0.2,0.1,53.8,35.6,0.0,2.9,0.0,1.2,11.2,2.8,0.35,0.47
FFC,David Choinière,5,m,90,0.1,0.2,54.0,33.2,0.1,1.4,0.0,0.9,13.6,2.1,0.45,0.46
Y9,Kyle Porter,19,m,90,0.1,0.2,53.1,34.2,0.0,4.1,0.0,1.5,10.1,2.2,0.65,0.46
Y9,Emilio Estevez,11,m,90,0.1,0.1,56.1,30.7,0.1,1.3,0.0,0.9,16.1,1.1,0.21,0.46
FCE,Bruno Zebie,20,m,90,0.1,0.0,53.5,34.8,0.0,1.4,0.0,0.5,10.5,2.3,0.32,0.45
