game,02 Nov 2019 - Play Offs , , ,1 ,X ,2 ,B's ,hw,,aw,,,home_team,away_team
I12,00:00,Valour - Forge,0:2,3.04,3.52,2.42,2,0.33,0.28,0.41,L,W,Valour FC,Forge FC
I17,22:00,HFX Wanderers - York 9,1:1,2.42,3.59,2.41,2,0.41,0.28,0.41,D,D,HFX Wanderers FC,York9 FC
I18,23:00,Forge - Edmonton,2:0,2,3.79,2.92,2,0.50,0.26,0.34,W,L,Forge FC,FC Edmonton
I19,17:00,HFX Wanderers - Pacific FC,2:1,2.44,3.21,2.64,3,0.41,0.31,0.38,W,L,HFX Wanderers FC,Pacific FC
I20,16:30,Edmonton - Valour,0:1,1.91,3.38,3.39,3,0.52,0.30,0.29,L,W,FC Edmonton,Valour FC
I21,16:00,York 9 - Pacific FC,1:0,2.29,3.32,2.85,2,0.44,0.30,0.35,W,L,York9 FC,Pacific FC
I22,18:30,Edmonton - Cavalry,0:3,4.13,3.04,2.68,2,0.24,0.33,0.37,L,W,FC Edmonton,Cavalry FC
I23,21:00,Forge - Valour,2:1,1.54,3.99,4.95,2,0.65,0.25,0.20,W,L,Forge FC,Valour FC
I24,22:00,HFX Wanderers - Cavalry,1:2,3.36,3.21,2.07,5,0.30,0.31,0.48,L,W,HFX Wanderers FC,Cavalry FC
I25,23:00,York 9 - Edmonton,0:0,1.85,3.22,4.21,4,0.54,0.31,0.24,D,D,York9 FC,FC Edmonton
I26,00:00,Valour - Pacific FC,1:2,1.89,3.15,4.27,6,0.53,0.32,0.23,L,W,Valour FC,Pacific FC
I27,19:30,York 9 - HFX Wanderers,0:0,2.05,3.18,3.43,5,0.49,0.31,0.29,D,D,York9 FC,HFX Wanderers FC
I28,22:00,Cavalry - Forge,0:1,1.93,3.34,3.82,6,0.52,0.30,0.26,L,W,Cavalry FC,Forge FC
I29,22:00,Pacific FC - Edmonton,1:3,2.23,3.44,2.85,4,0.45,0.29,0.35,L,W,Pacific FC,FC Edmonton
I30,22:00,HFX Wanderers - Valour,2:0,1.77,3.46,4.19,4,0.56,0.29,0.24,W,L,HFX Wanderers FC,Valour FC
I31,23:00,York 9 - Cavalry,0:2,4.32,3.29,1.8,4,0.23,0.30,0.56,L,W,York9 FC,Cavalry FC
I32,01:30,Edmonton - Forge,1:0,4.45,3.35,1.78,6,0.22,0.30,0.56,W,L,FC Edmonton,Forge FC
I33,17:00,Valour - York 9,1:3,1.99,3.12,3.81,6,0.50,0.32,0.26,L,W,Valour FC,York9 FC
I34,19:30,Edmonton - HFX Wanderers,2:0,2.37,3.24,2.89,6,0.42,0.31,0.35,W,L,FC Edmonton,HFX Wanderers FC
I35,22:00,Pacific FC - Cavalry,3:1,5.16,3.85,1.56,4,0.19,0.26,0.64,W,L,Pacific FC,Cavalry FC
I36,17:00,Forge - Edmonton,1:2,1.9,3.19,3.87,5,0.53,0.31,0.26,L,W,Forge FC,FC Edmonton
I37,19:30,HFX Wanderers - York 9,1:0,2.55,2.94,2.74,5,0.39,0.34,0.36,W,L,HFX Wanderers FC,York9 FC
I38,22:00,Pacific FC - Cavalry,2:3,3.84,3.21,1.92,5,0.26,0.31,0.52,L,W,Pacific FC,Cavalry FC
I39,19:30,HFX Wanderers - Cavalry,0:1,3.23,3.26,2.1,5,0.31,0.31,0.48,L,W,HFX Wanderers FC,Cavalry FC
I40,22:00,Pacific FC - Forge,2:3,2.93,3.29,2.21,5,0.34,0.30,0.45,L,W,Pacific FC,Forge FC
I41,19:30,York 9 - Edmonton,2:1,2.64,3.02,2.58,5,0.38,0.33,0.39,W,L,York9 FC,FC Edmonton
I42,23:00,York 9 - Pacific FC,2:1,2.13,3.21,3.13,5,0.47,0.31,0.32,W,L,Forge FC,HFX Wanderers FC
I43,23:00,Forge - HFX Wanderers,2:0,1.75,3.35,4.39,5,0.57,0.30,0.23,W,L,York9 FC,Pacific FC
I44,01:00,Edmonton - Valour,0:0,1.89,3.24,3.98,7,0.53,0.31,0.25,D,D,FC Edmonton,Valour FC
I45,19:30,Forge - Valour,3:1,1.56,3.88,4.94,5,0.64,0.26,0.20,W,L,Forge FC,Valour FC
I46,22:00,Pacific FC - HFX Wanderers,3:1,2.33,3.25,2.76,5,0.43,0.31,0.36,W,L,Pacific FC,HFX Wanderers FC
I47,19:30,Cavalry - York 9,1:0,1.77,3.41,4.24,7,0.56,0.29,0.24,W,L,Cavalry FC,York9 FC
I48,17:00,Valour - Cavalry,1:1,6.26,3.6,1.55,6,0.16,0.28,0.65,D,D,Valour FC,Cavalry FC
