rank,team,name,position,number,minutes,goals
1,FFC,Tristan Borges,m,4,1884,13
2,CFC,Dominique Malonga,f,19,1871,11
3,PFC,Terran Campbell,f,14,2334,11
4,FCE,Easton Ongaro,f,19,1167,10
5,Y9,Rodrigo Gattas,f,22,1958,9
6,Y9,Ryan Telfer,m,18,2216,8
7,CFC,Oliver Minatel,f,7,1450,7
8,VFC,Marco Bustos,m,22,2249,7
9,Y9,Simon Karlsson Adjei,f,12,1422,7
10,HFX,Akeem Garcia,m,11,2082,7
11,FCE,Oumar Diouck,f,45,1977,6
12,PFC,Ben Fisk,m,21,1662,6
13,PFC,Victor Blasco,m,19,1586,6
14,CFC,Sergio Camargo,m,10,1171,6
15,FFC,Anthony Novak,f,23,1027,6
16,VFC,Michael Petrasso,m,9,1301,6
17,VFC,Tyler Attardo,f,16,999,6
18,CFC,Nico Pasquotti,f,17,1853,5
19,CFC,Julian Büscher,m,8,1678,5
20,CFC,José Escalante,m,11,1592,4
21,FFC,Chris Nanco,f,13,1429,4
22,FCE,Tomi Ameobi,f,18,1860,4
23,FFC,Kyle Bekker,m,3,2354,4
24,CFC,Jordan Brown,f,9,1324,4
25,FFC,Emery Welshman,f,14,932,3
26,FFC,Kadell Thomas,f,30,542,3
27,HFX,Luis Alberto Perea,f,10,1014,3
28,Y9,Wataru Murofushi,m,23,1718,3
29,PFC,Marcus Haber,f,9,704,3
30,VFC,Michele Paolucci,f,17,1139,3
31,CFC,Nik Ledgerwood,m,6,1227,3
32,VFC,Dylan Carreiro,m,10,1441,2
33,PFC,Lukas MacNaughton,d,14,1704,2
34,Y9,Joseph Di Chiara,m,8,1755,2
35,Y9,Kyle Porter,m,19,1916,2
36,PFC,Zach Verhoven,m,16,1285,2
37,FFC,Jace Kotsopoulos,m,12,138,2
38,VFC,Ali Musse,m,23,740,2
39,FFC,Elimane Cissé,m,6,1701,2
40,Y9,Manny Aparicio,m,10,2159,2
41,HFX,Matthew Arnone,d,23,2094,2
42,HFX,Juan Diego Gutiérrez,m,7,1240,2
43,FCE,Mélé Temguia,d,8,2430,2
44,FCE,Ramón Soria,d,5,2011,1
45,VFC,Calum Ferguson,f,12,344,1
46,HFX,Kodai Iida,m,9,1180,1
47,FCE,Bruno Zebie,m,20,1767,1
48,HFX,Mohamed Kourouma,f,12,1988,1
49,HFX,Peter Schaale,d,2,1530,1
50,HFX,Tomasz Skublak,f,17,1389,1
51,PFC,Ahmed Alghamdi,m,13,330,1
52,PFC,Hendrik Starostzik,d,16,1161,1
53,PFC,Issey Nakajima-Farran,f,11,252,1
54,PFC,Kadin Chung,d,7,2032,1
55,VFC,Dylan Sacramento,m,7,1135,1
56,FFC,Monti Mohsen,d,11,363,1
57,VFC,Louis Béland-Goyette,m,5,1772,1
58,VFC,Stephen Hoyle,f,17,237,1
59,Y9,Diyaeddine Abzi,d,20,1814,1
60,Y9,Emilio Estevez,m,11,627,1
61,CFC,Joel Waterman,m,15,1719,1
62,Y9,Luca Gasparotto,d,13,2520,1
63,Y9,Morey Doner,d,3,2250,1
64,CFC,Elijah Adekugbe,m,16,1575,1
65,CFC,Dominick Zator,d,4,2335,1
66,HFX,Andre Rampersad,m,18,2003,1
67,PFC,Jose Hernandez,f,15,652,1
68,FFC,Jonathan Grant,d,8,822,1
69,FCE,Marcus Velado-Tsegaye,f,17,487,1
70,FFC,David Choinière,m,5,975,1
71,FCE,Prince Amanda,f,16,137,1
72,FFC,Marcel Zajac,f,9,1073,1
73,FFC,Daniel Krutzen,d,10,2381,1
74,FFC,Klaidi Cela,d,16,326,1
75,FFC,David Edgar,d,30,744,1
76,FFC,Giuliano Frano,m,7,1960,1
