d,m,hs,as,home,hr,away,ar,summary,team
4,5,2,1,Cavalry FC,W,York9 FC,L,W A 2 - 1 Y9,Cavalry FC
8,5,1,0,Cavalry FC,W,Valour FC,L,W A 1 - 0 VFC,Cavalry FC
12,5,1,2,Forge FC,L,Cavalry FC,W,W A 1 - 2 FFC,Cavalry FC
18,5,1,0,Cavalry FC,W,FC Edmonton,L,W A 1 - 0 FCE,Cavalry FC
25,5,2,0,Cavalry FC,W,HFX Wanderers FC,L,W A 2 - 0 HFX,Cavalry FC
15,6,0,3,FC Edmonton,L,Cavalry FC,W,W A 0 - 3 FCE,Cavalry FC
19,6,1,2,HFX Wanderers FC,L,Cavalry FC,W,W A 1 - 2 HFX,Cavalry FC
22,6,0,1,Cavalry FC,L,Forge FC,W,L A 0 - 1 FFC,Cavalry FC
26,6,0,2,York9 FC,L,Cavalry FC,W,W A 0 - 2 Y9,Cavalry FC
1,7,3,1,Pacific FC,W,Cavalry FC,L,L A 3 - 1 PFC,Cavalry FC
6,7,2,3,Pacific FC,L,Cavalry FC,W,W A 2 - 3 PFC,Cavalry FC
13,7,0,1,HFX Wanderers FC,L,Cavalry FC,W,W A 0 - 1 HFX,Cavalry FC
21,7,1,0,Cavalry FC,W,York9 FC,L,W A 1 - 0 Y9,Cavalry FC
27,7,1,1,Valour FC,D,Cavalry FC,D,D A 1 - 1 VFC,Cavalry FC
10,8,0,0,HFX Wanderers FC,D,Cavalry FC,D,D A 0 - 0 HFX,Cavalry FC
16,8,0,0,Cavalry FC,D,FC Edmonton,D,D A 0 - 0 FCE,Cavalry FC
21,8,3,1,Cavalry FC,W,York9 FC,L,W A 3 - 1 Y9,Cavalry FC
25,8,1,0,Forge FC,W,Cavalry FC,L,L A 1 - 0 FFC,Cavalry FC
28,8,1,1,Cavalry FC,D,Pacific FC,D,D A 1 - 1 PFC,Cavalry FC
2,9,0,8,Valour FC,L,Cavalry FC,W,W A 0 - 8 VFC,Cavalry FC
11,9,0,1,FC Edmonton,L,Cavalry FC,W,W A 0 - 1 FCE,Cavalry FC
22,9,4,1,Cavalry FC,W,Pacific FC,L,W A 4 - 1 PFC,Cavalry FC
28,9,1,1,York9 FC,D,Cavalry FC,D,D A 1 - 1 Y9,Cavalry FC
2,10,4,1,Cavalry FC,W,Valour FC,L,W A 4 - 1 VFC,Cavalry FC
5,10,2,0,Cavalry FC,W,HFX Wanderers FC,L,W A 2 - 0 HFX,Cavalry FC
9,10,2,1,Cavalry FC,W,Forge FC,L,W A 2 - 1 FFC,Cavalry FC
16,10,1,0,Forge FC,W,Cavalry FC,L,L A 1 - 0 FFC,Cavalry FC
19,10,3,1,Cavalry FC,W,FC Edmonton,L,W A 3 - 1 FCE,Cavalry FC
26,10,1,0,Forge FC,W,Cavalry FC,L,L A 1 - 0 FFC,Cavalry FC
2,11,0,1,Cavalry FC,L,Forge FC,W,L A 0 - 1 FFC,Cavalry FC
4,5,1,2,Valour FC,L,FC Edmonton,W,W A 1 - 2 VFC,FC Edmonton
12,5,0,0,FC Edmonton,D,Pacific FC,D,D A 0 - 0 PFC,FC Edmonton
18,5,1,0,Cavalry FC,W,FC Edmonton,L,L A 1 - 0 CFC,FC Edmonton
29,5,2,0,Forge FC,W,FC Edmonton,L,L A 2 - 0 FFC,FC Edmonton
2,6,0,1,FC Edmonton,L,Valour FC,W,L A 0 - 1 VFC,FC Edmonton
15,6,0,3,FC Edmonton,L,Cavalry FC,W,L A 0 - 3 CFC,FC Edmonton
19,6,0,0,York9 FC,D,FC Edmonton,D,D A 0 - 0 Y9,FC Edmonton
23,6,1,3,Pacific FC,L,FC Edmonton,W,W A 1 - 3 PFC,FC Edmonton
26,6,1,0,FC Edmonton,W,Forge FC,L,W A 1 - 0 FFC,FC Edmonton
1,7,2,0,FC Edmonton,W,HFX Wanderers FC,L,W A 2 - 0 HFX,FC Edmonton
6,7,1,2,Forge FC,L,FC Edmonton,W,W A 1 - 2 FFC,FC Edmonton
14,7,2,1,York9 FC,W,FC Edmonton,L,L A 2 - 1 Y9,FC Edmonton
17,7,0,0,FC Edmonton,D,Valour FC,D,D A 0 - 0 VFC,FC Edmonton
27,7,1,1,FC Edmonton,D,Forge FC,D,D A 1 - 1 FFC,FC Edmonton
31,7,2,0,FC Edmonton,W,HFX Wanderers FC,L,W A 2 - 0 HFX,FC Edmonton
10,8,3,1,FC Edmonton,W,Pacific FC,L,W A 3 - 1 PFC,FC Edmonton
16,8,0,0,Cavalry FC,D,FC Edmonton,D,D A 0 - 0 CFC,FC Edmonton
19,8,3,1,Valour FC,W,FC Edmonton,L,L A 3 - 1 VFC,FC Edmonton
25,8,2,2,FC Edmonton,D,York9 FC,D,D A 2 - 2 Y9,FC Edmonton
