team,name,number,position,first,last,minutes,touches,passes,pass-acc,crosses,cross-acc,assists,chances,goals,shots,s-target,s-box,s-out-box,tackles,t-won,duels,d-won,clearances,interceptions,yellow,red,f-won,f-conceded,shots faced,saves,claimed crosses,cs
Cavalry FC,Aribim Pepple,24,f,Aribim,Pepple,60.0,21.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
Cavalry FC,Carlos Patiño,20,m,Carlos,Patiño,320.0,238.0,122.0,0.88,23.0,0.0,1.0,5.0,0.0,4.0,2.0,1.0,3.0,9.0,6.0,63.0,32.0,1.0,5.0,0.0,0.0,13.0,12.0,0.0,0.0,0.0,0.0
Cavalry FC,Dean Northover,12,d,Dean,Northover,609.0,478.0,255.0,0.67,19.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,20.0,13.0,91.0,52.0,10.0,15.0,2.0,1.0,14.0,13.0,0.0,0.0,0.0,0.0
Cavalry FC,Dominick Zator,4,d,Dominick,Zator,2335.0,1866.0,1402.0,0.83,24.0,0.0,2.0,13.0,1.0,26.0,6.0,25.0,1.0,46.0,32.0,265.0,169.0,75.0,51.0,0.0,0.0,19.0,15.0,0.0,0.0,0.0,0.0
Cavalry FC,Dominique Malonga,19,f,Dominique,Malonga,1871.0,760.0,489.0,0.8,5.0,0.0,1.0,19.0,11.0,68.0,34.0,55.0,13.0,2.0,1.0,185.0,80.0,12.0,2.0,1.0,0.0,31.0,8.0,0.0,0.0,0.0,0.0
Cavalry FC,Elijah Adekugbe,16,m,Elijah,Adekugbe,1575.0,1185.0,949.0,0.85,10.0,0.0,4.0,12.0,1.0,9.0,1.0,1.0,8.0,42.0,27.0,196.0,118.0,17.0,17.0,6.0,0.0,39.0,34.0,0.0,0.0,0.0,0.0
Cavalry FC,Gabriel Bitar,19,f,Gabriel,Bitar,90.0,42.0,16.0,0.88,3.0,0.0,0.0,2.0,0.0,5.0,4.0,2.0,3.0,3.0,1.0,17.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Cavalry FC,Joel Waterman,15,m,Joel,Waterman,1719.0,1423.0,1149.0,0.84,6.0,0.0,2.0,10.0,1.0,9.0,4.0,7.0,2.0,36.0,23.0,187.0,117.0,45.0,47.0,4.0,1.0,34.0,20.0,0.0,0.0,0.0,0.0
Cavalry FC,Jonathan Wheeldon,14,d,Jonathan,Wheeldon,1407.0,901.0,751.0,0.82,0.0,0.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0,16.0,12.0,102.0,62.0,70.0,14.0,5.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0
Cavalry FC,Jordan Brown,9,f,Jordan,Brown,1324.0,518.0,288.0,0.71,20.0,0.0,1.0,16.0,4.0,42.0,13.0,31.0,11.0,23.0,13.0,183.0,64.0,4.0,2.0,2.0,0.0,7.0,34.0,0.0,0.0,0.0,0.0
Cavalry FC,José Escalante,11,m,José,Escalante,1592.0,905.0,450.0,0.68,116.0,0.25,4.0,29.0,4.0,42.0,16.0,26.0,16.0,32.0,23.0,226.0,107.0,9.0,8.0,2.0,1.0,46.0,23.0,0.0,0.0,0.0,0.0
Cavalry FC,Julian Büscher,8,m,Julian,Büscher,1678.0,1432.0,971.0,0.8,113.0,0.29,4.0,38.0,5.0,30.0,12.0,8.0,22.0,57.0,41.0,282.0,125.0,16.0,29.0,5.0,0.0,48.0,49.0,0.0,0.0,0.0,0.0
Cavalry FC,Malyk Hamilton,21,f,Malyk,Hamilton,1275.0,923.0,604.0,0.83,26.0,0.0,2.0,8.0,0.0,6.0,1.0,4.0,2.0,32.0,19.0,122.0,65.0,12.0,8.0,1.0,0.0,12.0,13.0,0.0,0.0,0.0,0.0
Cavalry FC,Marco Carducci,1,g,Marco,Carducci,2160.0,894.0,670.0,0.47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,20.0,0.0,1.0,0.0,5.0,1.0,81.0,65.0,11.0,9.0
Cavalry FC,Mason Trafford,5,d,Mason,Trafford,1801.0,1146.0,1000.0,0.9,1.0,0.0,0.0,5.0,0.0,6.0,3.0,5.0,1.0,11.0,5.0,86.0,48.0,56.0,14.0,2.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0
Cavalry FC,Mauro Eustaquio,18,m,Mauro,Eustaquio,533.0,454.0,361.0,0.75,6.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,3.0,16.0,11.0,93.0,43.0,9.0,11.0,2.0,1.0,11.0,16.0,0.0,0.0,0.0,0.0
Cavalry FC,Nathan Mavila,3,d,Nathan,Mavila,1952.0,1404.0,836.0,0.62,41.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0,51.0,32.0,257.0,134.0,42.0,20.0,2.0,1.0,21.0,38.0,0.0,0.0,0.0,0.0
Cavalry FC,Nico Pasquotti,17,f,Nico,Pasquotti,1853.0,1109.0,457.0,0.0,61.0,0.0,3.0,24.0,5.0,33.0,16.0,31.0,2.0,47.0,29.0,374.0,174.0,11.0,12.0,5.0,0.0,45.0,43.0,0.0,0.0,0.0,0.0
Cavalry FC,Nikolas Giantsopoulos,22,g,Nikolas,Giantsopoulos,450.0,179.0,116.0,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,25.0,21.0,1.0,2.0
Cavalry FC,Nikolas Ledgerwood,6,m,Nikolas,Ledgerwood,1227.0,731.0,484.0,0.68,40.0,0.0,1.0,16.0,3.0,21.0,9.0,8.0,13.0,38.0,23.0,153.0,80.0,12.0,20.0,3.0,0.0,23.0,25.0,0.0,0.0,0.0,0.0
Cavalry FC,Oliver Minatel,7,f,Oliver,Minatel,1450.0,589.0,348.0,1.0,21.0,0.0,1.0,17.0,7.0,37.0,12.0,29.0,8.0,29.0,14.0,194.0,93.0,9.0,13.0,4.0,0.0,41.0,30.0,0.0,0.0,0.0,0.0
Cavalry FC,Oluwatofarati Fakunle,25,f,Oluwatofarati,Fakunle,9.0,10.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cavalry FC,Sergio Camargo,10,m,Sergio,Camargo,1171.0,580.0,359.0,0.93,20.0,0.0,3.0,22.0,6.0,23.0,11.0,21.0,2.0,16.0,8.0,134.0,52.0,4.0,9.0,1.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0
Cavalry FC,Victor Loturi,13,f,Victor,Loturi,137.0,69.0,49.0,0.89,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,6.0,4.0,13.0,9.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
FC Edmonton,Ajay Khabra,23,m,Ajay,Khabra,1728.0,1208.0,954.0,0.5,7.0,0.0,0.0,7.0,0.0,20.0,1.0,10.0,10.0,40.0,27.0,191.0,101.0,1.0,15.0,0.0,0.0,37.0,27.0,0.0,0.0,0.0,0.0
FC Edmonton,Ajeej Sarkaria,9,f,Ajeej,Sarkaria,566.0,224.0,146.0,0.4,1.0,0.0,1.0,2.0,0.0,6.0,2.0,5.0,1.0,13.0,10.0,58.0,25.0,3.0,3.0,1.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0
FC Edmonton,Allan Zebie,4,d,Allan,Zebie,1970.0,1429.0,927.0,0.77,22.0,0.0,0.0,5.0,0.0,5.0,1.0,3.0,2.0,45.0,34.0,199.0,103.0,31.0,27.0,1.0,0.0,13.0,14.0,0.0,0.0,0.0,0.0
FC Edmonton,Amer Didic,55,d,Amer,Đidić,1650.0,1171.0,923.0,0.71,2.0,0.0,3.0,16.0,0.0,23.0,10.0,20.0,3.0,29.0,20.0,152.0,105.0,109.0,25.0,3.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0
