ExpG,ExpA,Goal,BgChnc,Chance,CleanSheet,GoalCncd,BgChncFace
1.42,1.29,2,2,9,1,0,0
2.76,1.29,2,5,10,0,1,1
1.06,0.27,0,1,2,1,0,0
1.7,0.79,0,2,9,0,1,2
1.81,0.91,2,3,4,0,1,0
3.07,2.94,3,6,10,0,2,2
0.51,0.51,0,1,6,0,1,1
4.3,1.85,1,8,15,0,3,2
3.7,1.99,4,7,12,0,1,2
0.96,0.7,2,1,5,1,0,0
1.72,1.47,1,2,10,1,0,0
1.06,0.17,1,1,4,1,0,0
0.52,0.3,0,0,6,1,0,3
2.29,2.18,1,3,12,0,1,1
0.27,0.22,0,0,3,0,1,1
3.45,3.01,4,6,18,0,1,0
3.73,2.12,2,6,8,0,1,2
1.13,1.1,1,1,9,1,0,1
1.74,0.79,1,3,9,1,0,1
3.23,1.8,3,5,11,0,1,0
2.17,2.13,1,5,13,0,1,2
4.28,2.58,3,7,9,1,0,2
1.52,1.16,2,3,3,0,1,1
0.58,0.48,1,0,9,1,0,1
2.31,2.07,3,3,11,0,1,2
1.4,1.02,0,2,6,0,1,1
5.32,2.81,8,8,16,1,0,0
1.1,0.81,1,1,8,0,1,2
1.2,1.08,2,1,7,1,0,1
0.13,0.1,0,0,2,0,1,2
