ExpG,ExpA,Goal,BgChnc,Chance,CleanSheet,GoalCncd,BgChncFace
3.68,2.82,3,7,15,0,1,1
0.71,0.42,0,0,6,0,1,2
1.57,0.52,1,0,8,0,1,2
0.16,0.13,0,0,3,0,2,5
0.6,0.35,1,0,6,0,2,3
1.08,0.44,2,2,3,1,0,1
2.74,0.88,1,4,10,0,3,3
0.83,0.68,0,1,10,0,1,0
0.02,0.02,0,0,1,1,0,1
1.5,1.14,2,1,8,0,2,2
1.61,0.59,1,1,9,0,3,2
1.12,1.0,1,1,8,0,3,1
0.63,0.63,3,1,5,0,1,0
0.9,0.6,1,1,7,0,1,1
0.85,0.82,0,1,6,1,0,0
2.5,1.41,2,3,7,1,0,0
1.79,1.0,2,2,7,0,1,4
0.8,0.72,0,1,8,1,0,0
0.8,0.69,0,1,5,0,1,3
1.9,1.68,3,3,10,0,1,1
1.59,1.56,0,2,18,0,1,2
1.48,0.93,0,2,14,0,3,7
1.93,1.84,0,3,13,1,0,0
0.55,0.52,1,1,3,1,0,1
0.42,0.38,0,1,4,0,1,0
0.36,0.2,1,0,4,0,3,5
0.04,0.04,2,0,1,0,1,1
0.54,0.48,0,0,9,1,0,0
