ExpG,ExpA,Goal,BgChnc,Chance,CleanSheet,GoalCncd,BgChncFace
1.9,1.62,1,2,16,0,1,1
0.8,0.73,1,2,9,0,2,3
1.62,1.56,3,3,7,1,0,2
0.8,0.8,1,1,8,0,2,3
1.71,1.58,2,2,6,1,0,1
1.3,1.26,2,2,12,1,0,0
2.35,1.25,2,5,8,1,0,0
3.06,2.97,2,6,11,0,1,0
1.03,1.03,1,2,5,1,0,2
0.86,0.55,0,1,6,0,1,1
1.29,1.09,1,1,8,0,2,0
2.9,2.72,3,4,18,0,2,4
2.46,1.34,2,3,12,1,0,1
3.74,1.79,3,7,10,0,1,1
1.2,1.04,1,1,6,0,1,1
2.05,0.83,3,4,7,0,1,3
1.02,0.91,1,1,11,1,0,0
1.25,0.55,1,3,7,0,1,1
1.69,1.51,2,2,12,0,1,1
2.0,1.18,3,3,10,0,1,1
1.25,1.1,2,2,9,0,2,4
0.89,0.66,1,1,3,0,1,0
1.88,1.84,3,5,8,1,0,1
1.46,1.19,1,2,11,1,0,0
1.18,0.28,1,1,6,1,0,2
1.09,0.64,1,2,3,0,2,6
1.06,0.89,0,1,10,0,4,3
1.0,0.38,1,1,8,1,0,1
2.11,0.97,1,2,11,1,0,0
0.77,0.77,1,1,4,1,0,2
