ExpG,ExpA,Goal,BgChnc,Chance,CleanSheet,GoalCncd,BgChncFace
0.99,0.48,0,2,7,1,0,1
0.69,0.64,0,1,8,0,1,0
0.76,0.32,0,1,4,0,2,2
0.96,0.75,0,1,7,1,0,0
1.23,0.49,0,0,8,0,1,1
1.42,1.26,1,2,11,0,1,3
0.98,0.79,0,1,10,1,0,0
1.37,1.21,0,3,7,0,2,2
1.64,0.76,2,3,10,0,1,2
0.45,0.38,0,0,9,1,0,1
1.29,0.41,1,1,9,0,1,2
0.39,0.29,1,0,4,0,2,3
0.51,0.37,0,0,7,0,2,2
1.68,0.51,2,3,8,0,1,0
2.17,1.91,1,2,14,1,0,0
0.25,0.1,0,0,3,0,2,3
1.35,1.01,1,2,5,0,1,2
1.94,0.9,2,2,9,1,0,2
1.45,0.53,1,3,10,1,0,0
0.64,0.43,0,0,6,0,1,2
1.89,1.45,2,4,9,0,2,2
1.08,0.96,1,2,6,0,1,0
0.99,0.44,2,1,10,1,0,6
0.77,0.72,0,1,7,0,2,3
0.85,0.55,1,0,10,0,1,1
1.51,0.89,1,1,5,0,3,3
1.77,0.42,2,2,7,0,6,1
0.17,0.17,0,0,5,0,2,1
