ExpG,ExpA,Goal,BgChnc,Chance,CleanSheet,GoalCncd,BgChncFace
1.89,1.61,2,2,9,0,1,1
2.85,1.43,1,4,15,0,2,2
0.35,0.32,0,0,6,0,1,1
0.9,0.78,1,0,8,1,0,1
1.08,1.01,0,1,8,0,2,2
1.87,1.39,1,2,9,1,0,2
0.25,0.09,1,0,3,0,2,6
1.75,1.61,1,3,15,0,2,2
1.58,1.33,0,2,9,0,2,2
0.6,0.42,1,0,9,0,3,3
0.66,0.58,0,0,9,1,0,1
1.08,1.03,1,1,6,0,3,7
1.78,0.6,1,2,6,0,1,5
2.15,0.52,2,2,12,0,2,3
0.7,0.39,0,0,7,0,1,2
1.25,1.16,2,2,12,1,0,5
2.35,0.98,1,3,13,0,3,4
1.36,0.47,3,1,9,0,1,1
2.31,1.81,1,2,14,0,2,2
1.74,1.57,2,2,7,1,0,3
0.39,0.31,0,0,5,0,8,8
1.24,1.03,1,1,7,0,3,3
1.46,1.24,4,2,14,0,2,3
0.92,0.59,0,1,10,1,0,2
0.26,0.21,1,0,4,0,4,6
2.14,1.36,3,3,6,0,1,4
0.56,0.49,0,0,9,0,4,4
0.57,0.44,0,0,7,0,2,3
