ExpG,ExpA,Goal,BgChnc,Chance,CleanSheet,GoalCncd,BgChncFace
0.41,0.08,1,1,2,0,1,2
1.17,1.06,1,1,6,0,2,5
2.73,1.94,2,4,11,0,2,3
0.99,0.66,0,0,16,0,2,2
1.74,0.28,1,3,5,0,1,2
0.88,0.85,1,1,15,1,0,3
0.77,0.58,0,0,13,1,0,1
0.65,0.53,0,0,8,1,0,1
0.97,0.88,0,1,14,0,2,1
1.81,1.69,3,3,11,0,1,0
0.41,0.28,0,0,7,0,1,3
1.54,1.3,2,3,10,0,1,0
1.04,0.97,2,0,18,0,1,1
1.24,1.03,0,1,10,0,1,1
1.11,0.68,6,1,8,0,2,2
3.52,1.99,0,5,14,0,2,2
1.23,0.84,0,2,14,0,2,3
0.93,0.66,1,2,7,0,3,3
1.56,0.27,2,2,7,0,2,1
1.21,0.31,1,1,6,0,2,2
1.52,0.3,2,2,7,1,0,1
1.7,1.49,2,3,15,0,4,2
1.57,1.52,3,2,10,0,1,1
2.19,1.8,1,2,14,0,1,1
2.3,1.28,0,2,12,0,1,1
2.31,1.36,4,3,15,1,0,1
3.28,2.29,4,4,18,1,0,0
2.57,1.58,0,6,13,0,2,1
