team,name,position,number,nationality,dob,image
Cavalry FC,Marco Carducci,g,1,Canada,1995-09-25,Marco-Carducci.jpg
Cavalry FC,Chris Serban,d,2,Canada,1995-11-15,Chris-Serban.jpg
Cavalry FC,Nathan Mavila,d,3,England,1993-10-15,Nathan-Mavila.jpg
Cavalry FC,Dominick Zator,d,4,Canada,1994-09-18,Dominick-Zator.jpg
Cavalry FC,Mason Trafford,d,5,Canada,1986-08-21,Mason-Trafford.jpg
Cavalry FC,Nikolas Ledgerwood,m,6,Canada,1985-01-16,Nikolas-Ledgerwood.jpg
Cavalry FC,Oliver Minatel,f,7,Brazil,1992-08-29,Oliver-Minatel.jpg
Cavalry FC,Julian Büscher,m,8,Germany,1993-04-22,Julian-Buscher.jpg
Cavalry FC,Jordan Brown,f,9,England,1996-11-10,Jordan-Brown.jpg
Cavalry FC,Sergio Camargo,m,10,Canada,1994-08-16,Sergio-Camargo.jpg
Cavalry FC,José Escalante,m,11,Honduras,1995-05-29,Jose-Escalante.jpg
Cavalry FC,Dean Northover,d,12,Canada,1991-09-04,Dean-Northover.jpg
Cavalry FC,Jonathan Wheeldon,d,14,England,1988-08-28,Jonathan-Wheeldon.jpg
Cavalry FC,Joel Waterman,m,15,Canada,1996-01-24,Joel-Waterman.jpg
Cavalry FC,Elijah Adekugbe,m,16,Canada,1996-07-17,Elijah-Adekugbe.jpg
Cavalry FC,Nico Pasquotti,f,17,Canada,1995-10-18,Nico-Pasquotti.jpg
Cavalry FC,Mauro Eustaquio,m,18,Canada,1993-02-10,Mauro-Eustaquio.jpg
Cavalry FC,Dominique Malonga,f,19,Congo,1989-01-08,Dominique-Malonga.jpg
Cavalry FC,Carlos Patiño,m,20,Colombia,1995-08-18,Carlos-Patino.jpg
Cavalry FC,Malyk Hamilton,f,21,Canada,1999-09-02,Malyk-Hamilton.jpg
Cavalry FC,Nikolas Giantsopoulos,g,22,Canada,1994-06-24,Niko-Giantsopoulos.jpg
Cavalry FC,Victor Loturi,f,13,Canada,2001-05-21,Victor-Loturi.jpg
Cavalry FC,Aribim Pepple,f,24,Canada,2002-12-25,empty.jpg
Cavalry FC,Oluwatofarati Fakunle,f,25,Canada,1995-01-11,empty.jpg
Cavalry FC,Gabriel Bitar,f,19,Canada,1998-08-23,Gabriel-Bitar.jpg
FC Edmonton,Tony Tchani,m,22,Cameroon,1989-04-13,Tony-Tchani.jpg
FC Edmonton,Connor James,g,1,Canada,1996-07-17,Connor-James.jpg
FC Edmonton,Dylon Powley,g,13,Canada,1996-09-05,Dylon-Powley.jpg
FC Edmonton,Amer Didic,d,55,Canada,1994-12-28,Amer-Didic.jpg
FC Edmonton,Jeannot Esua,d,3,Cameroon,1996-08-08,Jeannot-Esua.jpg
FC Edmonton,Kareem Moses,d,12,Trinidad and Tobago,1990-02-11,Kareem-Moses.jpg
FC Edmonton,Ramón Soria,d,5,Spain,1989-03-07,Ramón-Soria.jpg
FC Edmonton,Mélé Temguia,d,8,Germany,1995-08-01,Mélé-Temguia.jpg
FC Edmonton,Allan Zebie,d,4,Canada,1993-05-29,Allan-Zebie.jpg
FC Edmonton,Ajay Khabra,m,23,Canada,1995-06-13,Ajay-Khabra.jpg
FC Edmonton,Philippe Lincourt-Joseph,m,10,Canada,1994-11-01,Philippe-Lincourt-Joseph.jpg
FC Edmonton,James Marcelin,m,14,Haiti,1986-06-13,James-Marcelin.jpg
FC Edmonton,Edem Mortotsi,m,6,Ghana,1993-04-16,Edem-Mortotsi.jpg
FC Edmonton,Yong-Chan Son,m,7,South Korea,1991-04-15,Yong-Chan-Son.jpg
FC Edmonton,Bruno Zebie,m,20,Canada,1995-08-14,Bruno-Zebie.jpg
FC Edmonton,Prince Amanda,f,16,Canada,2001-03-23,Prince-Amanda.jpg
FC Edmonton,Tomi Ameobi,f,18,England,1988-08-16,Tomi-Ameobi.jpg
FC Edmonton,Oumar Diouck,f,45,Belgium,1994-11-09,Oumar-Diouck.jpg
FC Edmonton,David Doe,f,26,Canada,2000-11-30,David-Doe.jpg
FC Edmonton,Randy Edwini-Bonsu,f,11,Canada,1990-04-20,Randy-Edwini-Bonsu.jpg
FC Edmonton,Ajeej Sarkaria,f,9,Canada,1995-07-02,Ajeej-Sarkaria.jpg
FC Edmonton,Marcus Velado-Tsegaye,f,17,Canada,2001-07-02,Marcus-Velado.jpg
FC Edmonton,Easton Ongaro,f,19,Canada,1998-06-05,Easton-Ongaro.jpg
Forge FC,Jace Kotsopoulos,m,12,Canada,1997-12-01,Jace-Kotsopoulos.jpg
Forge FC,Alexander Achinioti-Jönsson,m,1,Sweden,1996-04-17,Alexander-Achinioti-Jönsson.jpg
Forge FC,Kwame Awuah,d,2,Canada,1995-12-02,Kwame-Awuah.jpg
Forge FC,Kyle Bekker,m,3,Canada,1990-09-02,Kyle-Bekker.jpg
Forge FC,Tristan Borges,m,4,Canada,1998-08-26,Tristan-Borges.jpg
Forge FC,David Choinière,m,5,Canada,1997-02-07,David-Choinière.jpg
Forge FC,Elimane Cissé,m,6,Senegal,1995-03-12,Elimane-Cissé.jpg
Forge FC,Giuliano Frano,m,7,Canada,1993-05-16,Giuliano-Frano.jpg
Forge FC,Jonathan Grant,d,8,Canada,1993-10-15,Jonathan-Grant.jpg
Forge FC,Triston Henry,g,9,Canada,1993-09-08,Triston-Henry.jpg
Forge FC,Daniel Krutzen,d,10,Belgium,1996-09-19,Daniel-Krutzen.jpg
Forge FC,Monti Mohsen,d,11,Canada,2000-06-13,Monti-Mohsen.jpg
Forge FC,Christopher Nanco,f,13,Canada,1995-02-15,Christopher-Nanco.jpg
Forge FC,Bertrand Owundi,d,16,Cameroon,1993-10-15,Bertrand-Owundi.jpg
Forge FC,Quillan Roberts,g,17,Canada,1994-09-13,Quillan-Roberts.jpg
Forge FC,Dominic Samuel,d,22,Canada,1994-09-29,Dominic-Samuel.jpg
Forge FC,Kadell Thomas,f,30,Canada,1996-11-26,Kadell-Thomas.jpg
Forge FC,Emery Welshman,f,14,Guyana,1991-11-09,Emery-Welshman.jpg
Forge FC,Marcel Zajac,f,9,Canada,1998-04-29,Marcel-Zajac.jpg
Forge FC,Anthony Novak,f,23,Canada,1994-03-27,Anthony-Novak.jpg
Forge FC,Klaidi Cela,d,16,Canada,1999-07-16,Klaidi-Cela.jpg
Forge FC,David Edgar,d,30,Canada,1987-05-19,David-Edgar.jpg
Forge FC,Justin Stoddart,m,20,Canada,1995-11-03,empty.jpg
Forge FC,Oluwaseun Oyegunle,d,15,Canada,2002-11-03,empty.jpg
HFX Wanderers FC,Duran Lee,d,16,Canada,1995-05-09,empty.jpg
HFX Wanderers FC,Peter Schaale,d,2,Germany,1996-06-14,Peter-Schaale.jpg
HFX Wanderers FC,André Bona,d,3,France,1990-01-19,André-Bona.jpg
HFX Wanderers FC,Chakib Hocine,d,4,Algeria,1991-08-08,Chakib-Hocine.jpg
HFX Wanderers FC,Elton John,m,5,Trinidad and Tobago,1987-04-08,Elton-John.jpg
HFX Wanderers FC,Chrisnovic N'sa,d,6,Canada,1999-01-28,Chrisnovic-N_sa.jpg
HFX Wanderers FC,Juan Diego Gutiérrez,m,7,Peru,1992-04-28,Juan-DiegoGutiérrez.jpg
HFX Wanderers FC,Elliot Simmons,m,8,Canada,1998-02-05,Elliot-Simmons.jpg
HFX Wanderers FC,Kodai Iida,m,9,Japan,1994-12-06,Kodai-Iida.jpg
HFX Wanderers FC,Luis Alberto Perea,f,10,Colombia,1986-03-09,Luis-AlbertoPerea.jpg
HFX Wanderers FC,Akeem Garcia,m,11,Trinidad and Tobago,1996-11-09,Akeem-Garcia.jpg
HFX Wanderers FC,Mohamed Kourouma,f,12,Canada,1990-08-04,Mohamed-Kourouma.jpg
HFX Wanderers FC,Kouamé Ouattara,m,13,Ivory Coast,1991-08-06,Kouamé-Ouattara.jpg
HFX Wanderers FC,Vincent Lamy,f,14,Canada,1999-10-07,Vincent-Lamy.jpg
HFX Wanderers FC,Scott Firth,m,15,Canada,2001-03-02,Scott-Firth.jpg
HFX Wanderers FC,Tomasz Skublak,f,17,Canada,1997-12-08,Tomasz-Skublak.jpg
HFX Wanderers FC,Andre Rampersad,m,18,Trinidad and Tobago,1995-02-02,Andre-Rampersad.jpg
HFX Wanderers FC,Ndzemdzela Langwa,d,20,Canada,1998-05-03,Ndzemdzela-Langwa.jpg
HFX Wanderers FC,Jan-Michael Williams,g,21,Trinidad and Tobago,1984-10-26,Jan-Michael-Williams.jpg
HFX Wanderers FC,Abd-El-Aziz Yousef,f,22,Saudi Arabia,1999-10-05,Abd-El-Aziz-Yousef.jpg
HFX Wanderers FC,Alex De Carolis,d,24,Canada,1992-09-24,Alex-DeCarolis.jpg
HFX Wanderers FC,Zachary Sukunda,d,25,Canada,1995-06-24,Zachary-Sukunda.jpg
HFX Wanderers FC,Christian Oxner,g,50,Canada,1996-07-29,Christian-Oxner.jpg
HFX Wanderers FC,Matthew Arnone,d,23,Canada,1994-02-28,empty.jpg
Pacific FC,Alexander González,m,28,Panama,1994-12-14,empty.jpg
Pacific FC,Mark Village,g,1,Canada,1991-11-25,Mark-Village.jpg
Pacific FC,Nolan Wirth,g,6,Canada,1995-01-24,Nolan-Wirth.jpg
Pacific FC,Kadin Chung,d,7,Canada,1998-09-05,Kadin-Chung.jpg
Pacific FC,Marcel de Jong,d,8,Canada,1986-10-15,empty.jpg
Pacific FC,Lukas MacNaughton,d,14,United States,1995-03-08,Lukas-MacNaughton.jpg
Pacific FC,Hendrik Starostzik,d,16,Germany,1991-03-28,Hendrik-Starostzik.jpg
Pacific FC,Matthew Baldisimo,m,17,Canada,1998-01-20,Matthew-Baldisimo.jpg
Pacific FC,Victor Blasco,m,19,Spain,1994-07-01,Victor-Blasco.jpg
Pacific FC,Ben Fisk,m,21,Canada,1993-02-04,Ben-Fisk.jpg
Pacific FC,Noah Verhoeven,m,23,Canada,1999-06-15,Noah-Verhoeven.jpg
Pacific FC,Terran Campbell,f,14,Canada,1998-10-10,Terran-Campbell.jpg
Pacific FC,Marcus Haber,f,9,Canada,1989-01-11,Marcus-Haber.jpg
Pacific FC,Jose Hernandez,f,15,Canada,2000-03-19,Jose-Hernandez.jpg
Pacific FC,Alessandro Hojabrpour,f,21,Canada,2000-01-10,Alessandro-Hojabrpour.jpg
Pacific FC,Issey Nakajima-Farran,f,11,Canada,1984-05-16,Issey-Nakajima-Farran.jpg
Pacific FC,Blake Smith,d,4,USA,1991-01-17,Blake-Smith.jpg
Pacific FC,Ryan McCurdy,d,3,Canada,1991-05-23,Ryan-McCurdy.jpg
Pacific FC,Ahmed Alghamdi,m,13,Canada,2001-09-20,empty.jpg
Pacific FC,Emile Legault,d,20,Canada,2000-04-10,empty.jpg
Pacific FC,Zachary Verhoven,m,16,Canada,1998-08-17,empty.jpg
Pacific FC,David Norman Jr.,m,24,Canada,1998-05-31,empty.jpg
Valour FC,Yohan Le Bourhis,d,25,Canada,2000-03-09,empty.jpg
Valour FC,Adam Mitter,d,15,England,1993-01-05,Adam-Mitter.jpg
