team,name,Min,ExpG,ExpA,Goal,PsOnHfFl,SucflDuels,Touches,DuelLs,SucflTkls,Int,DefTouch,Clrnce,Recovery,TchsM3,Aerials
Forge,Daniel Krutzen,90,0.05,0.11,0,2,4,118,2,0,0,1,0,6,88,3
Forge,Daniel Krutzen,90,0.07,0.0,0,1,5,103,2,0,2,4,2,7,56,4
Forge,Daniel Krutzen,90,0.02,0.14,0,1,4,96,3,2,1,3,0,5,49,3
Forge,Daniel Krutzen,90,0.0,0.08,0,1,2,95,0,0,2,5,3,3,53,2
Forge,Daniel Krutzen,90,0.07,0.07,0,2,3,94,1,1,1,4,2,7,56,3
Forge,Daniel Krutzen,90,0.0,0.05,0,4,4,94,3,1,1,7,4,9,48,4
Forge,Daniel Krutzen,90,0.0,0.54,0,3,6,91,11,1,4,10,3,5,59,7
Forge,Daniel Krutzen,90,0.03,0.0,0,6,5,90,6,2,6,12,2,6,46,2
Forge,Daniel Krutzen,90,0.0,0.0,0,4,1,90,3,0,1,4,1,8,42,2
Forge,Daniel Krutzen,90,0.0,0.03,0,1,5,84,8,0,1,6,3,3,48,9
Forge,Daniel Krutzen,90,0.0,0.29,0,3,11,83,1,4,3,11,1,8,46,2
Forge,Daniel Krutzen,90,0.0,0.0,0,4,4,75,4,0,1,3,0,5,31,5
Forge,Daniel Krutzen,90,0.0,0.0,0,2,2,71,0,2,1,5,2,3,39,0
Forge,Daniel Krutzen,90,0.0,0.0,0,4,6,70,6,2,3,12,4,9,35,4
Forge,Daniel Krutzen,67,0.31,0.03,0,1,4,67,2,0,2,5,2,3,36,1
Forge,Daniel Krutzen,90,0.0,0.0,0,3,0,67,2,0,0,3,3,4,33,1
Forge,Daniel Krutzen,90,0.0,0.0,0,4,6,67,2,0,0,5,3,3,19,5
Forge,Daniel Krutzen,90,0.0,0.0,0,6,5,65,3,1,2,7,3,8,30,2
Forge,Daniel Krutzen,89,0.6,0.0,1,3,2,65,2,2,1,9,6,6,30,2
Forge,Daniel Krutzen,90,0.0,0.0,0,6,5,61,0,1,1,8,5,2,26,3
Forge,Daniel Krutzen,90,0.06,0.06,0,5,5,58,3,2,3,12,6,8,21,2
Forge,Daniel Krutzen,90,0.0,0.0,0,1,3,57,2,0,2,7,4,5,30,2
Forge,Daniel Krutzen,90,0.0,0.0,0,2,3,52,0,1,1,12,7,5,24,1
Forge,Daniel Krutzen,90,0.04,0.06,0,7,5,52,0,0,2,13,9,12,11,2
Forge,Daniel Krutzen,90,0.08,0.11,0,2,5,49,3,2,1,3,0,4,23,4
Forge,Daniel Krutzen,90,0.0,0.0,0,4,3,44,4,0,4,15,10,3,7,3
Forge,Daniel Krutzen,90,0.0,0.0,0,3,3,37,5,0,0,9,9,1,11,7
Forge,Daniel Krutzen,64,0.0,0.0,0,2,3,35,2,0,0,3,2,6,8,1
Forge,Daniel Krutzen,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Forge,Bertrand Owundi,90,0.11,0.0,0,0,2,112,4,0,2,2,0,6,74,4
Forge,Bertrand Owundi,90,0.0,0.0,0,2,7,100,2,3,0,6,2,6,70,3
Forge,Bertrand Owundi,90,0.0,0.0,0,7,8,87,2,1,3,12,8,4,48,6
Forge,Bertrand Owundi,90,0.0,0.0,0,2,3,78,6,0,0,2,2,6,41,6
Forge,Bertrand Owundi,90,0.0,0.0,0,2,4,73,5,0,0,3,3,7,57,3
Forge,Bertrand Owundi,90,0.08,0.0,0,0,0,70,1,0,1,4,3,4,37,1
Forge,Bertrand Owundi,77,0.0,0.0,0,4,3,69,1,0,3,9,5,6,31,1
Forge,Bertrand Owundi,90,0.0,0.0,0,1,2,69,4,0,1,5,4,4,34,4
Forge,Bertrand Owundi,90,0.0,0.0,0,6,7,67,3,3,4,14,7,6,32,5
Forge,Bertrand Owundi,89,0.0,0.0,0,5,3,65,5,0,1,6,5,1,25,4
Forge,Bertrand Owundi,90,0.0,0.0,0,4,2,60,3,1,0,5,2,5,22,2
Forge,Bertrand Owundi,90,0.0,0.0,0,3,7,60,2,1,0,7,4,6,34,4
Forge,Bertrand Owundi,90,0.13,0.0,0,1,3,55,1,0,3,5,2,0,21,3
Forge,Bertrand Owundi,90,0.0,0.0,0,2,2,50,1,0,1,10,9,1,20,3
Forge,Bertrand Owundi,90,0.0,0.0,0,3,2,50,3,1,3,9,5,8,21,3
Forge,Bertrand Owundi,90,0.0,0.0,0,3,1,41,1,1,0,5,4,3,17,0
Forge,Bertrand Owundi,90,0.0,0.0,0,0,6,40,2,1,1,9,7,5,7,5
Forge,Bertrand Owundi,90,0.0,0.0,0,2,4,40,4,0,0,13,11,4,11,6
Forge,Bertrand Owundi,90,0.0,0.0,0,2,3,29,5,1,1,9,6,6,11,1
