team,name,Min,ExpG,ExpA,Goal,Off,PsOpHfFl,PsAtt,PsOpHfScs,ChncOpnPl,SucflDuels,Touches,DuelLs,Recovery,FlComA3,FlSufM3,Disposs,TchsA3,TouchOpBox,PsCmpA3,display
Cavalry,Malyk Hamilton,90,0.1,0.06,0,1,5,49,19,1,3,80,4,4,0,0,1,20,3,7,Malyk Hamilton
Cavalry,Malyk Hamilton,90,0.0,0.0,0,0,2,52,17,0,2,77,4,6,1,0,0,12,0,8,Malyk Hamilton
Cavalry,Malyk Hamilton,90,0.03,0.0,0,1,4,42,12,0,9,74,3,9,0,0,2,20,2,7,Malyk Hamilton
Cavalry,Malyk Hamilton,90,0.0,0.02,0,0,3,51,15,0,5,70,6,9,0,0,0,9,0,4,Malyk Hamilton
Cavalry,Malyk Hamilton,90,0.0,0.0,0,0,1,46,23,0,7,69,1,5,0,0,0,21,1,13,Malyk Hamilton
Cavalry,Malyk Hamilton,90,0.0,0.0,0,0,4,36,15,0,10,65,6,6,0,0,4,9,0,4,Malyk Hamilton
Cavalry,Malyk Hamilton,90,0.0,0.0,0,0,6,43,18,0,4,63,4,3,0,0,1,10,1,6,Malyk Hamilton
Cavalry,Malyk Hamilton,75,0.0,0.0,0,0,4,39,9,0,4,61,6,5,0,0,3,11,0,6,Malyk Hamilton
Cavalry,Malyk Hamilton,90,0.31,0.03,0,1,1,39,14,1,1,59,2,2,0,0,0,17,2,7,Malyk Hamilton
Cavalry,Malyk Hamilton,90,0.0,0.0,0,0,4,35,18,0,4,57,5,8,1,0,0,21,2,10,Malyk Hamilton
Cavalry,Malyk Hamilton,85,0.0,0.0,0,0,6,40,7,0,2,56,5,3,0,0,1,9,2,3,Malyk Hamilton
Cavalry,Malyk Hamilton,90,0.0,0.0,0,0,7,32,10,0,5,54,0,6,0,1,0,6,0,1,Malyk Hamilton
Cavalry,Malyk Hamilton,90,0.04,0.41,0,0,4,27,14,3,2,43,7,5,0,0,2,29,2,13,Malyk Hamilton
Cavalry,Malyk Hamilton,68,0.0,0.0,0,0,4,31,17,0,2,37,1,6,0,1,0,12,0,9,Malyk Hamilton
Cavalry,Malyk Hamilton,11,0.0,0.0,0,0,2,13,3,0,2,19,0,3,0,0,0,0,0,0,Malyk Hamilton
Cavalry,Malyk Hamilton,14,0.0,0.0,0,0,2,16,2,0,0,17,0,2,0,0,0,2,0,1,Malyk Hamilton
Cavalry,Malyk Hamilton,17,0.0,0.0,0,0,1,6,1,0,2,13,2,0,0,0,0,1,0,0,Malyk Hamilton
Cavalry,Malyk Hamilton,15,0.08,0.21,0,0,2,7,5,1,0,8,1,0,0,0,0,6,2,4,Malyk Hamilton
Cavalry,Malyk Hamilton,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malyk Hamilton
Cavalry,Malyk Hamilton,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malyk Hamilton
Cavalry,Malyk Hamilton,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malyk Hamilton
Cavalry,Malyk Hamilton,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malyk Hamilton
Cavalry,Malyk Hamilton,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malyk Hamilton
Cavalry,Malyk Hamilton,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malyk Hamilton
Cavalry,Malyk Hamilton,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malyk Hamilton
Cavalry,Malyk Hamilton,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malyk Hamilton
Cavalry,Malyk Hamilton,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malyk Hamilton
HFX Wanderers,Mohamed Kourouma,90,0.23,0.15,0,3,10,48,18,0,5,76,9,12,1,0,2,35,3,15,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,90,0.1,0.38,0,3,8,39,16,2,8,74,6,9,0,0,2,29,1,7,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,90,0.11,0.21,0,0,12,36,18,0,3,68,4,7,0,1,3,38,6,12,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,86,0.56,0.35,0,2,9,38,17,2,3,68,10,9,2,0,3,32,4,9,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,90,0.16,0.07,0,2,1,27,12,2,8,66,7,10,0,0,3,32,5,5,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,90,0.16,0.5,0,2,9,38,20,1,7,63,7,8,0,2,1,38,5,16,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,90,0.11,1.09,0,2,10,39,14,3,7,62,5,10,0,2,0,24,1,8,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,90,0.14,0.56,0,2,8,33,12,1,5,60,6,8,0,0,1,28,2,7,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,90,0.06,0.08,0,0,2,33,14,0,7,60,7,8,0,3,3,20,1,7,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,80,0.18,0.09,0,3,10,30,7,1,9,59,5,9,0,1,1,22,3,1,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,90,0.15,0.46,0,0,8,28,4,1,4,58,5,7,0,0,0,27,4,2,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,90,0.85,0.79,1,1,5,30,14,3,4,57,5,10,0,0,0,27,1,6,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,90,0.17,0.11,0,1,7,27,9,1,7,55,9,6,0,0,1,22,2,6,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,90,0.1,0.56,0,0,10,31,9,1,10,54,6,4,0,2,2,22,3,6,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,90,0.02,0.0,0,1,5,32,17,0,4,52,7,9,0,3,1,15,3,4,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,90,0.2,0.0,0,1,4,32,11,0,2,49,5,3,0,1,3,21,3,7,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,82,0.09,0.23,0,0,0,21,7,0,4,44,4,7,0,2,4,18,1,5,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,64,0.19,0.0,0,0,10,26,6,0,6,44,7,9,0,1,1,17,3,3,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,77,0.24,0.67,0,1,3,15,4,0,6,43,5,4,0,1,0,22,0,2,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,84,0.16,0.03,0,3,5,23,10,1,4,43,7,3,0,0,3,23,2,8,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,86,0.0,0.0,0,0,7,15,5,0,3,33,4,4,0,0,0,11,0,3,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,76,0.1,0.0,0,1,7,21,9,0,5,30,5,3,0,0,0,17,1,9,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,26,0.03,0.25,0,1,4,17,7,1,0,25,2,2,0,0,1,14,0,6,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,27,0.06,0.0,0,2,2,7,2,0,2,15,1,4,0,0,1,7,0,2,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,26,0.0,0.1,0,0,3,10,3,0,0,14,2,2,0,0,0,8,0,2,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,14,0.02,0.14,0,1,2,6,4,0,0,13,1,2,0,0,1,8,0,1,Mohamed Kourouma
Forge,Emery Welshman,90,0.18,0.51,0,2,4,44,27,3,10,75,5,5,0,3,2,37,7,17,Emery Welshman
Forge,Emery Welshman,90,0.45,0.48,0,4,7,21,7,2,10,51,3,7,0,2,1,32,9,6,Emery Welshman
Forge,Emery Welshman,90,0.0,0.03,0,0,10,30,14,1,3,48,5,4,0,0,2,21,2,10,Emery Welshman
Forge,Emery Welshman,90,0.0,0.18,0,0,4,29,18,2,3,47,11,3,0,0,2,29,1,14,Emery Welshman
Forge,Emery Welshman,90,0.09,0.04,0,1,7,25,14,1,2,44,9,2,0,1,2,19,7,6,Emery Welshman
Forge,Emery Welshman,90,0.79,0.06,1,1,3,21,8,1,8,44,8,4,3,1,2,20,11,6,Emery Welshman
Forge,Emery Welshman,90,1.98,0.07,1,2,7,23,10,1,3,41,12,3,1,1,4,30,10,9,Emery Welshman
Forge,Emery Welshman,74,0.7,0.0,1,0,5,24,14,0,7,40,10,4,0,0,5,14,4,8,Emery Welshman
Forge,Emery Welshman,90,0.11,0.64,0,0,2,24,19,3,3,38,6,2,0,0,2,23,10,13,Emery Welshman
Forge,Emery Welshman,87,0.06,0.0,0,0,6,18,10,0,5,37,13,3,3,2,5,18,3,5,Emery Welshman
Forge,Emery Welshman,50,0.65,0.03,0,0,5,13,7,1,5,33,6,2,0,0,2,23,10,4,Emery Welshman
Pacific,Alessandro Hojabrpour,90,0.0,0.0,0,0,1,63,16,0,9,74,5,2,0,1,0,1,0,0,Alessandro Hojabrpour
