team,Age,pos,name,overall,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,BgChnc,BgChncCrtd,ChncOpnPl,Chance,SOG,SOTInBox,SOTOBox,ShotDirFK,SOTHead,Pass%,display,number
Pacific,22,cf,Terran Campbell,0.62,2334,8.89,2.86,11,1,0,4,2,12,3,30,31,23,18,5,3,5,77.0,Terran Campbell,14
York United,29,cf,Rodrigo Pablo Gattas Bertoni,0.61,1958,9.19,1.99,9,2,0,2,0,12,3,22,23,36,26,10,1,8,76.0,Rodrigo Gattas,22
Cavalry,31,cf,Dominique Malonga,0.56,1961,15.57,3.55,11,1,0,1,1,27,5,17,19,34,29,5,0,3,82.0,Dominique Malonga,19
HFX Wanderers,30,lm,Mohamed Kourouma,0.53,1988,4.2,6.82,1,1,0,0,3,2,13,20,44,17,6,11,9,0,68.0,Mohamed Kourouma,12
Edmonton,26,cf,Oumar Diouck,0.47,1976,4.91,3.48,6,0,0,1,2,7,5,24,30,16,8,8,6,1,77.0,Oumar Diouck,45
Edmonton,22,cf,Easton Ongaro,0.43,1167,8.45,1.29,10,0,0,3,2,13,2,9,11,20,18,2,2,5,74.0,Easton Ongaro,19
Cavalry,25,ram,Nico Pasquotti,0.41,1943,5.77,3.6,5,0,0,1,3,10,5,18,25,16,16,0,0,3,73.0,Nico Pasquotti,17
Cavalry,28,cam,Oliver Minatel,0.36,1467,6.65,2.83,7,0,0,2,1,12,4,16,17,12,11,1,0,3,76.0,Oliver Minatel,7
York United,27,cf,Simon Karlsson Adjei,0.34,1422,7.61,1.49,7,0,0,0,2,10,1,19,21,16,14,2,0,1,73.0,Simon Karlsson Adjei,12
Edmonton,32,cf,Tomi Ameobi,0.33,1859,4.22,2.15,4,1,0,1,0,5,3,21,22,10,10,0,0,3,75.0,Tomi Ameobi,18
Forge,25,lam,Christopher Lenroy Nanco,0.32,1497,2.32,2.51,4,0,0,0,2,2,4,21,21,12,10,2,0,2,73.0,Chris Nanco,13
Cavalry,24,cf,Jordan Brown,0.31,1397,7.07,3.13,4,0,0,1,1,9,6,14,17,13,11,2,0,1,75.0,Jordan Brown,9
Forge,22,cf,Marcel Dominik Zajac,0.31,1073,5.01,2.87,1,0,0,1,3,8,5,12,13,11,10,1,0,2,80.0,Marcel Zajac,9
Forge,26,cf,Anthony Joseph Novak,0.31,1112,3.51,2.61,6,0,0,0,3,7,5,12,14,13,11,2,0,0,66.0,Anthony Novak,23
HFX Wanderers,34,cf,Luis Alberto Perea,0.3,1014,3.42,0.87,3,2,0,0,1,5,1,11,12,11,7,4,0,1,75.0,Luis Alberto Perea,10
Forge,29,cf,Emery Welshman,0.29,931,5.0,2.03,3,1,0,0,2,7,3,15,15,9,8,1,0,1,72.0,Emery Welshman,14
Valour,19,cf,Tyler Attardo,0.27,999,4.35,0.71,6,0,0,3,0,7,1,5,7,11,9,2,0,4,62.0,Tyler Attardo,16
HFX Wanderers,23,cf,Tomasz Skublak,0.26,1389,4.78,1.48,1,0,0,0,1,8,1,19,20,13,11,2,0,1,70.0,Tomasz Skublak,17
Pacific,31,cf,Marcus Haber,0.24,703,4.19,1.36,3,1,0,2,0,6,1,8,9,6,6,0,0,4,59.0,Marcus Haber,9
Valour,34,cf,Michele Paolucci,0.22,1139,3.04,0.86,3,0,0,0,2,2,1,6,6,11,7,4,0,0,65.0,Michele Paolucci,17
Pacific,20,cf,José Hernández,0.22,652,1.84,1.39,1,0,0,1,2,2,2,6,6,7,5,2,0,3,78.0,Jose Hernandez,15
Pacific,36,cf,Issey Nakajima-Farran,0.19,252,1.02,0.07,1,0,1,0,0,1,0,2,2,5,1,4,4,0,71.0,Issey Nakajima-Farran,11
Forge,24,lam,Kadell Thomas,0.16,541,0.71,1.32,3,0,0,0,1,0,2,4,4,7,4,3,0,0,75.0,Kadell Thomas,30
