team,name,Min,ExpG,overall,ExpA,Goal,Off,PsOpHfFl,PsAtt,PsOpHfScs,ChncOpnPl,SucflDuels,Touches,DuelLs,Recovery,FlComA3,FlSufM3,Disposs,TchsA3,TouchOpBox,PsCmpA3,display,number
cav,Nico Pasquotti,90,0.26,0.76,0.16,0.23,0.59,5.09,21.68,10.32,0.82,8.45,53.59,9.64,5.18,1.14,1.0,1.68,30.0,4.5,6.86,Nico Pasquotti,0.77
pac,Terran Campbell,90,0.34,0.76,0.11,0.42,0.92,4.38,21.88,11.5,1.15,4.54,36.92,7.92,3.12,0.58,0.42,2.0,16.88,2.96,6.54,Terran Campbell,0.54
fce,Oumar Diouck,90,0.22,0.73,0.16,0.27,0.77,5.18,26.5,12.73,1.09,5.14,44.68,7.09,4.77,1.27,1.27,1.36,19.14,3.32,7.05,Oumar Diouck,2.05
hfx,Mohamed Kourouma,90,0.19,0.72,0.31,0.05,1.45,7.32,31.91,12.23,0.91,5.59,58.41,6.41,7.68,0.14,0.86,1.68,26.23,2.45,7.23,Mohamed Kourouma,0.55
yor,Rodrigo Pablo Gattas Bertoni,90,0.42,0.69,0.09,0.41,1.14,6.14,33.09,15.95,1.0,4.32,48.73,5.41,3.95,0.41,0.59,1.05,18.73,3.91,7.14,Rodrigo Gattas,1.0
cav,Dominique Malonga,90,0.71,0.65,0.16,0.5,1.18,3.68,23.0,12.91,0.77,4.09,35.82,5.27,2.32,0.27,0.82,1.64,18.05,4.68,7.77,Dominique Malonga,0.86
fce,Tomi Ameobi,90,0.2,0.63,0.1,0.19,0.57,4.86,23.9,11.86,1.0,6.43,36.95,8.29,3.0,1.19,0.86,2.0,14.38,2.81,6.67,Tomi Ameobi,0.86
for,Christopher Lenroy Nanco,90,0.14,0.59,0.15,0.24,0.76,5.12,22.76,12.47,1.24,4.24,45.47,8.65,5.24,0.71,0.82,2.94,26.71,4.47,9.18,Chris Nanco,0.76
hfx,Tomasz Skublak,90,0.32,0.57,0.1,0.07,1.07,7.13,26.67,12.13,1.27,9.47,46.53,8.8,2.93,1.13,1.87,2.07,19.73,4.93,7.27,Tomasz Skublak,1.13
cav,Oliver Minatel,90,0.42,0.5,0.18,0.44,1.12,4.31,22.06,10.31,1.0,5.88,37.25,6.38,3.56,0.81,1.5,1.06,15.81,4.19,5.75,Oliver Minatel,0.44
yor,Simon Karlsson Adjei,90,0.48,0.5,0.09,0.44,1.5,5.06,21.31,9.81,1.19,5.25,35.94,7.88,1.81,0.5,0.62,2.19,17.25,4.75,5.5,Simon Karlsson Adjei,0.75
