name,Goal,Min,display,position,number,team
Tristan Daniel Borges,13,1973,Tristan Borges,m,4,Forge FC
Terran Campbell,11,2334,Terran Campbell,f,14,Pacific FC
Dominique Malonga,11,1961,Dominique Malonga,f,19,Cavalry FC
Easton Ongaro,10,1167,Easton Ongaro,f,19,FC Edmonton
Rodrigo Pablo Gattas Bertoni,9,1958,Rodrigo Gattas,f,22,York9 FC
Ryan Telfer,8,2216,Ryan Telfer,m,18,York9 FC
Akeem Garcia,7,2082,Akeem Garcia,m,11,HFX Wanderers FC
Marco Bustos,7,2249,Marco Bustos,m,22,Valour FC
Oliver Minatel,7,1467,Oliver Minatel,f,7,Cavalry FC
Simon Karlsson Adjei,7,1422,Simon Karlsson Adjei,f,12,York9 FC
Oumar Diouck,6,1976,Oumar Diouck,f,45,FC Edmonton
Michael Petrasso,6,1301,Michael Petrasso,m,9,Valour FC
Tyler Attardo,6,999,Tyler Attardo,f,16,Valour FC
Anthony Joseph Novak,6,1112,Anthony Novak,f,23,Forge FC
Ben Fisk,6,1663,Ben Fisk,m,21,Pacific FC
Victor Blasco,6,1586,Victor Blasco,m,19,Pacific FC
Sergio Camargo,6,1260,Sergio Camargo,m,10,Cavalry FC
Nico Pasquotti,5,1943,Nico Pasquotti,f,17,Cavalry FC
Julian Büscher,5,1768,Julian Büscher,m,8,Cavalry FC
José Escalante,4,1613,José Escalante,m,11,Cavalry FC
Kyle Edward Bekker,4,2443,Kyle Bekker,m,3,Forge FC
Christopher Lenroy Nanco,4,1497,Chris Nanco,f,13,Forge FC
Jordan Brown,4,1397,Jordan Brown,f,9,Cavalry FC
Tomi Ameobi,4,1859,Tomi Ameobi,f,18,FC Edmonton
Nikolas Ledgerwood,3,1317,Nik Ledgerwood,m,6,Cavalry FC
Michele Paolucci,3,1139,Michele Paolucci,f,17,Valour FC
Marcus Haber,3,703,Marcus Haber,f,9,Pacific FC
Kadell Thomas,3,541,Kadell Thomas,f,30,Forge FC
Luis Alberto Perea,3,1014,Luis Alberto Perea,f,10,HFX Wanderers FC
Wataru Murofushi,3,1718,Wataru Murofushi,m,23,York9 FC
Emery Welshman,3,931,Emery Welshman,f,14,Forge FC
Juan Diego Gutiérrez de las Casas,2,1240,Juan Diego Gutiérrez,m,7,HFX Wanderers FC
Joseph Di Chiara,2,1755,Joseph Di Chiara,m,8,York9 FC
Kyle Porter,2,1916,Kyle Porter,m,19,York9 FC
Jace Kotsopoulos,2,138,Jace Kotsopoulos,m,12,Forge FC
Lukas MacNaughton,2,1704,Lukas MacNaughton,d,14,Pacific FC
Elimane Oumar Cissé,2,1730,Elimane Cissé,m,6,Forge FC
Mélé Temguia,2,2429,Mélé Temguia,d,8,FC Edmonton
Manuel Aparicio,2,2159,Manny Aparicio,m,10,York9 FC
Dylan Carreiro,2,1441,Dylan Carreiro,m,10,Valour FC
Matthew Arnone,2,2094,Matthew Arnone,d,23,HFX Wanderers FC
Zachary Verhoven,2,1285,Zach Verhoven,m,16,Pacific FC
David Choinière,2,998,David Choinière,m,5,Forge FC
Ali Musse,2,740,Ali Musse,m,23,Valour FC
Diyaeddine Abzi,1,1814,Diyaeddine Abzi,d,20,York9 FC
Andre Rampersad,1,2003,Andre Rampersad,m,18,HFX Wanderers FC
Jonathan Grant,1,882,Jonathan Grant,d,8,Forge FC
Stephen Hoyle,1,237,Stephen Hoyle,f,17,Valour FC
Tomasz Skublak,1,1389,Tomasz Skublak,f,17,HFX Wanderers FC
Calum Ferguson,1,344,Calum Ferguson,f,12,Valour FC
José Hernández,1,652,Jose Hernandez,f,15,Pacific FC
Bruno Zebie,1,1766,Bruno Zebie,m,20,FC Edmonton
Kadin Chung,1,2032,Kadin Chung,d,7,Pacific FC
Kodai Iida,1,1180,Kodai Iida,m,9,HFX Wanderers FC
Luca Gasparotto,1,2520,Luca Gasparotto,d,13,York9 FC
Louis Béland-Goyette,1,1772,Louis Béland-Goyette,m,5,Valour FC
Peter Schaale,1,1530,Peter Schaale,d,2,HFX Wanderers FC
Morey Doner,1,2250,Morey Doner,d,3,York9 FC
Marcel Dominik Zajac,1,1073,Marcel Zajac,f,9,Forge FC
Montther Mohsen,1,363,Monti Mohsen,d,11,Forge FC
Mohamed Kourouma,1,1988,Mohamed Kourouma,f,12,HFX Wanderers FC
Marcus Velado-Tsegaye,1,486,Marcus Velado-Tsegaye,f,17,FC Edmonton
Ahmed Alghamdi,1,330,Ahmed Alghamdi,m,13,Pacific FC
Joel Waterman,1,1719,Joel Waterman,m,15,Cavalry FC
Klaidi Cela,1,326,Klaidi Cela,d,16,Forge FC
Prince Amanda,1,137,Prince Amanda,f,16,FC Edmonton
Dylan Sacramento,1,1136,Dylan Sacramento,m,7,Valour FC
Daniel Krutzen,1,2470,Daniel Krutzen,d,10,Forge FC
Issey Nakajima-Farran,1,252,Issey Nakajima-Farran,f,11,Pacific FC
Hendrik Starostzik,1,1161,Hendrik Starostzik,d,16,Pacific FC
Dominick Zator,1,2425,Dominick Zator,d,4,Cavalry FC
Elijah Adekugbe,1,1575,Elijah Adekugbe,m,16,Cavalry FC
Emilio Estevez Tsai,1,627,Emilio Estevez,m,11,York9 FC
Giuliano Frano,1,1964,Giuliano Frano,m,7,Forge FC
David Edward Edgar,1,834,David Edgar,d,30,Forge FC
Ramon Soria,1,2010,Ramón Soria,d,5,FC Edmonton
Victor Loturi,0,137,Victor Loturi,f,13,Cavalry FC
Vincent Lamy,0,88,Vincent Lamy,f,14,HFX Wanderers FC
Raphaël Garcia,0,943,Raphaël Garcia,d,2,Valour FC
Yohan Le Bourhis,0,720,Yohan Le Bourhis,d,25,Valour FC
Skylar Rutherford Thomas,0,1894,Skylar Thomas,d,3,Valour FC
Yong-Chan Son,0,952,Yong-Chan Son,m,7,FC Edmonton
Randy Edwini-Bonsu,0,363,Randy Edwini-Bonsu,f,11,FC Edmonton
Scott Firth,0,287,Scott Firth,m,15,HFX Wanderers FC
Zachary Sukunda,0,841,Zachary Sukunda,d,25,HFX Wanderers FC
Roger Thompson,0,802,Roger Thompson,d,6,York9 FC
Sachdev Grewal,0,0,Zach Verhoven,-,999,No Club FC
Michael Cox,0,184,Michael Cox,f,92,York9 FC
Mauro Eustaquio,0,533,Mauro Eustaquio,m,18,Cavalry FC
Raphael Ohin,0,1461,Raphael Ohin,m,27,Valour FC
Matthew Silva,0,90,Matt Silva,g,1,York9 FC
Tyson Farago,0,1440,Tyson Farago,g,1,Valour FC
Quillan Roberts,0,720,Quillan Roberts,g,17,Forge FC
Oluwatofarati Fakunle,0,9,Oluwatofarati Fakunle,f,25,Cavalry FC
Oluwaseun Oyegunle,0,38,Oluwaseun Oyegunle,d,15,Forge FC
Philippe Lincourt-Joseph,0,346,Philippe Lincourt-Joseph,m,10,FC Edmonton
Steven Furlano,0,517,Steven Furlano,d,77,York9 FC
Nolan Wirth,0,1080,Nolan Wirth,g,6,Pacific FC
Svyatik Artemenko,0,0,Tomi Ameobi,-,999,No Club FC
Ryan McCurdy,0,744,Ryan McCurdy,d,3,Pacific FC
Tony Tchani,0,192,Tony Tchani,m,22,FC Edmonton
Nathan Ingham,0,2340,Nathan Ingham,g,1,York9 FC
Nikolaos Giantsopoulos,0,450,Niko Giantsopoulos,g,22,Cavalry FC
Nicolás Galvis,0,488,Nicolás Galvis,m,14,Valour FC
Triston Henry,0,1979,Triston Henry,g,9,Forge FC
Tyrone Venhola,0,0,Triston Henry,-,999,No Club FC
Ndzemdzela Langwa,0,1281,Zoom Langwa,d,20,HFX Wanderers FC
Stefan Lamanna,0,77,Stefan Lamanna,f,21,York9 FC
Nathan Mavila,0,2021,Nathan Mavila,d,3,Cavalry FC
Noah Verhoeven,0,1850,Noah Verhoeven,m,23,Pacific FC
Abd-El-Aziz Yousef,0,0,Abd-El-Aziz Yousef,f,22,HFX Wanderers FC
Matthew Baldisimo,0,1809,Matthew Baldisimo,m,17,Pacific FC
Duran Lee,0,678,Duran Lee,d,16,HFX Wanderers FC
Diego Gutiérrez,0,1604,Diego Gutiérrez,m,8,Valour FC
Dean Northover,0,609,Dean Northover,d,12,Cavalry FC
David Norman Jr.,0,596,David Norman Jr.,m,24,Pacific FC
David Doe,0,170,David Doe,f,26,FC Edmonton
Daniel Gogarty,0,1551,Daniel Gogarty,d,2,York9 FC
Cyrus Rollocks,0,292,Cyrus Rollocks,f,17,York9 FC
Connor James,0,1979,Connor James,g,1,FC Edmonton
Colm Vance,0,90,Colm Vance,g,31,York9 FC
Christian Oxner,0,1489,Christian Oxner,g,50,HFX Wanderers FC
Chrisnovic N'Sa,0,1217,Chris N'sa,d,6,HFX Wanderers FC
Chris Ezoua,0,0,Chris N'sa,-,999,No Club FC
Chakib Hocine,0,352,Chakib Hocine,d,4,HFX Wanderers FC
Carlos Patiño,0,320,Carlos Patiño,m,20,Cavalry FC
Blake Smith,0,2004,Blake Smith,d,4,Pacific FC
Bertrand Owundi,0,1756,Bertrand Owundi,d,16,Forge FC
Baj Maan,0,0,Lukas MacNaughton,-,999,No Club FC
Austin Ricci,0,199,Austin Ricci,f,7,York9 FC
Aribim Pepple,0,61,Aribim Pepple,f,24,Cavalry FC
André Bona,0,2053,André Bona,d,3,HFX Wanderers FC
Amer Didic,0,1650,Amer Didic,d,55,FC Edmonton
Allan Zebie,0,1970,Allan Zebie,d,4,FC Edmonton
Alexander Gonzalez Moreno,0,1746,Alexander González,m,28,Pacific FC
Alexander Börje Achinioti-Jönsson,0,1760,Alexander Achinioti-Jönsson,m,1,Forge FC
Alex De Carolis,0,1246,Alex De Carolis,d,24,HFX Wanderers FC
Alessandro Hojabrpour,0,1731,Alessandro Hojabrpour,f,21,Pacific FC
Ajeej Sarkaria,0,566,Ajeej Sarkaria,f,9,FC Edmonton
Ajay Khabra,0,1727,Ajay Khabra,m,23,FC Edmonton
Dominic Samuel,0,2133,Dominic Samuel,d,22,Forge FC
Dylon Powley,0,540,Dylon Powley,g,13,FC Edmonton
Mathias Janssens,0,1080,Mathias Janssens,g,26,Valour FC
Edem Mortotsi,0,881,Edem Mortotsi,m,6,FC Edmonton
Mason Trafford,0,1891,Mason Trafford,d,5,Cavalry FC
Martín Arguiñarena,0,1534,Martín Arguiñarena,d,6,Valour FC
Mark Village,0,1440,Mark Village,g,1,Pacific FC
Marco Carducci,0,2250,Marco Carducci,g,1,Cavalry FC
Marcel de Jong,0,50,Marcel de Jong,d,8,Pacific FC
Malyk Hamilton,0,1275,Malyk Hamilton,f,21,Cavalry FC
Luke Iacobellis,0,0,James Marcelin,-,999,No Club FC
Kwame Awuah,0,1974,Kwame Awuah,d,2,Forge FC
Kouamé Ouattara,0,229,Kouamé Ouattara,m,13,HFX Wanderers FC
Adam Mitter,0,1513,Adam Mitter,d,15,Valour FC
Kareem Moses,0,969,Kareem Moses,d,12,FC Edmonton
Justin Stoddart,0,14,Justin Stoddart,m,20,Forge FC
Justin Springer,0,945,Justin Springer,d,5,York9 FC
José Antonio Galán Pedrosa,0,901,José Galán,m,21,Valour FC
Josip Golubar,0,255,Josip Golubar,m,20,Valour FC
Jordan Santiago,0,0,Jordan Brown,-,999,No Club FC
Jordan Peter Murrell,0,1784,Jordan Murrell,d,4,Valour FC
Jonathan Wheeldon,0,1497,Jay Wheeldon,d,14,Cavalry FC
Jeannot Esua,0,1798,Jeannot Esua,d,3,FC Edmonton
Jan-Michael Williams,0,1028,Jan-Michael Williams,g,21,HFX Wanderers FC
James Marcelin,0,1698,James Marcelin,m,14,FC Edmonton
Glenn Muenkat,0,365,Glenn Muenkat,m,11,Valour FC
Gabriel Bitar,0,90,Gabriel Bitar,f,19,Cavalry FC
Federico Peña,0,315,Federico Peña,f,77,Valour FC
Emmanuel Zambazis,0,277,Emmanuel Zambazis,m,14,York9 FC
Elton John,0,1435,Elton John,m,5,HFX Wanderers FC
Elliot Simmons,0,969,Elliot Simmons,m,8,HFX Wanderers FC
Émile Legault,0,915,Emile Legault,d,20,Pacific FC
