team,name,Min,CleanSheet,PsOnHfFl,Recovery,GoalCncd,GoalCnIBx,Saves,SvClct,SvDive,SvHands,SvInBox,SvOutBox,SvPrdSaf,SvStand,BgChncFace,ExpGAg
Pacific,Nolan Wirth,90,0,7,1,1,1,3,1,2,3,1,2,2,1,1,1.2
Pacific,Nolan Wirth,90,0,2,3,1,1,5,3,1,5,2,3,2,2,1,1.34
Pacific,Nolan Wirth,90,0,4,2,3,3,7,1,6,6,3,4,4,0,4,2.57
Pacific,Nolan Wirth,90,0,3,1,1,1,7,2,3,6,4,3,2,2,8,3.45
Pacific,Nolan Wirth,90,0,4,4,2,1,5,4,1,5,3,2,1,4,0,0.76
Pacific,Nolan Wirth,90,0,3,1,3,3,10,5,4,8,6,4,2,4,7,3.62
Pacific,Nolan Wirth,90,0,6,0,4,3,4,1,0,3,3,1,1,2,7,3.53
Pacific,Nolan Wirth,90,0,9,1,3,3,0,0,0,0,0,0,0,0,5,1.53
Pacific,Nolan Wirth,90,1,0,0,0,0,6,6,2,6,2,4,0,1,0,0.37
Pacific,Nolan Wirth,90,0,3,0,2,2,3,1,2,3,2,1,1,0,2,2.0
Pacific,Nolan Wirth,90,0,1,2,1,1,4,1,1,2,2,2,2,0,2,1.26
Pacific,Nolan Wirth,90,0,0,2,3,3,5,2,4,4,4,1,1,1,6,3.07
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacific,Mark Village,90,0,1,1,2,1,2,1,1,2,1,1,1,0,3,1.58
Pacific,Mark Village,90,0,3,0,1,1,6,2,3,5,4,2,3,2,1,0.73
Pacific,Mark Village,90,0,2,1,1,1,1,0,1,1,1,0,1,0,3,1.47
Pacific,Mark Village,90,0,2,0,2,2,1,0,1,1,1,0,0,0,2,1.47
Pacific,Mark Village,90,1,1,0,0,0,2,1,0,2,2,0,0,0,1,0.6
Pacific,Mark Village,90,1,3,2,0,0,7,4,3,7,3,4,2,1,2,1.06
Pacific,Mark Village,90,0,3,2,2,2,2,1,1,2,1,1,1,0,4,2.62
Pacific,Mark Village,90,0,2,0,1,0,4,2,2,4,2,2,1,0,3,1.17
Pacific,Mark Village,90,0,3,0,2,1,2,0,2,2,1,1,2,0,2,1.65
