team,name,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,PsAtt,PsOnHfScs,PsOpHfScs,Touches,DuelLs,SucflDuels,TcklMade%
Pacific,Alexander Gonzalez Moreno,90,0.0,0.0,0,0,0,0,0,104,68,30,114,1,6,100.0%
Pacific,Alexander Gonzalez Moreno,90,0.0,0.0,0,0,0,0,0,89,42,33,106,9,9,75.0%
Pacific,Alexander Gonzalez Moreno,90,0.03,0.0,0,0,0,0,0,74,38,24,97,7,16,88.9%
Pacific,Alexander Gonzalez Moreno,90,0.02,0.48,0,0,0,0,1,84,36,38,94,4,4,25.0%
Pacific,Alexander Gonzalez Moreno,85,0.0,0.13,0,0,0,0,0,85,52,21,92,3,4,33.3%
Pacific,Alexander Gonzalez Moreno,90,0.0,0.0,0,0,0,0,0,73,47,18,85,1,2,-
Pacific,Alexander Gonzalez Moreno,90,0.0,0.03,0,0,0,0,0,76,41,25,85,5,3,33.3%
Pacific,Alexander Gonzalez Moreno,90,0.04,0.29,0,0,0,0,0,62,37,16,77,3,7,75.0%
Pacific,Alexander Gonzalez Moreno,90,0.0,0.0,0,0,0,0,0,66,42,20,77,7,6,33.3%
Pacific,Alexander Gonzalez Moreno,90,0.03,0.0,0,0,0,0,0,63,23,31,75,9,5,66.7%
Pacific,Alexander Gonzalez Moreno,90,0.12,0.0,0,0,0,0,0,51,24,16,71,5,7,75.0%
Pacific,Alexander Gonzalez Moreno,66,0.02,0.0,0,0,0,0,0,55,33,15,65,6,4,75.0%
Pacific,Alexander Gonzalez Moreno,90,0.06,0.0,0,0,0,0,0,50,23,19,64,3,7,100.0%
Pacific,Alexander Gonzalez Moreno,90,0.0,0.0,0,0,0,0,0,52,19,24,64,4,5,-
Pacific,Alexander Gonzalez Moreno,72,0.75,0.0,0,0,0,0,0,50,34,11,61,4,4,50.0%
Pacific,Alexander Gonzalez Moreno,90,0.0,0.12,0,0,0,0,0,49,24,18,59,9,7,75.0%
Pacific,Alexander Gonzalez Moreno,83,0.05,0.0,0,0,0,0,0,45,22,15,57,6,4,40.0%
Pacific,Alexander Gonzalez Moreno,90,0.0,0.15,0,0,0,0,1,48,26,12,57,3,6,100.0%
Pacific,Alexander Gonzalez Moreno,90,0.0,0.0,0,0,0,0,0,42,22,10,52,4,6,66.7%
