team,Age,pos,name,overall,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,Crosses,Touches,TcklMade%,Pass%,DuelsW%,display,number
Forge FC,22,cam,Tristan Daniel Borges,0.66,90,0.42,0.19,0.59,0.14,0.0,0.0,0.23,3.68,61.5,3.17,3.45,2.27,Tristan Borges,0.18
York9 FC,26,lm,Ryan Telfer,0.64,90,0.29,0.22,0.32,0.0,0.0,0.04,0.04,6.56,61.32,2.81,3.08,2.16,Ryan Telfer,0.72
Forge FC,30,cm,Kyle Edward Bekker,0.58,90,0.22,0.2,0.15,0.0,0.04,0.0,0.19,3.67,66.04,1.81,3.04,1.3,Kyle Bekker,0.11
York9 FC,30,cm,Kyle Porter,0.57,90,0.21,0.13,0.1,0.0,0.0,0.05,0.19,4.19,53.86,3.15,3.81,2.38,Kyle Porter,0.9
Cavalry FC,27,cm,Julian Büscher,0.56,90,0.14,0.33,0.25,0.0,0.05,0.0,0.2,6.1,75.9,2.65,3.8,2.25,Julian Büscher,0.4
Valour FC,24,cam,Marco Bustos,0.54,90,0.27,0.17,0.28,0.08,0.0,0.0,0.12,2.96,56.68,1.8,3.32,1.92,Marco Bustos,0.88
Cavalry FC,25,lam,José Escalante,0.54,90,0.25,0.27,0.22,0.06,0.06,0.0,0.22,6.5,50.89,3.59,3.89,2.61,José Escalante,0.61
Valour FC,25,cf,Michael Petrasso,0.52,90,0.47,0.27,0.43,0.29,0.0,0.0,0.36,2.57,48.29,4.08,5.64,3.0,Michael Petrasso,0.64
Pacific FC,26,lw,Victor Blasco,0.52,90,0.16,0.21,0.33,0.0,0.11,0.0,0.17,2.61,57.78,3.1,4.17,2.61,Victor Blasco,1.06
Forge FC,27,rb,Giuliano Frano,0.49,90,0.06,0.05,0.05,0.0,0.0,0.05,0.0,0.55,73.59,3.34,3.55,2.5,Giuliano Frano,0.32
York9 FC,25,cm,Manuel Aparicio,0.48,90,0.1,0.09,0.08,0.0,0.04,0.0,0.08,1.67,74.5,2.22,3.25,1.75,Manny Aparicio,0.42
Pacific FC,27,ram,Ben Fisk,0.46,90,0.34,0.16,0.33,0.0,0.0,0.0,0.28,3.61,47.72,3.05,4.33,1.89,Ben Fisk,1.17
Cavalry FC,24,cm,Elijah Adekugbe,0.45,90,0.02,0.13,0.06,0.0,0.0,0.0,0.22,0.56,65.83,4.09,4.72,3.33,Elijah Adekugbe,0.89
York9 FC,28,dm,Joseph Di Chiara,0.45,90,0.14,0.06,0.1,0.1,0.0,0.0,0.05,0.1,67.6,3.51,4.4,2.7,Joseph Di Chiara,0.4
Cavalry FC,24,rcb,Joel Waterman,0.43,90,0.06,0.09,0.05,0.0,0.0,0.0,0.11,0.32,74.89,3.64,4.42,3.32,Joel Waterman,0.79
York9 FC,25,dm,Wataru Murofushi,0.41,90,0.14,0.1,0.16,0.05,0.0,0.0,0.0,0.84,69.37,3.17,4.47,2.89,Wataru Murofushi,1.21
Pacific FC,26,cm,Alexander Gonzalez Moreno,0.41,90,0.06,0.06,0.0,0.0,0.0,0.0,0.11,0.32,78.89,3.48,4.53,2.84,Alexander González,1.47
HFX Wanderers FC,25,cm,Andre Rampersad,0.41,90,0.03,0.06,0.05,0.0,0.0,0.0,0.05,0.14,57.95,3.26,3.86,2.59,Andre Rampersad,0.82
HFX Wanderers FC,28,rm,Juan Diego Gutiérrez de las Casas,0.41,90,0.08,0.07,0.14,0.0,0.0,0.07,0.0,3.79,46.29,3.89,5.57,3.29,Juan Diego Gutiérrez,0.5
Valour FC,25,dm,Louis Béland-Goyette,0.4,90,0.02,0.1,0.05,0.0,0.0,0.0,0.15,0.5,57.95,3.04,4.2,2.35,Louis Béland-Goyette,0.25
Forge FC,24,cm,Alexander Börje Achinioti-Jönsson,0.4,90,0.04,0.06,0.0,0.0,0.0,0.0,0.1,0.0,55.0,3.65,4.1,3.1,Alexander Achinioti-Jönsson,0.05
Valour FC,23,cm,Diego Gutiérrez,0.39,90,0.05,0.08,0.0,0.0,0.0,0.0,0.06,0.78,68.06,4.07,4.33,3.39,Diego Gutiérrez,0.44
Pacific FC,21,cm,Noah Verhoeven,0.39,90,0.07,0.15,0.0,0.0,0.0,0.0,0.05,3.43,62.81,2.58,3.86,2.14,Noah Verhoeven,1.1
Pacific FC,22,rb,Zachary Verhoven,0.38,90,0.21,0.26,0.14,0.0,0.0,0.0,0.14,4.36,64.07,4.46,5.0,3.71,Zach Verhoven,1.14
