,name,number,position,overall
0,Marco Carducci,1,g,0.79
1,Nikolas Giantsopoulos,22,g,0.18
2,Dominick Zator,4,d,0.83
3,Nathan Mavila,3,d,0.66
4,Jonathan Wheeldon,14,d,0.38
5,Mason Trafford,5,d,0.33
6,Dean Northover,12,d,0.26
7,Julian Büscher,8,m,0.68
8,José Escalante,11,m,0.53
9,Elijah Adekugbe,16,m,0.47
10,Joel Waterman,15,m,0.45
11,Sergio Camargo,10,m,0.38
12,Nikolas Ledgerwood,6,m,0.36
13,Mauro Eustaquio,18,m,0.19
14,Carlos Patiño,20,m,0.18
15,Dominique Malonga,19,f,0.7000000000000001
16,Nico Pasquotti,17,f,0.64
17,Oliver Minatel,7,f,0.43
18,Jordan Brown,9,f,0.39
19,Malyk Hamilton,21,f,0.22
20,Gabriel Bitar,19,f,0.04
21,Victor Loturi,13,f,0.03
22,Aribim Pepple,24,f,0.01
23,Oluwatofarati Fakunle,25,f,0.0
