,name,number,position,overall
0,Connor James,1,g,0.71
1,Dylon Powley,13,g,0.18
2,Mélé Temguia,8,d,0.87
3,Allan Zebie,4,d,0.61
4,Amer Didic,55,d,0.58
5,Jeannot Esua,3,d,0.52
6,Ramón Soria,5,d,0.52
7,Kareem Moses,12,d,0.34
8,Ajay Khabra,23,m,0.36
9,James Marcelin,14,m,0.35
10,Bruno Zebie,20,m,0.32
11,Edem Mortotsi,6,m,0.29
12,Yong-Chan Son,7,m,0.28
13,Philippe Lincourt-Joseph,10,m,0.14
14,Tony Tchani,22,m,0.13
15,Oumar Diouck,45,f,0.61
16,Easton Ongaro,19,f,0.58
17,Tomi Ameobi,18,f,0.41
18,Marcus Velado-Tsegaye,17,f,0.16
19,Randy Edwini-Bonsu,11,f,0.15
20,Ajeej Sarkaria,9,f,0.13
21,Prince Amanda,16,f,0.07
22,David Doe,26,f,0.04
