,name,number,position,overall
0,Triston Henry,9,g,0.72
1,Quillan Roberts,17,g,0.29
2,Daniel Krutzen,10,d,0.71
3,Kwame Awuah,2,d,0.71
4,Dominic Samuel,22,d,0.65
5,Bertrand Owundi,16,d,0.48
6,Jonathan Grant,8,d,0.34
7,David Edgar,30,d,0.16
8,Klaidi Cela,16,d,0.16
9,Monti Mohsen,11,d,0.13
10,Oluwaseun Oyegunle,15,d,0.01
11,Tristan Borges,4,m,0.71
12,Kyle Bekker,3,m,0.68
13,Giuliano Frano,7,m,0.49
14,Elimane Cissé,6,m,0.43
15,Alexander Achinioti-Jönsson,1,m,0.4
16,David Choinière,5,m,0.36
17,Jace Kotsopoulos,12,m,0.1
18,Justin Stoddart,20,m,0.07
19,Christopher Nanco,13,f,0.43
20,Anthony Novak,23,f,0.39
21,Emery Welshman,14,f,0.34
22,Marcel Zajac,9,f,0.24999999999999997
23,Kadell Thomas,30,f,0.22
