,name,number,position,overall
0,Christian Oxner,50,g,0.54
1,Jan-Michael Williams,21,g,0.37
2,André Bona,3,d,0.84
3,Matthew Arnone,23,d,0.67
4,Ndzemdzela Langwa,20,d,0.67
5,Peter Schaale,2,d,0.63
6,Chrisnovic N'sa,6,d,0.41
7,Alex De Carolis,24,d,0.4
8,Duran Lee,16,d,0.29
9,Zachary Sukunda,25,d,0.19
10,Chakib Hocine,4,d,0.08
11,Andre Rampersad,18,m,0.48
12,Kodai Iida,9,m,0.42
13,Akeem Garcia,11,m,0.38
14,Elton John,5,m,0.36
15,Juan Diego Gutiérrez,7,m,0.32
16,Elliot Simmons,8,m,0.27
17,Kouamé Ouattara,13,m,0.12
18,Scott Firth,15,m,0.11
19,Mohamed Kourouma,12,f,0.67
20,Tomasz Skublak,17,f,0.28
21,Luis Alberto Perea,10,f,0.26
22,Vincent Lamy,14,f,0.02
