,name,number,position,overall
0,Mark Village,1,g,0.55
1,Nolan Wirth,6,g,0.46
2,Kadin Chung,7,d,0.69
3,Blake Smith,4,d,0.6
4,Lukas MacNaughton,14,d,0.51
5,Emile Legault,20,d,0.39
6,Hendrik Starostzik,16,d,0.36
7,Ryan McCurdy,3,d,0.24
8,Marcel de Jong,8,d,0.03
9,Victor Blasco,19,m,0.52
10,Noah Verhoeven,23,m,0.5
11,Ben Fisk,21,m,0.49
12,Alexander González,28,m,0.48
13,Zachary Verhoven,16,m,0.44
14,Matthew Baldisimo,17,m,0.42
15,David Norman Jr.,24,m,0.19
16,Ahmed Alghamdi,13,m,0.17
17,Terran Campbell,14,f,0.85
18,Alessandro Hojabrpour,21,f,0.28
19,Jose Hernandez,15,f,0.27
20,Marcus Haber,9,f,0.18
21,Issey Nakajima-Farran,11,f,0.09
