,name,number,position,overall
0,Tyson Farago,1,g,0.55
1,Mathias Janssens,26,g,0.39
2,Skylar Thomas,3,d,0.63
3,Martín Arguiñarena,6,d,0.62
4,Jordan Murrell,4,d,0.61
5,Raphaël Garcia,2,d,0.46
6,Adam Mitter,15,d,0.42
7,Yohan Le Bourhis,25,d,0.21
8,Marco Bustos,22,m,0.61
9,Louis Béland-Goyette,5,m,0.55
10,Diego Gutiérrez,8,m,0.41
11,Michael Petrasso,9,m,0.4
12,Raphael Ohin,27,m,0.36
13,Dylan Carreiro,10,m,0.34
14,Dylan Sacramento,7,m,0.33
15,José Antonio Galán Pedrosa,21,m,0.26
16,Ali Musse,23,m,0.25
17,Nicolás Galvis,14,m,0.17
18,Glenn Muenkat,11,m,0.13
19,Josip Golubar,20,m,0.1
20,Michele Paolucci,17,f,0.3
21,Tyler Attardo,16,f,0.26
22,Calum Ferguson,12,f,0.07
23,Stephen Hoyle,17,f,0.06
24,Federico Peña,77,f,0.05
