,name,number,position,overall
0,Nathan Ingham,1,g,0.93
1,Colm Vance,31,g,0.06
2,Matthew Silva,1,g,0.01
3,Luca Gasparotto,13,d,0.83
4,Diyaeddine Abzi,20,d,0.72
5,Morey Doner,3,d,0.66
6,Daniel Gogarty,2,d,0.42
7,Justin Springer,5,d,0.3
8,Roger Thompson,6,d,0.23
9,Steven Furlano,77,d,0.18
10,Ryan Telfer,18,m,0.7
11,Manuel Aparicio,10,m,0.64
12,Kyle Porter,19,m,0.55
13,Joseph Di Chiara,8,m,0.47
14,Wataru Murofushi,23,m,0.45
15,Emilio Estevez,11,m,0.21
16,Emmanuel Zambazis,14,m,0.17
17,Rodrigo Gattas,22,f,0.76
18,Simon Karlsson Adjei,12,f,0.47
19,Austin Ricci,7,f,0.09
20,Cyrus Rollocks,17,f,0.06
21,Stefan Lamanna,21,f,0.05
22,Michael Cox,92,f,0.04
