,name,number,position,overall
0,Marco Carducci,1,g,0.79
1,Nikolas Giantsopoulos,22,g,0.18
2,Dominick Zator,4,d,0.83
3,Nathan Mavila,3,d,0.66
4,Jonathan Wheeldon,14,d,0.38
5,Mason Trafford,5,d,0.33
6,Dean Northover,12,d,0.26
7,Julian Büscher,8,m,0.68
8,José Escalante,11,m,0.53
9,Elijah Adekugbe,16,m,0.47
10,Joel Waterman,15,m,0.45
11,Sergio Camargo,10,m,0.38
12,Nikolas Ledgerwood,6,m,0.36
13,Mauro Eustaquio,18,m,0.19
14,Carlos Patiño,20,m,0.18
15,Dominique Malonga,19,f,0.7000000000000001
16,Nico Pasquotti,17,f,0.64
17,Oliver Minatel,7,f,0.43
18,Jordan Brown,9,f,0.39
19,Malyk Hamilton,21,f,0.22
20,Gabriel Bitar,19,f,0.04
21,Victor Loturi,13,f,0.03
22,Aribim Pepple,24,f,0.01
23,Oluwatofarati Fakunle,25,f,0.0
0,Connor James,1,g,0.71
1,Dylon Powley,13,g,0.18
2,Mélé Temguia,8,d,0.87
3,Allan Zebie,4,d,0.61
4,Amer Didic,55,d,0.58
5,Jeannot Esua,3,d,0.52
6,Ramón Soria,5,d,0.52
7,Kareem Moses,12,d,0.34
8,Ajay Khabra,23,m,0.36
9,James Marcelin,14,m,0.35
10,Bruno Zebie,20,m,0.32
11,Edem Mortotsi,6,m,0.29
12,Yong-Chan Son,7,m,0.28
13,Philippe Lincourt-Joseph,10,m,0.14
14,Tony Tchani,22,m,0.13
15,Oumar Diouck,45,f,0.61
16,Easton Ongaro,19,f,0.58
17,Tomi Ameobi,18,f,0.41
18,Marcus Velado-Tsegaye,17,f,0.16
19,Randy Edwini-Bonsu,11,f,0.15
20,Ajeej Sarkaria,9,f,0.13
21,Prince Amanda,16,f,0.07
22,David Doe,26,f,0.04
0,Triston Henry,9,g,0.72
1,Quillan Roberts,17,g,0.29
2,Daniel Krutzen,10,d,0.71
3,Kwame Awuah,2,d,0.71
4,Dominic Samuel,22,d,0.65
5,Bertrand Owundi,16,d,0.48
6,Jonathan Grant,8,d,0.34
7,David Edgar,30,d,0.16
8,Klaidi Cela,16,d,0.16
9,Monti Mohsen,11,d,0.13
10,Oluwaseun Oyegunle,15,d,0.01
11,Tristan Borges,4,m,0.71
12,Kyle Bekker,3,m,0.68
13,Giuliano Frano,7,m,0.49
14,Elimane Cissé,6,m,0.43
15,Alexander Achinioti-Jönsson,1,m,0.4
16,David Choinière,5,m,0.36
17,Jace Kotsopoulos,12,m,0.1
18,Justin Stoddart,20,m,0.07
19,Christopher Nanco,13,f,0.43
20,Anthony Novak,23,f,0.39
21,Emery Welshman,14,f,0.34
22,Marcel Zajac,9,f,0.24999999999999997
23,Kadell Thomas,30,f,0.22
0,Christian Oxner,50,g,0.54
1,Jan-Michael Williams,21,g,0.37
2,André Bona,3,d,0.84
3,Matthew Arnone,23,d,0.67
4,Ndzemdzela Langwa,20,d,0.67
5,Peter Schaale,2,d,0.63
6,Chrisnovic N'sa,6,d,0.41
7,Alex De Carolis,24,d,0.4
8,Duran Lee,16,d,0.29
9,Zachary Sukunda,25,d,0.19
10,Chakib Hocine,4,d,0.08
11,Andre Rampersad,18,m,0.48
12,Kodai Iida,9,m,0.42
13,Akeem Garcia,11,m,0.38
14,Elton John,5,m,0.36
15,Juan Diego Gutiérrez,7,m,0.32
16,Elliot Simmons,8,m,0.27
17,Kouamé Ouattara,13,m,0.12
18,Scott Firth,15,m,0.11
19,Mohamed Kourouma,12,f,0.67
20,Tomasz Skublak,17,f,0.28
21,Luis Alberto Perea,10,f,0.26
22,Vincent Lamy,14,f,0.02
0,Mark Village,1,g,0.55
1,Nolan Wirth,6,g,0.46
2,Kadin Chung,7,d,0.69
3,Blake Smith,4,d,0.6
4,Lukas MacNaughton,14,d,0.51
5,Emile Legault,20,d,0.39
6,Hendrik Starostzik,16,d,0.36
7,Ryan McCurdy,3,d,0.24
8,Marcel de Jong,8,d,0.03
9,Victor Blasco,19,m,0.52
10,Noah Verhoeven,23,m,0.5
11,Ben Fisk,21,m,0.49
12,Alexander González,28,m,0.48
13,Zachary Verhoven,16,m,0.44
14,Matthew Baldisimo,17,m,0.42
15,David Norman Jr.,24,m,0.19
16,Ahmed Alghamdi,13,m,0.17
17,Terran Campbell,14,f,0.85
18,Alessandro Hojabrpour,21,f,0.28
19,Jose Hernandez,15,f,0.27
20,Marcus Haber,9,f,0.18
21,Issey Nakajima-Farran,11,f,0.09
0,Tyson Farago,1,g,0.55
1,Mathias Janssens,26,g,0.39
2,Skylar Thomas,3,d,0.63
3,Martín Arguiñarena,6,d,0.62
4,Jordan Murrell,4,d,0.61
5,Raphaël Garcia,2,d,0.46
6,Adam Mitter,15,d,0.42
7,Yohan Le Bourhis,25,d,0.21
8,Marco Bustos,22,m,0.61
9,Louis Béland-Goyette,5,m,0.55
10,Diego Gutiérrez,8,m,0.41
11,Michael Petrasso,9,m,0.4
12,Raphael Ohin,27,m,0.36
13,Dylan Carreiro,10,m,0.34
14,Dylan Sacramento,7,m,0.33
15,José Antonio Galán Pedrosa,21,m,0.26
16,Ali Musse,23,m,0.25
17,Nicolás Galvis,14,m,0.17
18,Glenn Muenkat,11,m,0.13
19,Josip Golubar,20,m,0.1
20,Michele Paolucci,17,f,0.3
21,Tyler Attardo,16,f,0.26
22,Calum Ferguson,12,f,0.07
23,Stephen Hoyle,17,f,0.06
24,Federico Peña,77,f,0.05
0,Nathan Ingham,1,g,0.93
1,Colm Vance,31,g,0.06
2,Matthew Silva,1,g,0.01
3,Luca Gasparotto,13,d,0.83
4,Diyaeddine Abzi,20,d,0.72
5,Morey Doner,3,d,0.66
6,Daniel Gogarty,2,d,0.42
7,Justin Springer,5,d,0.3
8,Roger Thompson,6,d,0.23
9,Steven Furlano,77,d,0.18
10,Ryan Telfer,18,m,0.7
11,Manuel Aparicio,10,m,0.64
12,Kyle Porter,19,m,0.55
13,Joseph Di Chiara,8,m,0.47
14,Wataru Murofushi,23,m,0.45
15,Emilio Estevez,11,m,0.21
16,Emmanuel Zambazis,14,m,0.17
17,Rodrigo Gattas,22,f,0.76
18,Simon Karlsson Adjei,12,f,0.47
19,Austin Ricci,7,f,0.09
20,Cyrus Rollocks,17,f,0.06
21,Stefan Lamanna,21,f,0.05
22,Michael Cox,92,f,0.04
