Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,season,seasonId,scatterId,scatterExtra
1,6,7lqj7hx4na2kvl5doan797vmx,250776,540,25,Right Centre Back,Dominick,Zator,D. Zator,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,50,22,422,230,120,0.50,1,0,0.38,1,1,2,1,3,3,0,0,34,3,1,1,501,18,2,7,5,22,75.0%,8,3,23,2,1,2,0,5,1,0,2,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,43,222,236,13,43.6%,82.9%,175,13,162,21,187,214,0,21.1,3,66.7%,24,0.00,0,0,1,1,7,7,68.5%,15,5,2,0.00,0.50,0.50,3,4,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7lqj7hx4na2kvl5doan797vmx,Canadian Premier League 2020 (Canada)
2,6,d3uo72swkorck8mo41kv1yp61,423548,540,23,Left Centre Back,Daniel,Krutzen,D. Krutzen,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,1,2,1,1,0,0,5,3,0,0,0,3,0,1,0,0,1,1,1,0,0,4,1,50,26,396,225,95,0.87,1,0,0.03,1,0,1,0,1,5,0,0,30,3,0,0,476,22,2,5,15,40,53.8%,18,11,30,1,5,4,0,7,3,0,2,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,14,272,190,5,52.0%,80.8%,141,4,175,5,222,169,0,24.7,6,62.5%,16,0.00,51,0,1,1,3,4,66.5%,35,5,0,0.02,0.85,0.87,1,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:d3uo72swkorck8mo41kv1yp61,Canadian Premier League 2020 (Canada)
3,6,b84lif9t7gwlw9ou9izawvumt,40345,540,33,Right Centre Back,David,Edgar,D. Edgar,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,41,20,351,194,96,0.28,0,0,0.11,0,0,0,1,1,3,0,0,20,3,0,0,417,10,3,4,6,41,100.0%,27,16,30,2,1,4,0,2,0,0,2,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,1,11,236,170,5,49.6%,82.6%,136,3,151,4,183,164,0,23.4,0,80.0%,10,0.00,4,0,0,0,0,0,69.5%,40,1,0,0.10,0.18,0.28,1,4,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:b84lif9t7gwlw9ou9izawvumt,Canadian Premier League 2020 (Canada)
4,6,5m5p9c4iyl4f4j1rr1rdmojfu,481561,413,24,Central Midfielder,Elijah,Adekugbe,E. Adekugbe,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,1,0,3,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,29,5,275,152,89,0.17,0,1,0.42,0,0,4,4,8,6,0,0,30,5,0,0,359,16,2,6,6,17,66.7%,3,0,26,1,1,3,1,6,4,0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,67,67,225,2,26.9%,87.6%,179,20,42,26,48,201,0,19.2,4,50.0%,12,0.00,21,0,0,0,3,20,68.9%,8,6,3,0.08,0.09,0.17,7,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:5m5p9c4iyl4f4j1rr1rdmojfu,Canadian Premier League 2020 (Canada)
5,5,7w93cfaszi89ex6xdf9tgkp9l,199141,450,25,Right Centre Back,Mélé,Temguia,M. Temguia,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28,16,272,154,74,0.37,0,0,0.00,0,0,0,0,0,5,1,0,31,4,0,0,348,23,3,11,11,40,82.4%,13,6,33,7,3,3,0,3,4,0,0,0,0,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,17,184,147,8,43.0%,83.8%,103,7,118,10,137,125,0,20.7,3,60.0%,10,0.00,0,0,0,0,1,1,73.5%,31,9,0,0.00,0.37,0.37,0,3,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7w93cfaszi89ex6xdf9tgkp9l,Canadian Premier League 2020 (Canada)
6,5,cfx0kdkw50a9417og40fqqled,160292,450,28,Right Centre Back,Roger,Thompson,R. Thompson,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,51,15,289,127,96,0.09,0,0,0.15,0,0,0,4,4,1,0,0,24,1,0,0,344,12,3,4,9,38,77.8%,22,12,23,1,1,3,0,0,2,0,1,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,18,178,148,11,53.6%,77.2%,114,4,105,12,139,138,0,24.2,2,78.9%,19,0.00,0,0,0,0,1,1,67.7%,31,7,0,0.00,0.09,0.09,4,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:cfx0kdkw50a9417og40fqqled,Canadian Premier League 2020 (Canada)
7,5,1yufrkhruoxnyg54sxgduilt5,423654,437,24,Right Back,Jeannot,Esua,J. Esua,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,6,200,82,87,0.03,0,0,0.45,0,1,0,3,3,17,0,0,27,8,0,0,341,25,0,2,8,29,66.7%,18,9,32,1,2,2,3,7,3,2,0,0,0,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,9,77,104,160,1,35.0%,84.5%,101,25,43,28,56,116,0,19.7,1,66.7%,6,0.00,0,0,0,0,20,20,67.1%,22,4,3,0.00,0.03,0.03,3,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:1yufrkhruoxnyg54sxgduilt5,Canadian Premier League 2020 (Canada)
8,6,2zedqkn15thv6wx5xmgv48gd1,140123,485,29,Central Midfielder,Kyle,Bekker,K. Bekker,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,0,1,3,2,1,0,3,2,1,1,0,0,0,0,2,0,2,1,0,1,0,1,2,2,31,19,252,96,106,1.01,2,0,0.49,2,0,4,6,10,4,0,0,20,3,0,0,333,26,3,1,3,17,26.7%,10,6,36,0,1,4,2,3,4,0,2,0,0,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,98,59,176,7,32.5%,80.2%,127,47,28,58,42,152,0,19.3,11,50.0%,8,0.00,15,0,2,2,5,21,57.3%,10,4,3,0.91,0.10,1.01,10,1,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:2zedqkn15thv6wx5xmgv48gd1,Canadian Premier League 2020 (Canada)
9,5,41fep3jlo1ieyq9hvpmsl6wvd,225056,405,21,Right Back,Kadin,Chung,K. Chung,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,202,82,86,0.00,0,0,0.08,0,0,1,2,3,10,0,0,35,6,0,0,332,14,3,13,5,28,76.2%,7,3,22,0,1,1,1,3,2,0,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,90,114,128,1,41.1%,83.2%,79,39,50,44,67,91,0,18.0,5,100.0%,7,0.00,0,0,0,0,17,17,71.1%,21,4,3,0.00,0.00,0.00,3,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:41fep3jlo1ieyq9hvpmsl6wvd,Canadian Premier League 2020 (Canada)
9,5,7yfwpe3tltsxez80puqy7hoet,95575,450,28,Central Midfielder,Joseph,Di Chiara,J. Di Chiara,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,1,6,4,2,1,3,2,0,1,2,2,1,0,3,0,0,1,0,1,0,2,2,5,22,11,242,90,119,2.10,3,0,0.22,2,0,0,4,4,10,0,0,32,5,0,0,332,36,4,7,7,23,61.1%,5,2,37,5,2,6,6,3,6,0,1,0,0,0,0,0,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,5,102,65,165,19,23.6%,86.4%,127,45,37,57,42,143,0,18.0,7,11.1%,9,0.00,21,0,2,2,3,7,71.9%,11,10,2,0.32,1.78,0.52,4,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7yfwpe3tltsxez80puqy7hoet,Canadian Premier League 2020 (Canada)
