Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,week,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,xG,Goal,Shot,ShotExcBlk,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
1,1,7lqj7hx4na2kvl5doan797vmx,250776,90,25,Right Centre Back,Dominick,Zator,D. Zator,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,108,96,87.5%,0.0%,1,0,0.11,0.06,0,1,1,0,0.0%,-,41.7%,42.9%,3,EDM vs CAV,2020-08-21,7tigxj35sgqjbet0qxe22v21g,6925,7lqj7hx4na2kvl5doan797vmx:2126240,EDM vs CAV (2020-08-21)
2,1,d3uo72swkorck8mo41kv1yp61,423548,90,23,Left Centre Back,Daniel,Krutzen,D. Krutzen,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,102,88,86.4%,-,0,0,0.02,0.06,0,1,1,0,0.0%,0.0%,66.7%,100.0%,5,HFX vs FOR,2020-08-20,7tg0hh0cm7hvex18ezv8bl4pg,15376,d3uo72swkorck8mo41kv1yp61:2126238,HFX vs FOR (2020-08-20)
3,1,b84lif9t7gwlw9ou9izawvumt,40345,90,33,Right Centre Back,David,Edgar,D. Edgar,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,98,90,97.8%,100.0%,0,0,0.08,0.00,0,0,0,0,-,0.0%,50.0%,50.0%,2,FOR vs EDM,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,6925,b84lif9t7gwlw9ou9izawvumt:2126225,FOR vs EDM (2020-08-16)
4,1,7w93cfaszi89ex6xdf9tgkp9l,199141,90,25,Right Centre Back,Mélé,Temguia,M. Temguia,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,97,80,90.0%,100.0%,0,0,0.01,0.05,0,1,0,0,0.0%,50.0%,62.5%,100.0%,7,ATO vs EDM,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,16614,7w93cfaszi89ex6xdf9tgkp9l:2126243,ATO vs EDM (2020-08-23)
5,1,d3uo72swkorck8mo41kv1yp61,423548,90,23,Left Centre Back,Daniel,Krutzen,D. Krutzen,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,93,87,89.7%,0.0%,0,0,0.01,0.00,0,0,0,0,-,0.0%,45.5%,60.0%,4,FOR vs EDM,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,6925,d3uo72swkorck8mo41kv1yp61:2126225,FOR vs EDM (2020-08-16)
6,1,5m5p9c4iyl4f4j1rr1rdmojfu,481561,90,24,Central Midfielder,Elijah,Adekugbe,E. Adekugbe,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,92,69,94.2%,100.0%,2,1,0.07,0.03,0,1,1,1,100.0%,0.0%,56.3%,40.0%,2,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15376,5m5p9c4iyl4f4j1rr1rdmojfu:2126244,CAV vs HFX (2020-08-24)
7,1,8xiikcvufow3u6jo0opzhtip5,243903,90,22,Left Centre Back,Robert,Boskovic,R. Boskovic,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,91,78,87.2%,-,0,0,0.01,0.00,0,0,0,0,-,0.0%,44.4%,0.0%,7,EDM vs CAV,2020-08-21,7tigxj35sgqjbet0qxe22v21g,6925,8xiikcvufow3u6jo0opzhtip5:2126240,EDM vs CAV (2020-08-21)
8,1,7ehcrcdv82ib5fkpo3498gpgp,244929,90,24,Left Back,Kwame,Awuah,K. Awuah,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,88,65,89.2%,89.5%,0,0,0.03,0.03,1,1,1,1,100.0%,50.0%,88.9%,66.7%,5,FOR vs EDM,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,6925,7ehcrcdv82ib5fkpo3498gpgp:2126225,FOR vs EDM (2020-08-16)
8,1,c71o8hujd9joixq9ge68i4qg9,156664,90,24,Left Midfielder,Nathan,Mavila,N. Mavila,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,88,55,72.7%,100.0%,1,0,0.03,0.00,0,0,0,0,-,-,36.4%,25.0%,4,EDM vs CAV,2020-08-21,7tigxj35sgqjbet0qxe22v21g,6925,c71o8hujd9joixq9ge68i4qg9:2126240,EDM vs CAV (2020-08-21)
8,1,3176i3h6iv1ufsp88prhhmjqi,209693,90,22,Central Midfielder,Elliot,Simmons,E. Simmons,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,88,83,90.4%,80.0%,1,0,0.34,0.00,0,0,0,0,-,0.0%,20.0%,-,8,EDM vs CAV,2020-08-21,7tigxj35sgqjbet0qxe22v21g,6925,3176i3h6iv1ufsp88prhhmjqi:2126240,EDM vs CAV (2020-08-21)
