Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,xG,Goal,Shot,ShotExcBlk,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,season,seasonId,scatterId,scatterExtra
1,4,d3uo72swkorck8mo41kv1yp61,423548,360,23,Left Centre Back,Daniel,Krutzen,D. Krutzen,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),335,285,79.6%,50.0%,1,0,0.09,0.12,0,3,3,0,0.0%,50.0%,56.4%,57.1%,23,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:d3uo72swkorck8mo41kv1yp61,Canadian Premier League 2020 (Canada)
2,4,7lqj7hx4na2kvl5doan797vmx,250776,360,25,Right Centre Back,Dominick,Zator,D. Zator,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),314,263,85.6%,55.6%,3,0,0.17,0.50,1,5,4,2,40.0%,50.0%,66.7%,65.0%,16,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7lqj7hx4na2kvl5doan797vmx,Canadian Premier League 2020 (Canada)
3,4,b84lif9t7gwlw9ou9izawvumt,40345,360,33,Right Centre Back,David,Edgar,D. Edgar,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),303,261,84.3%,50.0%,1,0,0.16,0.00,0,0,0,0,-,40.0%,68.8%,66.7%,21,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:b84lif9t7gwlw9ou9izawvumt,Canadian Premier League 2020 (Canada)
4,4,7ehcrcdv82ib5fkpo3498gpgp,244929,360,24,Left Back,Kwame,Awuah,K. Awuah,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),261,173,77.5%,78.6%,1,0,0.19,0.08,1,2,2,2,100.0%,50.0%,66.7%,60.0%,20,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7ehcrcdv82ib5fkpo3498gpgp,Canadian Premier League 2020 (Canada)
5,4,2zedqkn15thv6wx5xmgv48gd1,140123,360,29,Central Midfielder,Kyle,Bekker,K. Bekker,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),254,193,81.3%,82.4%,7,0,0.28,0.89,2,6,4,3,50.0%,0.0%,39.4%,42.9%,27,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:2zedqkn15thv6wx5xmgv48gd1,Canadian Premier League 2020 (Canada)
6,4,5m5p9c4iyl4f4j1rr1rdmojfu,481561,260,24,Central Midfielder,Elijah,Adekugbe,E. Adekugbe,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),242,185,91.4%,85.0%,7,1,0.68,0.08,0,2,2,2,100.0%,50.0%,63.6%,50.0%,14,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:5m5p9c4iyl4f4j1rr1rdmojfu,Canadian Premier League 2020 (Canada)
7,3,41fep3jlo1ieyq9hvpmsl6wvd,225056,270,21,Right Midfielder,Kadin,Chung,K. Chung,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),219,124,83.9%,84.4%,3,0,0.12,0.00,0,0,0,0,-,53.8%,73.5%,100.0%,15,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:41fep3jlo1ieyq9hvpmsl6wvd,Canadian Premier League 2020 (Canada)
8,3,1mcgu1zocg8bwfrncptuvfm51,90443,270,34,Central Defender,Mason,Trafford,M. Trafford,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),212,191,88.5%,-,1,0,0.01,0.05,0,1,1,0,0.0%,33.3%,80.0%,71.4%,11,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:1mcgu1zocg8bwfrncptuvfm51,Canadian Premier League 2020 (Canada)
8,3,c71o8hujd9joixq9ge68i4qg9,156664,270,24,Left Midfielder,Nathan,Mavila,N. Mavila,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),212,125,77.6%,100.0%,2,0,0.10,0.86,2,3,3,2,66.7%,66.7%,40.5%,44.4%,21,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:c71o8hujd9joixq9ge68i4qg9,Canadian Premier League 2020 (Canada)
10,3,cfx0kdkw50a9417og40fqqled,160292,270,28,Right Centre Back,Roger,Thompson,R. Thompson,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),209,172,79.7%,33.3%,3,0,0.07,0.09,0,2,2,0,0.0%,50.0%,73.9%,92.3%,18,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:cfx0kdkw50a9417og40fqqled,Canadian Premier League 2020 (Canada)
