image,first,last,flag,number,position,overall,link,colour
James-Pantemis.1.png,James,Pantemis,Canada.png,1,g,0.8,https://en.wikipedia.org/wiki/James_Pantemis,cpl-vfc
Gasparotto-Headshot.jpg,Luca,Gasparotto,Canada.png,13,d,0.66,https://en.wikipedia.org/wiki/Luca_Gasparotto,cpl-y9
empty.jpg,Julian,Dunn,Canada.png,5,d,0.65,https://en.wikipedia.org/wiki/Julian_Dunn-Johnson,cpl-vfc
Chrisnovic-N_sa.1.jpg,Chris,N'sa,Canada.png,6,d,0.65,https://en.wikipedia.org/wiki/Chrisnovic_N'sa,cpl-hfx
Victor-Blasco.1.png,Victor,Blasco,Spain.png,23,m,0.76,https://en.wikipedia.org/wiki/Victor_Blasco,cpl-pfc
Joseph-Di-Chiara.jpg,Joseph,Di Chiara,Canada.png,8,m,0.76,https://en.wikipedia.org/wiki/Joseph_Di_Chiara,cpl-y9
Tefler-Headshot.jpg,Ryan,Telfer,Canada.png,18,m,0.72,https://en.wikipedia.org/wiki/Ryan_Telfer,cpl-y9
Brett-Levis.1.png,Brett,Levis,Canada.png,17,m,0.71,https://en.wikipedia.org/wiki/Brett_Levis,cpl-vfc
Acuña_Francisco.2.jpg,Francisco,Acuña,Mexico.png,8,m,0.71,https://en.wikipedia.org/wiki/Francisco_Acuña,cpl-ao
Mohamed-Kourouma-1.jpg,Mohamed,Kourouma,Canada.png,9,f,0.7,https://en.wikipedia.org/wiki/Mohamed_Kourouma_(soccer),cpl-ao
Malcolm-Shaw.2.jpg,Malcolm,Shaw,Canada.png,19,f,0.58,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Ottawa,cpl-ao
