team,name,number,position,minutes,goals,tackles,t-won,clearances,interceptions,duels,d-won,overall,new_overall
FFC,Klaidi Cela,16,d,90,0,0,0,0,0,90,0,0.0,0.9
FCE,Duran Lee,23,d,90,0,4,3,4,1,18,11,0.18,0.36
FCE,Samuel Gardner,33,d,90,0,4,3,2,3,15,8,0.13,0.29
PFC,Kadin Chung,7,d,90,0,4,3,2,1,14,9,0.56,0.27
FCE,Terique Mohammed,57,d,90,0,4,2,3,1,15,8,0.39,0.27
FFC,Dominic Samuel,4,d,90,0,3,1,2,2,15,9,0.45,0.26
HFX,Chrisnovic N'Sa,6,d,90,0,4,3,2,2,13,8,0.72,0.26
FFC,Kwame Awuah,6,d,90,0,3,3,2,2,12,8,0.54,0.23
VFC,Raphaël Garcia,2,d,90,0,3,0,3,3,14,7,0.03,0.23
HFX,Jake Ruby,20,d,90,0,3,2,4,0,14,7,0.14,0.23
FFC,Jordan Dunstan,21,d,90,0,2,2,4,2,12,8,0.22,0.23
HFX,Mateo Restrepo,14,d,90,0,4,3,2,3,10,6,0.53,0.21
Y9,Ijah Halley,14,d,90,0,1,1,1,0,18,7,0.13,0.21
FCE,Mélé Temguia,8,d,90,0,3,2,2,2,11,6,0.55,0.19
HFX,Daniel Kinumbe,13,d,90,0,2,2,0,2,12,8,0.05,0.19
ATO,Gianfranco Facchineri,6,d,90,0,4,3,4,1,9,5,0.25,0.19
FFC,Daniel Krutzen,5,d,90,0,1,1,4,3,10,6,0.57,0.18
PFC,Lukas MacNaughton,6,d,90,0,1,1,4,2,10,7,0.5,0.18
VFC,Arnold Bouka Moutou,29,d,90,0,3,1,0,1,14,6,0.07,0.18
CFC,Dean Northover,12,d,90,0,2,1,1,2,11,7,0.28,0.17
PFC,Jordan Haynes,3,d,90,0,2,1,2,2,10,6,0.36,0.16
PFC,Marcel de Jong,17,d,90,0,1,1,5,4,8,4,0.23,0.16
HFX,Peter Schaale,2,d,90,0,2,1,6,1,8,5,0.63,0.16
CFC,Mohamed Farsi,21,d,90,0,2,2,2,2,9,6,0.36,0.16
FCE,Jeannot Esua,3,d,90,0,1,1,3,2,10,6,0.59,0.16
VFC,Julian Dunn-Johnson,5,d,90,0,2,1,3,1,10,5,0.6,0.14
Y9,Fugo Segawa,26,d,90,0,2,2,2,2,9,5,0.34,0.14
CFC,Nathan Mavila,3,d,90,1,1,1,1,1,12,5,0.55,0.14
Y9,Luca Gasparotto,13,d,90,0,1,1,6,2,7,5,0.62,0.14
FFC,Maxim Tissot,15,d,90,0,2,1,1,1,13,4,0.18,0.14
HFX,Alex De Carolis,24,d,90,0,2,2,1,2,8,6,0.3,0.13
VFC,Chakib Hocine,4,d,90,0,1,1,3,0,11,5,0.05,0.13
FCE,Kareem Moses,12,d,90,0,2,1,6,1,8,3,0.12,0.13
FFC,Monti Mohsen,22,d,90,0,1,1,1,0,11,7,0.18,0.13
FFC,Jonathan Grant,2,d,90,0,0,0,6,0,12,2,0.05,0.12
Y9,Diyaeddine Abzi,20,d,90,0,2,1,1,1,10,5,0.39,0.12
FCE,Allan Zebie,4,d,90,0,2,2,0,2,8,5,0.38,0.11
PFC,Abdoulaye Samake,5,d,90,0,1,1,3,4,7,3,0.06,0.11
Y9,Roger Thompson,6,d,90,0,1,1,4,2,7,4,0.58,0.11
CFC,Jonathan Wheeldon,14,d,90,0,1,0,5,2,7,4,0.29,0.11
ATO,Jarred Phillips,14,d,90,0,2,2,2,2,8,3,0.25,0.11
CFC,Robert Boskovic,25,d,90,0,2,1,1,2,8,5,0.28,0.11
FFC,David Edgar,30,d,90,0,1,1,6,1,6,4,0.38,0.11
ATO,Vashon Neufville,44,d,90,0,1,0,1,2,10,4,0.19,0.1
VFC,Andrew Jean-Baptiste,35,d,90,0,1,1,4,2,6,4,0.44,0.1
ATO,Milovan Kapor,3,d,90,0,1,1,5,2,6,3,0.4,0.1
CFC,Dominick Zator,4,d,90,0,1,1,2,1,8,5,0.53,0.1
ATO,Evan Brandon John,4,d,90,0,1,0,3,1,7,4,0.44,0.08
FCE,Ramon Soria,5,d,90,0,1,1,2,1,7,4,0.49,0.08
FCE,Amer Didic,55,d,90,0,1,1,3,0,6,4,0.19,0.07
PFC,Thomas Meilleur-Giguère,26,d,90,0,1,0,5,2,5,2,0.45,0.07
CFC,Mason Trafford,5,d,90,0,1,1,3,1,6,3,0.39,0.07
HFX,Jems Geffrard,3,d,90,0,1,1,3,2,4,3,0.44,0.06
Y9,Morey Doner,3,d,90,0,1,1,2,2,5,3,0.43,0.06
VFC,Yohan Le Bourhis,4,d,90,1,0,0,1,0,7,5,0.08,0.06
Y9,Matthew Arnone,17,d,90,0,1,1,1,3,4,3,0.05,0.04
