name,number,position,minutes,yellow,red,fouls conceded,overall
Manuel Aparicio,10,m,2159.0,5.0,1.0,56.0,0.83
Dominic Samuel,22,d,2044.0,5.0,1.0,38.0,0.74
Matthew Baldisimo,17,m,1809.0,5.0,1.0,34.0,0.71
Alexander González,28,m,1746.0,4.0,1.0,34.0,0.67
Jordan Murrell,4,d,1784.0,4.0,1.0,30.0,0.66
Joel Waterman,15,m,1719.0,4.0,1.0,20.0,0.61
Adam Mitter,15,d,1513.0,4.0,1.0,23.0,0.6
Nathan Mavila,3,d,1952.0,2.0,1.0,38.0,0.65
Tristan Borges,4,m,1884.0,2.0,1.0,37.0,0.64
Lukas MacNaughton,14,d,1704.0,2.0,1.0,24.0,0.57
Jeannot Esua,3,d,1799.0,2.0,1.0,20.0,0.56
José Escalante,11,m,1592.0,2.0,1.0,23.0,0.56
Dean Northover,12,d,609.0,2.0,1.0,13.0,0.42
Mauro Eustaquio,18,m,533.0,2.0,1.0,16.0,0.42
Ryan McCurdy,3,d,744.0,2.0,1.0,6.0,0.4
Jan-Michael Williams,21,g,1028.0,1.0,1.0,1.0,0.38
Philippe Lincourt-Joseph,10,m,346.0,0.0,1.0,1.0,0.29
Raphael Ohin,27,m,1461.0,9.0,0.0,41.0,0.56
Oumar Diouck,45,f,1977.0,6.0,0.0,62.0,0.61
André Bona,3,d,2053.0,6.0,0.0,31.0,0.5
Giuliano Frano,7,m,1960.0,6.0,0.0,35.0,0.5
Joseph Di Chiara,8,m,1755.0,6.0,0.0,37.0,0.49
Elijah Adekugbe,16,m,1575.0,6.0,0.0,34.0,0.46
Julian Büscher,8,m,1678.0,5.0,0.0,49.0,0.5
Nico Pasquotti,17,f,1853.0,5.0,0.0,43.0,0.5
Louis Béland-Goyette,5,m,1772.0,5.0,0.0,35.0,0.46
Skylar Thomas,3,d,1894.0,5.0,0.0,24.0,0.42
José Antonio Galán Pedrosa,21,m,901.0,5.0,0.0,31.0,0.35
Chrisnovic N'sa,6,d,1217.0,5.0,0.0,17.0,0.33
Jonathan Wheeldon,14,d,1407.0,5.0,0.0,10.0,0.32
Tomi Ameobi,18,f,1860.0,4.0,0.0,49.0,0.49
Victor Blasco,19,m,1586.0,4.0,0.0,50.0,0.47
Andre Rampersad,18,m,2003.0,4.0,0.0,31.0,0.43
Kwame Awuah,2,d,1885.0,4.0,0.0,28.0,0.41
Alessandro Hojabrpour,21,f,1731.0,4.0,0.0,28.0,0.4
Elton John,5,m,1435.0,4.0,0.0,31.0,0.38
Oliver Minatel,7,f,1450.0,4.0,0.0,30.0,0.38
Tomasz Skublak,17,f,1389.0,4.0,0.0,32.0,0.38
Bertrand Owundi,16,d,1757.0,4.0,0.0,17.0,0.35
Diego Gutiérrez,8,m,1605.0,4.0,0.0,14.0,0.33
Steven Furlano,77,d,517.0,4.0,0.0,15.0,0.22
Kadell Thomas,30,f,542.0,4.0,0.0,12.0,0.21
Mélé Temguia,8,d,2430.0,3.0,0.0,40.0,0.49
Luca Gasparotto,13,d,2520.0,3.0,0.0,22.0,0.42
Morey Doner,3,d,2250.0,3.0,0.0,22.0,0.4
Marco Bustos,22,m,2249.0,3.0,0.0,24.0,0.4
Diyaeddine Abzi,20,d,1814.0,3.0,0.0,29.0,0.38
Blake Smith,4,d,2004.0,3.0,0.0,23.0,0.37
Wataru Murofushi,23,m,1718.0,3.0,0.0,30.0,0.37
Ramón Soria,5,d,2011.0,3.0,0.0,18.0,0.36
Matthew Arnone,23,d,2094.0,3.0,0.0,18.0,0.36
Amer Didic,55,d,1650.0,3.0,0.0,21.0,0.33
Nikolas Ledgerwood,6,m,1227.0,3.0,0.0,25.0,0.31
Ndzemdzela Langwa,20,d,1281.0,3.0,0.0,22.0,0.3
Dylan Carreiro,10,m,1441.0,3.0,0.0,19.0,0.3
Juan Diego Gutiérrez,7,m,1240.0,3.0,0.0,24.0,0.3
Hendrik Starostzik,16,d,1161.0,3.0,0.0,18.0,0.27
Alex De Carolis,24,d,1246.0,3.0,0.0,14.0,0.26
Marcel Zajac,9,f,1073.0,3.0,0.0,15.0,0.25
Emile Legault,20,d,915.0,3.0,0.0,14.0,0.23
Anthony Novak,23,f,1027.0,3.0,0.0,9.0,0.22
Kyle Bekker,3,m,2354.0,2.0,0.0,29.0,0.41
Akeem Garcia,11,m,2082.0,2.0,0.0,35.0,0.4
Ryan Telfer,18,m,2216.0,2.0,0.0,25.0,0.38
Rodrigo Gattas,22,f,1958.0,2.0,0.0,24.0,0.35
Jordan Brown,9,f,1324.0,2.0,0.0,34.0,0.32
Kadin Chung,7,d,2032.0,2.0,0.0,16.0,0.32
James Marcelin,14,m,1699.0,2.0,0.0,24.0,0.32
Bruno Zebie,20,m,1767.0,2.0,0.0,17.0,0.3
Peter Schaale,2,d,1530.0,2.0,0.0,20.0,0.29
Mason Trafford,5,d,1801.0,2.0,0.0,11.0,0.28
Daniel Gogarty,2,d,1551.0,2.0,0.0,12.0,0.26
Triston Henry,9,g,1890.0,2.0,0.0,1.0,0.25
Michele Paolucci,17,f,1139.0,2.0,0.0,15.0,0.23
Jose Hernandez,15,f,652.0,2.0,0.0,24.0,0.22
Elliot Simmons,8,m,969.0,2.0,0.0,14.0,0.21
Christian Oxner,50,g,1489.0,2.0,0.0,2.0,0.21
Raphaël Garcia,2,d,943.0,2.0,0.0,16.0,0.21
Kareem Moses,12,d,970.0,2.0,0.0,12.0,0.2
Luis Alberto Perea,10,f,1014.0,2.0,0.0,11.0,0.2
Jonathan Grant,8,d,822.0,2.0,0.0,13.0,0.19
Emilio Estevez,11,m,627.0,2.0,0.0,12.0,0.17
Mathias Janssens,26,g,1080.0,2.0,0.0,0.0,0.16
Justin Springer,5,d,945.0,2.0,0.0,3.0,0.16
David Norman Jr.,24,m,596.0,2.0,0.0,8.0,0.15
Monti Mohsen,11,d,363.0,2.0,0.0,9.0,0.13
Kyle Porter,19,m,1916.0,1.0,0.0,21.0,0.3
Allan Zebie,4,d,1970.0,1.0,0.0,14.0,0.28
Noah Verhoeven,23,m,1850.0,1.0,0.0,17.0,0.28
Ben Fisk,21,m,1662.0,1.0,0.0,22.0,0.28
Christopher Nanco,13,f,1429.0,1.0,0.0,25.0,0.27
Zachary Verhoven,16,m,1285.0,1.0,0.0,26.0,0.26
Dominique Malonga,19,f,1871.0,1.0,0.0,8.0,0.25
Marco Carducci,1,g,2160.0,1.0,0.0,1.0,0.25
Martín Arguiñarena,6,d,1534.0,1.0,0.0,14.0,0.24
Malyk Hamilton,21,f,1275.0,1.0,0.0,13.0,0.21
Kodai Iida,9,m,1180.0,1.0,0.0,13.0,0.2
Easton Ongaro,19,f,1167.0,1.0,0.0,11.0,0.19
Yong-Chan Son,7,m,952.0,1.0,0.0,16.0,0.19
Sergio Camargo,10,m,1171.0,1.0,0.0,9.0,0.18
Edem Mortotsi,6,m,881.0,1.0,0.0,15.0,0.18
Emery Welshman,14,f,932.0,1.0,0.0,14.0,0.18
Mark Village,1,g,1440.0,1.0,0.0,1.0,0.17
