team,name,number,position,minutes,goals,chances,assists,shots,s-target,passes,crosses,duels,tackles,overall,new_overall
PFC,Alejandro Díaz Liceága,9,f,90,0,4,0,7,2,88,2,29,2,0.21,0.9
FCE,Prince Amanda,16,f,90,0,0,0,0,0,69,21,35,0,0.05,0.83
ATO,Mohamed Kourouma,9,f,90,0,1,0,4,1,39,3,11,1,0.75,0.35
FFC,Kadell Thomas,17,f,90,0,1,0,2,1,21,3,26,3,0.32,0.33
CFC,Marcus Haber,29,f,90,1,0,0,5,2,23,2,23,0,0.34,0.32
FFC,Molham Babouli,19,f,90,0,2,1,2,1,31,1,14,2,0.31,0.3
CFC,Aribim Pepple,24,f,90,0,3,0,3,3,18,0,23,3,0.11,0.3
HFX,Ibrahima Sanoh,9,f,90,3,0,0,7,3,20,3,17,0,0.13,0.3
FFC,Christopher Nanco,11,f,90,1,0,0,2,2,24,2,19,1,0.3,0.28
VFC,Daryl Fordyce,16,f,90,0,0,0,5,0,31,2,11,0,0.09,0.27
VFC,Federico Peña,77,f,90,0,0,0,1,0,24,1,15,8,0.18,0.27
FFC,Marcel Zajac,9,f,90,0,0,0,2,1,26,2,16,2,0.24,0.27
CFC,Nico Pasquotti,17,f,90,0,0,0,2,1,26,3,15,2,0.48,0.27
HFX,João Morelli Neto,22,f,90,1,0,0,1,1,28,1,14,0,0.17,0.24
FFC,Anthony Novak,23,f,90,1,1,0,2,1,27,0,12,0,0.3,0.23
ATO,Maksym Kowal,21,f,90,0,0,0,0,0,22,0,20,0,0.05,0.21
PFC,Terran Campbell,14,f,90,0,1,0,3,0,18,2,14,3,0.33,0.21
VFC,Mastanabal Kacher,7,f,90,0,1,0,1,0,28,3,8,0,0.31,0.21
Y9,Jace Kotsopoulos,12,f,90,0,0,0,0,0,22,0,13,6,0.06,0.21
CFC,Oliver Minatel,7,f,90,0,2,0,1,0,24,0,10,0,0.34,0.18
ATO,Malcolm Isaiah Shaw,19,f,90,0,1,0,2,1,19,0,14,1,0.51,0.18
VFC,Shaan Hundal,11,f,90,0,3,2,2,2,16,1,11,0,0.37,0.18
FCE,Tomi Ameobi,18,f,90,0,1,0,1,0,20,0,12,0,0.18,0.15
FCE,Easton Ongaro,19,f,90,0,0,0,2,0,13,2,15,0,0.36,0.14
HFX,Akeem Garcia,11,f,90,1,1,0,2,2,15,0,8,2,0.26,0.13
HFX,Alessandro Riggi,10,f,90,0,0,0,0,0,11,2,14,2,0.07,0.12
VFC,Austin Ricci,9,f,90,0,0,0,2,2,13,1,7,1,0.24,0.09
Y9,Lowell Wright,80,f,90,1,0,0,3,1,10,0,8,1,0.18,0.08
CFC,Jordan Brown,9,f,90,1,0,0,2,1,13,1,5,0,0.37,0.07
Y9,Álvaro Rivero Sánchez,7,f,90,1,1,0,2,1,10,0,7,0,0.25,0.06
FCE,David Doe,26,f,90,0,0,0,0,0,10,0,7,0,0.01,0.03
Y9,Gabriel Monteiro Vasconcelos,99,f,90,0,0,0,0,0,13,0,2,0,0.02,0.01
FFC,Gabriel Wiethaeuper-Balbinotti,20,f,90,0,0,0,0,0,0,0,0,0,0.04,0.0
