game,s,d,m,hs,as,home,hr,away,ar,csh,csa,combined,venue,links
II1,1,7,1,0,0,Forge FC,E,Cavalry FC,E,0,0,1-7-2020 Forge FC E 0-0 E Cavalry FC,Tim Hortons Field,https://canpl.ca/schedule
II2,1,7,1,0,0,Pacific FC,E,FC Edmonton,E,0,0,1-7-2020 Pacific FC E 0-0 E FC Edmonton,Westhills Stadium,https://canpl.ca/schedule
II3,1,7,1,0,0,York9 FC,E,HFX Wanderers FC,E,0,0,1-7-2020 York9 FC E 0-0 E HFX Wanderers FC,York Lions Stadium,https://canpl.ca/schedule
II4,1,7,1,0,0,York9 FC,E,Valour FC,E,0,0,1-7-2020 York9 FC E 0-0 E Valour FC,York Lions Stadium,https://canpl.ca/schedule
II5,1,7,1,0,0,Pacific FC,E,HFX Wanderers FC,E,0,0,1-7-2020 Pacific FC E 0-0 E HFX Wanderers FC,Westhills Stadium,https://canpl.ca/schedule
II6,1,7,1,0,0,Forge FC,E,Atletico Ottawa,E,0,0,1-7-2020 Forge FC E 0-0 E Atletico Ottawa,Tim Hortons Field,https://canpl.ca/schedule
II7,1,7,1,0,0,FC Edmonton,E,Cavalry FC,E,0,0,1-7-2020 FC Edmonton E 0-0 E Cavalry FC,Clarke Field,https://canpl.ca/schedule
II8,1,7,1,0,0,FC Edmonton,E,Forge FC,E,0,0,1-7-2020 FC Edmonton E 0-0 E Forge FC,Clarke Field,https://canpl.ca/schedule
II9,1,7,1,0,0,HFX Wanderers FC,E,Atletico Ottawa,E,0,0,1-7-2020 HFX Wanderers FC E 0-0 E Atletico Ottawa,Wanderers Grounds,https://canpl.ca/schedule
II10,1,7,1,0,0,Cavalry FC,E,York9 FC,E,0,0,1-7-2020 Cavalry FC E 0-0 E York9 FC,ATCO Field,https://canpl.ca/schedule
II11,1,7,1,0,0,Pacific FC,E,Valour FC,E,0,0,1-7-2020 Pacific FC E 0-0 E Valour FC,Westhills Stadium,https://canpl.ca/schedule
II12,1,7,1,0,0,York9 FC,E,FC Edmonton,E,0,0,1-7-2020 York9 FC E 0-0 E FC Edmonton,York Lions Stadium,https://canpl.ca/schedule
II13,1,7,1,0,0,Forge FC,E,HFX Wanderers FC,E,0,0,1-7-2020 Forge FC E 0-0 E HFX Wanderers FC,Tim Hortons Field,https://canpl.ca/schedule
II14,1,7,1,0,0,Valour FC,E,Atletico Ottawa,E,0,0,1-7-2020 Valour FC E 0-0 E Atletico Ottawa,IG Field,https://canpl.ca/schedule
II15,1,7,1,0,0,Cavalry FC,E,Pacific FC,E,0,0,1-7-2020 Cavalry FC E 0-0 E Pacific FC,ATCO Field,https://canpl.ca/schedule
II16,1,7,1,0,0,York9 FC,E,Atletico Ottawa,E,0,0,1-7-2020 York9 FC E 0-0 E Atletico Ottawa,York Lions Stadium,https://canpl.ca/schedule
II17,1,7,1,0,0,Pacific FC,E,Forge FC,E,0,0,1-7-2020 Pacific FC E 0-0 E Forge FC,Westhills Stadium,https://canpl.ca/schedule
II18,1,7,1,0,0,HFX Wanderers FC,E,Cavalry FC,E,0,0,1-7-2020 HFX Wanderers FC E 0-0 E Cavalry FC,Wanderers Grounds,https://canpl.ca/schedule
II19,1,7,1,0,0,Valour FC,E,FC Edmonton,E,0,0,1-7-2020 Valour FC E 0-0 E FC Edmonton,IG Field,https://canpl.ca/schedule
II20,1,7,1,0,0,FC Edmonton,E,Pacific FC,E,0,0,1-7-2020 FC Edmonton E 0-0 E Pacific FC,Clarke Field,https://canpl.ca/schedule
II21,1,7,1,0,0,Forge FC,E,Valour FC,E,0,0,1-7-2020 Forge FC E 0-0 E Valour FC,Tim Hortons Field,https://canpl.ca/schedule
II22,1,7,1,0,0,Atletico Ottawa,E,HFX Wanderers FC,E,0,0,1-7-2020 Atletico Ottawa E 0-0 E HFX Wanderers FC,TD Place Stadium,https://canpl.ca/schedule
II23,1,7,1,0,0,Cavalry FC,E,York9 FC,E,0,0,1-7-2020 Cavalry FC E 0-0 E York9 FC,ATCO Field,https://canpl.ca/schedule
II24,1,7,1,0,0,York9 FC,E,FC Edmonton,E,0,0,1-7-2020 York9 FC E 0-0 E FC Edmonton,York Lions Stadium,https://canpl.ca/schedule
II25,1,7,1,0,0,Atletico Ottawa,E,Pacific FC,E,0,0,1-7-2020 Atletico Ottawa E 0-0 E Pacific FC,TD Place Stadium,https://canpl.ca/schedule
II26,1,7,1,0,0,Cavalry FC,E,Valour FC,E,0,0,1-7-2020 Cavalry FC E 0-0 E Valour FC,ATCO Field,https://canpl.ca/schedule
