game,s,d,m,hs,as,home,hr,away,ar,csh,csa,combined,venue,links
II1,1,13,8,2,2,Forge FC,D,Cavalry FC,D,0,0,8-13-2020 Forge FC D 2-2 D Cavalry FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7st0tt53e4ksjueglfgouulg4/highlights
II2,1,15,8,2,2,York9 FC,D,Atlético Ottawa,D,0,0,8-15-2020 York9 FC D 2-2 D Atlético Ottawa,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7sxxjco5mob1kgt5i4e2mw00k/highlights
II3,1,15,8,2,2,HFX Wanderers FC,D,Pacific FC,D,0,0,8-15-2020 HFX Wanderers FC D 2-2 D Pacific FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7t269w4kohpnnx91dmg5bwis4/highlights
II4,1,16,8,0,2,Valour FC,L,Cavalry FC,W,0,1,8-16-2020 Valour FC L 0-2 W Cavalry FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7t877d5i442n1ar3pg35nz02c/highlights
II5,1,16,8,2,0,Forge FC,W,FC Edmonton,L,1,0,8-16-2020 Forge FC W 2-0 L FC Edmonton,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7t5b01x3jsqkkavibyn5aej2s/highlights
II6,1,18,8,1,1,Pacific FC,D,York9 FC,D,0,0,8-18-2020 Pacific FC D 1-1 D York9 FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tas4i6lxq9imfed8t0627m6s/highlights
II7,1,19,8,0,4,Atlético Ottawa,L,Valour FC,W,0,1,8-19-2020 Atlético Ottawa L 0-4 W Valour FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tdd1uok6zk7bgycge748czdg/highlights
II8,1,19,8,1,1,HFX Wanderers FC,D,Forge FC,D,0,0,8-19-2020 HFX Wanderers FC D 1-1 D Forge FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tg0hh0cm7hvex18ezv8bl4pg/highlights
II9,1,20,8,0,2,FC Edmonton,L,Cavalry FC,W,0,1,8-20-2020 FC Edmonton L 0-2 W Cavalry FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tigxj35sgqjbet0qxe22v21g/highlights
II10,1,22,8,0,0,York9 FC,D,Valour FC,D,1,1,8-22-2020 York9 FC D 0-0 D Valour FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tlbzq6emywjn0z9q1pwzwxsk/highlights
II11,1,22,8,2,1,Forge FC,W,Pacific FC,L,0,0,8-22-2020 Forge FC W 2-1 L Pacific FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7to1ns52wkgk9irtdbwzdn2ms/highlights
II12,1,23,8,2,2,Atlético Ottawa,D,FC Edmonton,D,0,0,8-23-2020 Atlético Ottawa D 2-2 D FC Edmonton,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tqr229an5mqpjp1qgvl7e0pg/highlights
II13,1,23,8,2,1,Cavalry FC,W,HFX Wanderers FC,L,0,0,8-23-2020 Cavalry FC W 2-1 L HFX Wanderers FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7ttg3e5vjj75ni6bxtqwrww7o/highlights
II14,1,25,8,2,0,Pacific FC,W,Valour FC,L,1,0,8-25-2020 Pacific FC W 2-0 L Valour FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tw47791fe2i850ddmt0nthqs/highlights
II15,1,26,8,3,2,York9 FC,W,Forge FC,L,0,0,8-26-2020 York9 FC W 3-2 L Forge FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7tyu476shfl4lg1dm54shvt3o/highlights
II16,1,26,8,1,3,FC Edmonton,L,HFX Wanderers FC,W,0,0,8-26-2020 FC Edmonton L 1-3 W HFX Wanderers FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7u1iuq4d7judbzn8c1gawxp90/highlights
II17,1,27,8,2,0,Atlético Ottawa,W,Cavalry FC,L,1,0,8-27-2020 Atlético Ottawa W 2-0 L Cavalry FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7u47vp82i9898dpktaf5q6psk/highlights
II18,1,29,8,2,1,Valour FC,W,FC Edmonton,L,0,0,8-29-2020 Valour FC W 2-1 L FC Edmonton,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7u70ahhsjfxqkqyoibw4kuql0/highlights
II19,1,29,8,1,1,HFX Wanderers FC,D,York9 FC,D,0,0,8-29-2020 HFX Wanderers FC D 1-1 D York9 FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7ubxnr535nkdppzi934wdbdhw/highlights
II20,1,30,8,1,2,Cavalry FC,L,Pacific FC,W,0,0,8-30-2020 Cavalry FC L 1-2 W Pacific FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7uiktgg1hzmxb1oky4wpsigwk/highlights
II21,1,30,8,0,2,Atlético Ottawa,L,Forge FC,W,0,1,8-30-2020 Atlético Ottawa L 0-2 W Forge FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7ufagyfpmg0q5miihyn7181ec/highlights
II22,1,1,9,0,1,FC Edmonton,L,York9 FC,W,0,1,9-1-2020 FC Edmonton L 0-1 W York9 FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7ulatzc5xxyaiw5pmjxft1kb8/highlights
II23,1,2,9,0,2,Valour FC,L,HFX Wanderers FC,W,0,1,9-2-2020 Valour FC L 0-2 W HFX Wanderers FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7uo653c2y32d06v6dq2as5t04/highlights
II24,1,2,9,0,1,Pacific FC,L,Atlético Ottawa,W,0,1,9-2-2020 Pacific FC L 0-1 W Atlético Ottawa,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7uqr7tcyx5axz4fcls8m9stn8/highlights
II25,1,5,9,2,2,Forge FC,D,Valour FC,D,0,0,9-5-2020 Forge FC D 2-2 D Valour FC,UPEI Artificial Turf Field,https://canpl.ca/matchcentre/7utday42etwsaaqej3w9gmqz8/highlights
II26,1,5,9,,,Cavalry FC,E,York9 FC,E,0,0,9-5-2020 Cavalry FC E - E York9 FC,UPEI Artificial Turf Field,
II27,1,6,9,,,HFX Wanderers FC,E,Atlético Ottawa,E,0,0,9-6-2020 HFX Wanderers FC E - E Atlético Ottawa,UPEI Artificial Turf Field,
II28,1,6,9,,,Pacific FC,E,FC Edmonton,E,0,0,9-6-2020 Pacific FC E - E FC Edmonton,UPEI Artificial Turf Field,
II29,1,9,9,,,Forge FC,E,York9 FC,E,0,0,9-9-2020 Forge FC E - E York9 FC,UPEI Artificial Turf Field,
II30,1,9,9,,,Cavalry FC,E,HFX Wanderers FC,E,0,0,9-9-2020 Cavalry FC E - E HFX Wanderers FC,UPEI Artificial Turf Field,
II31,1,12,9,,,HFX Wanderers FC,E,York9 FC,E,0,0,9-12-2020 HFX Wanderers FC E - E York9 FC,UPEI Artificial Turf Field,
II32,1,12,9,,,Forge FC,E,Cavalry FC,E,0,0,9-12-2020 Forge FC E - E Cavalry FC,UPEI Artificial Turf Field,
II33,1,15,9,,,Forge FC,E,HFX Wanderers FC,E,0,0,9-15-2020 Forge FC E - E HFX Wanderers FC,UPEI Artificial Turf Field,
II34,1,15,9,,,Cavalry FC,E,York9 FC,E,0,0,9-15-2020 Cavalry FC E - E York9 FC,UPEI Artificial Turf Field,
II35,1,19,9,,,Forge FC,E,Cavalry FC,E,0,0,9-19-2020 Forge FC E - E Cavalry FC,UPEI Artificial Turf Field,
