game,home,away
II1,Forge FC,Cavalry FC
II2,York9 FC,Atlético Ottawa
II3,HFX Wanderers FC,Pacific FC
II4,Valour FC,Cavalry FC
II5,Forge FC,FC Edmonton
II6,Pacific FC,York9 FC
II7,Atlético Ottawa,Valour FC
II8,HFX Wanderers FC,Forge FC
II9,FC Edmonton,Cavalry FC
II10,York9 FC,Valour FC
II11,Forge FC,Pacific FC
II12,Atlético Ottawa,FC Edmonton
II13,Cavalry FC,HFX Wanderers FC
II14,Pacific FC,Valour FC
II15,York9 FC,Forge FC
II16,FC Edmonton,HFX Wanderers FC
II17,Atlético Ottawa,Cavalry FC
II18,Valour FC,FC Edmonton
II19,HFX Wanderers FC,York9 FC
II20,Cavalry FC,Pacific FC
II21,Atlético Ottawa,Forge FC
II22,FC Edmonton,York9 FC
II23,Valour FC,HFX Wanderers FC
II24,Pacific FC,Atlético Ottawa
II25,Forge FC,Valour FC
II26,Cavalry FC,York9 FC
II27,HFX Wanderers FC,Atlético Ottawa
II28,Pacific FC,FC Edmonton
II29,Cavalry FC,HFX Wanderers FC
II30,Forge FC,York9 FC
II31,York9 FC,HFX Wanderers FC
II32,Cavalry FC,Forge FC
II33,Cavalry FC,York9 FC
II34,Forge FC,HFX Wanderers FC
II35,Cavalry FC,Forge FC
I1,Forge FC,York9 FC
I2,Pacific FC,HFX Wanderers FC
I3,Pacific FC,Valour FC
I4,HFX Wanderers FC,Forge FC
I5,Cavalry FC,York9 FC
I6,Valour FC,FC Edmonton
I7,Forge FC,Pacific FC
I8,Cavalry FC,Valour FC
I9,Valour FC,HFX Wanderers FC
I10,Forge FC,Cavalry FC
I11,FC Edmonton,Pacific FC
I12,Valour FC,Forge FC
I13,Pacific FC,York9 FC
I14,Cavalry FC,FC Edmonton
I15,York9 FC,Forge FC
I16,Cavalry FC,HFX Wanderers FC
I17,HFX Wanderers FC,York9 FC
I18,Forge FC,FC Edmonton
I19,HFX Wanderers FC,Pacific FC
I20,FC Edmonton,Valour FC
I21,York9 FC,Pacific FC
I22,FC Edmonton,Cavalry FC
I23,Forge FC,Valour FC
I24,HFX Wanderers FC,Cavalry FC
I25,York9 FC,FC Edmonton
I26,Valour FC,Pacific FC
I27,York9 FC,HFX Wanderers FC
I28,Cavalry FC,Forge FC
I29,Pacific FC,FC Edmonton
I30,HFX Wanderers FC,Valour FC
I31,York9 FC,Cavalry FC
I32,FC Edmonton,Forge FC
I33,Valour FC,York9 FC
I34,FC Edmonton,HFX Wanderers FC
I35,Pacific FC,Cavalry FC
I36,Forge FC,FC Edmonton
I37,HFX Wanderers FC,York9 FC
I38,Pacific FC,Cavalry FC
I39,HFX Wanderers FC,Cavalry FC
I40,Pacific FC,Forge FC
I41,York9 FC,FC Edmonton
I42,Forge FC,HFX Wanderers FC
I43,York9 FC,Pacific FC
I44,FC Edmonton,Valour FC
I45,Forge FC,Valour FC
I46,Pacific FC,HFX Wanderers FC
I47,Cavalry FC,York9 FC
I48,Valour FC,Cavalry FC
I49,York9 FC,HFX Wanderers FC
I50,FC Edmonton,Forge FC
I51,Valour FC,Pacific FC
I52,FC Edmonton,HFX Wanderers FC
I53,HFX Wanderers FC,Valour FC
I54,HFX Wanderers FC,Cavalry FC
I55,York9 FC,Valour FC
I56,FC Edmonton,Pacific FC
I57,Cavalry FC,FC Edmonton
I58,York9 FC,Pacific FC
I59,Valour FC,Forge FC
I60,Valour FC,FC Edmonton
I61,Cavalry FC,York9 FC
I62,Pacific FC,Valour FC
I63,Forge FC,Cavalry FC
I64,FC Edmonton,York9 FC
I65,Valour FC,HFX Wanderers FC
I66,Cavalry FC,Pacific FC
I67,HFX Wanderers FC,FC Edmonton
I68,Valour FC,Cavalry FC
I69,Pacific FC,Forge FC
I70,Forge FC,York9 FC
I71,FC Edmonton,Cavalry FC
I72,Pacific FC,York9 FC
I73,Valour FC,Forge FC
I74,Pacific FC,FC Edmonton
I75,Forge FC,HFX Wanderers FC
I76,York9 FC,Valour FC
I77,HFX Wanderers FC,Forge FC
I78,HFX Wanderers FC,Valour FC
I79,FC Edmonton,York9 FC
I80,Cavalry FC,Pacific FC
I81,HFX Wanderers FC,FC Edmonton
I82,Forge FC,Pacific FC
I83,York9 FC,Cavalry FC
I84,Cavalry FC,Valour FC
I85,FC Edmonton,Forge FC
I86,Pacific FC,HFX Wanderers FC
I87,Valour FC,FC Edmonton
I88,Cavalry FC,HFX Wanderers FC
I89,Forge FC,York9 FC
I90,HFX Wanderers FC,Pacific FC
I91,Cavalry FC,Forge FC
I92,York9 FC,Forge FC
I93,Forge FC,Cavalry FC
I94,Valour FC,York9 FC
I95,FC Edmonton,Pacific FC
I96,York9 FC,HFX Wanderers FC
I97,Cavalry FC,FC Edmonton
I98,Pacific FC,Valour FC
