team,name,number,position,first,last,minutes,touches,passes,pass-acc,crosses,cross-acc,assists,chances,goals,shots,s-target,s-box,s-out-box,tackles,t-won,duels,d-won,clearances,interceptions,yellow,red,f-won,f-conceded,shots faced,saves,claimed crosses,cs
ATO,Ajay Khabra,23,m,Ajay,Khabra,90,38,31,92.0,0,0.0,0,0,0,1,0,1,0,0,0,7,0,1,0,0,0,0,3,0,0,0,0
ATO,Antoine Coupland,11,m,Antoine,Coupland,45,10,6,100.0,0,0.0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0
ATO,Ben Fisk,10,m,Ben,Fisk,153,68,45,73.1,4,0.0,0,2,0,1,0,0,1,2,1,12,3,1,0,0,0,1,1,0,0,0,0
ATO,Ben McKendry,22,m,Ben,McKendry,117,76,54,58.8,0,0.0,0,1,0,0,0,0,0,9,7,12,10,2,3,0,0,0,1,0,0,0,0
ATO,Evan Brandon John,4,d,Brandon,John,180,88,77,84.2,0,0.0,0,1,0,0,0,0,0,2,1,8,6,3,0,0,0,3,2,0,0,0,0
ATO,Francisco Javier Acuña Víctor,8,m,Francisco,Acuña,99,63,48,85.0,1,0.0,1,1,0,0,0,0,0,2,2,14,5,0,0,0,0,1,2,0,0,0,0
ATO,Gianfranco Facchineri,6,d,Gianfranco,Facchineri,90,48,24,87.5,0,0.0,0,0,0,1,0,1,0,8,7,14,9,3,1,0,0,1,2,0,0,0,0
ATO,Ignacio Zabal Almazán,1,g,Nacho,Zabal,180,99,75,60.5,0,0.0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,17,11,0,0
ATO,Jarred Phillips,14,d,Jarred,Phillips,36,12,6,50.0,0,0.0,0,0,0,0,0,0,0,1,1,4,1,1,0,0,0,0,1,0,0,0,0
ATO,Maksym Kowal,21,f,Maksym,Kowal,34,17,10,60.0,0,0.0,0,0,0,0,0,0,0,0,0,8,3,0,2,0,0,1,1,0,0,0,0
ATO,Malcolm Isaiah Shaw,19,f,Malcolm,Shaw,146,53,32,76.9,1,0.0,0,1,1,3,2,3,0,1,1,17,4,1,0,0,0,2,3,0,0,0,0
ATO,Malyk Hamilton,2,m,Malyk,Hamilton,180,130,76,93.2,10,0.0,0,1,0,0,0,0,0,4,2,14,5,3,4,0,0,0,4,0,0,0,0
ATO,Milovan Kapor,3,d,Milovan,Kapor,154,92,63,88.1,0,0.0,0,0,0,0,0,0,0,3,3,16,7,12,8,0,1,2,4,0,0,0,0
ATO,Mohamed Kourouma,9,f,Mohamed,Kourouma,180,101,74,78.9,4,0.0,0,1,1,7,3,3,4,3,3,20,7,0,0,0,0,3,5,0,0,0,0
ATO,Vashon Neufville,44,d,Vashon,Neufville,50,48,32,65.6,5,0.0,1,1,0,0,0,0,0,0,0,6,1,0,0,0,1,0,3,0,0,0,0
ATO,Víctor Martínez Manrique,5,m,Viti,Martínez,180,84,63,72.4,1,0.0,0,0,0,1,0,0,1,0,0,13,7,1,4,1,0,3,2,0,0,0,0
CFC,Aribim Pepple,24,f,Aribim,Pepple,35,19,7,33.3,0,0.0,0,1,0,1,1,1,0,1,0,9,2,0,0,0,0,0,2,0,0,0,0
CFC,Bruno Zebie,16,m,Bruno,Zebie,89,62,45,80.0,1,0.0,0,0,0,0,0,0,0,3,1,10,7,0,2,0,0,3,1,0,0,0,0
CFC,Dean Northover,12,d,Dean,Northover,90,56,34,58.8,0,0.0,0,0,0,1,0,0,1,0,0,8,6,1,2,0,0,3,1,0,0,0,0
CFC,Dominick Zator,4,d,Dominick,Zator,180,129,104,75.6,0,0.0,0,1,1,3,2,3,0,2,1,17,14,3,0,0,0,2,1,0,0,0,0
CFC,Elijah Adekugbe,8,m,Elijah,Adekugbe,144,121,95,90.2,7,50.0,0,4,0,0,0,0,0,3,2,12,8,0,3,2,0,3,4,0,0,0,0
CFC,Elliot Simmons,15,m,Elliot,Simmons,36,27,20,60.0,2,0.0,0,0,0,0,0,0,0,2,1,8,3,0,0,0,0,0,2,0,0,0,0
CFC,Jonathan Wheeldon,14,d,Jay,Wheeldon,90,71,58,74.1,0,0.0,0,0,0,1,0,0,1,0,0,9,4,8,0,0,0,0,2,0,0,0,0
CFC,Jordan Brown,9,f,Jordan,Brown,106,21,12,60.0,1,0.0,0,1,0,1,0,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0
CFC,Marco Carducci,1,g,Marco,Carducci,180,69,56,79.2,0,0.0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,4,2,0,1
CFC,Marcus Haber,29,f,Marcus,Haber,89,36,22,54.5,2,0.0,0,0,1,3,2,3,0,0,0,21,10,0,0,0,0,3,3,0,0,0,0
CFC,Mason Trafford,5,d,Mason,Trafford,180,126,118,80.0,0,0.0,0,0,0,0,0,0,0,0,0,5,4,4,2,0,0,1,0,0,0,0,0
CFC,Mohamed Farsi,21,d,Mohamed,Farsi,100,60,32,66.7,5,0.0,1,1,0,1,0,1,0,1,1,7,4,2,2,0,0,2,0,0,0,0,0
CFC,Nathan Mavila,3,d,Nathan,Mavila,90,51,27,74.1,2,100.0,0,1,1,1,1,1,0,1,1,13,7,0,1,0,0,2,4,0,0,0,0
CFC,Nico Pasquotti,17,f,Nico,Pasquotti,135,78,37,72.4,5,0.0,0,0,0,2,1,1,1,3,3,24,13,1,1,0,0,4,3,0,0,0,0
CFC,Nikolas Ledgerwood,6,m,Nik,Ledgerwood,91,50,31,68.0,4,66.7,1,3,0,3,1,1,2,3,3,16,6,2,0,0,0,2,4,0,0,0,0
CFC,Oliver Minatel,7,f,Oliver,Minatel,125,43,32,65.4,0,0.0,0,3,0,1,0,0,1,0,0,14,7,2,0,0,0,4,2,0,0,0,0
CFC,Robert Boskovic,25,d,Robert,Boskovic,90,70,57,73.7,0,0.0,0,0,0,0,0,0,0,2,1,7,6,2,2,1,0,3,1,0,0,0,0
CFC,Sergio Camargo,10,m,Sergio,Camargo,130,64,39,72.7,4,0.0,0,1,1,4,1,2,2,3,1,12,7,0,0,1,0,1,1,0,0,0,0
FCE,Allan Zebie,4,d,Allan,Zebie,87,38,28,92.9,0,0.0,0,0,0,1,0,1,0,1,1,6,4,0,0,0,0,0,0,0,0,0,0
FCE,Amer Didic,55,d,Amer,Didic,61,37,31,96.8,0,0.0,0,0,0,2,0,1,1,0,0,3,2,2,0,0,0,0,1,0,0,0,0
FCE,Antony Caceres,20,m,Anthony,Caceres,13,9,6,83.3,0,0.0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,2,0,0,0,0,0
FCE,Chance Carter,14,m,Chance,Carter,3,1,1,100.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCE,Connor James,1,g,Connor,James,90,29,24,79.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,0
FCE,Easton Ongaro,19,f,Easton,Ongaro,61,12,5,100.0,0,0.0,0,0,0,1,0,0,1,0,0,9,2,0,0,0,0,0,0,0,0,0,0
FCE,Erik Zetterberg,21,m,Erik,Zetterberg,90,60,45,84.4,1,100.0,0,3,0,1,0,0,1,1,1,9,4,0,2,0,0,0,2,0,0,0,0
FCE,Hanson Boakai,10,m,Hanson,Boakai,77,46,27,92.6,4,25.0,0,0,0,1,1,1,0,3,3,13,5,0,0,0,0,0,1,0,0,0,0
FCE,Jeannot Esua,3,d,Jeannot,Esua,90,67,44,77.3,3,0.0,0,1,0,0,0,0,0,0,0,7,3,6,2,0,0,2,1,0,0,0,0
FCE,Kareem Moses,12,d,Kareem,Moses,29,22,14,85.7,0,0.0,0,0,0,1,0,1,0,2,1,6,2,3,0,0,0,0,3,0,0,0,0
FCE,Keven Steven Alemán Bustos,11,m,Keven,Alemán,90,45,23,69.6,4,0.0,0,2,0,4,0,2,2,1,0,12,7,0,0,0,0,2,0,0,0,0,0
FCE,Mélé Temguia,8,d,Mélé,Temguia,90,58,45,80.0,0,0.0,0,0,0,2,1,2,0,3,2,10,5,1,3,0,0,0,2,0,0,0,0
