image,first,last,flag,number,position,overall,link,colour
Triston-Henry.jpg,Triston,Henry,Canada.png,1,g,0.79,https://en.wikipedia.org/wiki/Triston_Henry,cpl-ffc
Daniel-Krutzen.jpg,Daniel,Krutzen,Belgium.png,5,d,0.65,https://en.wikipedia.org/wiki/Daniel_Krutzen,cpl-ffc
Chrisnovic-N_sa.jpg,Chris,N'sa,Canada.png,6,d,0.57,https://en.wikipedia.org/wiki/Chrisnovic_N'sa,cpl-hfx
Kadin-Chung.png,Kadin,Chung,Canada.png,7,d,0.55,https://en.wikipedia.org/wiki/Kadin_Chung,cpl-pfc
Marco-Bustos.png,Marco,Bustos,Canada.png,10,m,0.98,https://en.wikipedia.org/wiki/Marco_Bustos,cpl-pfc
Victor-Blasco.png,Victor,Blasco,Spain.png,23,m,0.71,https://en.wikipedia.org/wiki/Victor_Blasco,cpl-pfc
Elijah-Adekugbe.jpg,Elijah,Adekugbe,England.png,8,m,0.67,https://en.wikipedia.org/wiki/Elijah_Adekugbe,cpl-cfc
Kyle-Bekker.jpg,Kyle,Bekker,Canada.png,10,m,0.66,https://en.wikipedia.org/wiki/Kyle_Bekker,cpl-ffc
Matthew-Baldisimo.png,Matthew,Baldisimo,Canada.png,8,m,0.6,https://en.wikipedia.org/wiki/Matthew_Baldisimo,cpl-pfc
Mohamed-Kourouma.jpg,Mohamed,Kourouma,Canada.png,9,f,0.57,https://en.wikipedia.org/wiki/Mohamed_Kourouma_(soccer),cpl-ao
Alejandro-Diaz.png,Alejandro,Diaz,Mexico.png,9,f,0.57,https://en.wikipedia.org/wiki/Alejandro_Díaz,cpl-pfc
