team,name,number,position,minutes,goals,tackles,t-won,clearances,interceptions,duels,d-won,overall,new_overall
FFC,Klaidi Cela,16,d,90,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.9
FCE,Duran Lee,23,d,90,0.0,4.39,2.93,3.66,0.73,17.56,10.98,0.13,0.35
FCE,Samuel Gardner,33,d,90,0.0,4.39,3.29,2.2,3.29,15.37,7.68,0.09,0.3
FCE,Terique Mohammed,57,d,90,0.0,4.16,2.38,2.67,0.59,15.15,8.02,0.28,0.27
VFC,Raphaël Garcia,2,d,90,0.0,3.46,0.0,3.46,3.46,13.85,6.92,0.02,0.25
HFX,Jake Ruby,20,d,90,0.0,3.47,1.45,2.89,1.45,13.6,8.97,0.27,0.25
HFX,Mateo Restrepo,14,d,90,0.0,4.37,3.02,2.01,2.69,10.58,7.22,0.52,0.23
HFX,Chrisnovic N'Sa,6,d,90,0.0,3.19,2.63,2.22,1.66,11.65,7.35,0.57,0.22
Y9,Ijah Halley,14,d,90,0.0,0.57,0.57,0.57,0.0,18.34,7.45,0.09,0.21
FFC,Dominic Samuel,4,d,90,0.0,2.26,0.81,2.26,1.29,13.41,7.92,0.41,0.21
FCE,Mélé Temguia,8,d,90,0.0,3.0,2.4,2.2,2.2,11.2,6.4,0.38,0.2
FFC,Jordan Dunstan,21,d,90,0.0,1.52,1.14,3.42,2.28,11.77,6.46,0.17,0.2
ATO,Gianfranco Facchineri,6,d,90,0.0,3.93,3.5,4.37,0.87,8.74,5.24,0.18,0.2
VFC,Arnold Bouka Moutou,29,d,90,0.0,2.57,1.29,0.0,1.29,14.14,6.43,0.04,0.19
CFC,Dean Northover,12,d,90,0.0,2.03,1.01,1.27,2.03,12.42,7.1,0.25,0.19
FFC,Daniel Krutzen,5,d,90,0.23,1.5,0.92,3.57,3.0,10.49,6.22,0.65,0.19
PFC,Kadin Chung,7,d,90,0.0,3.33,2.53,1.47,1.47,10.4,6.67,0.55,0.19
PFC,Lukas MacNaughton,6,d,90,0.14,1.86,1.29,4.0,1.71,10.14,6.86,0.5,0.19
PFC,Jordan Haynes,3,d,90,0.0,2.71,1.55,2.32,1.74,10.45,6.77,0.35,0.18
CFC,Mohamed Farsi,21,d,90,0.15,2.06,1.18,1.18,1.91,10.9,6.48,0.45,0.17
FFC,Kwame Awuah,6,d,90,0.14,2.45,1.63,1.63,1.63,10.47,6.39,0.51,0.17
HFX,Peter Schaale,2,d,90,0.0,1.67,1.0,5.89,1.22,8.56,4.89,0.54,0.16
FFC,Jonathan Grant,2,d,90,0.0,0.43,0.43,2.17,1.3,13.91,5.22,0.11,0.16
PFC,Marcel de Jong,17,d,90,0.0,2.05,2.05,3.58,2.81,7.41,5.11,0.27,0.16
VFC,Julian Dunn-Johnson,5,d,90,0.0,2.0,1.0,3.14,1.43,9.86,5.0,0.41,0.15
FFC,Monti Mohsen,22,d,90,0.0,1.3,1.3,1.3,0.43,10.82,6.92,0.12,0.15
HFX,Daniel Kinumbe,13,d,90,0.0,0.87,0.87,0.43,2.6,10.82,6.92,0.13,0.15
FCE,Jeannot Esua,3,d,90,0.0,0.88,0.58,3.21,2.19,9.92,5.98,0.39,0.15
Y9,Luca Gasparotto,13,d,90,0.0,1.43,0.86,6.14,1.86,7.0,4.86,0.41,0.15
VFC,Chakib Hocine,4,d,90,0.0,1.36,1.36,2.73,0.0,10.91,5.45,0.03,0.14
