team,name,number,position,minutes,goals,chances,assists,shots,s-target,passes,crosses,duels,tackles,overall,new_overall
CFC,José Hernández,20,f,90,0.0,1.76,0.0,0.88,0.0,29.12,0.88,27.35,3.53,0.1,0.9
ATO,Mohamed Kourouma,9,f,90,0.15,0.88,0.0,2.04,0.88,34.13,4.81,11.09,1.6,0.57,0.78
FFC,Kadell Thomas,17,f,90,0.0,1.04,0.35,1.38,0.35,20.77,3.46,22.85,5.54,0.33,0.78
HFX,João Morelli Neto,22,f,90,0.75,1.12,0.19,2.99,1.31,31.06,2.25,12.16,1.31,0.55,0.74
FCE,Prince Amanda,16,f,90,0.0,0.0,0.0,1.86,0.62,26.07,3.72,17.38,3.1,0.12,0.73
CFC,Jair Ayrton Córdova Carpio,19,f,90,1.27,1.27,0.0,2.54,1.27,30.42,0.0,15.21,0.0,0.07,0.72
CFC,Oluwatofarati Fakunle,25,f,90,0.0,0.0,0.0,12.86,0.0,38.57,0.0,0.0,0.0,0.0,0.71
FFC,Molham Babouli,19,f,90,0.26,1.32,0.26,1.32,0.53,27.63,1.32,16.84,1.58,0.34,0.7
FFC,Christopher Nanco,11,f,90,1.07,0.54,0.0,2.14,1.61,21.96,2.68,17.68,1.61,0.17,0.68
CFC,Aribim Pepple,24,f,90,0.0,1.34,0.0,4.03,1.34,17.46,1.34,21.49,2.69,0.07,0.68
CFC,Nico Pasquotti,17,f,90,0.0,1.01,0.0,2.01,0.34,27.15,2.85,13.74,1.01,0.41,0.66
CFC,Marcus Haber,29,f,90,0.36,1.07,0.0,2.49,1.42,21.83,2.49,18.11,0.18,0.47,0.65
FFC,Marcel Zajac,9,f,90,0.0,0.0,0.0,1.9,0.38,22.78,1.52,18.61,2.66,0.17,0.65
FCE,Marcus Velado-Tsegaye,17,f,90,0.39,0.0,0.0,4.3,1.57,28.17,1.57,10.96,0.78,0.19,0.65
FFC,Gabriel Wiethaeuper-Balbinotti,20,f,90,0.0,0.0,0.0,3.06,0.61,20.82,0.0,21.43,1.22,0.1,0.64
PFC,Alejandro Díaz Liceága,9,f,90,0.52,1.21,0.35,3.29,1.39,29.13,1.21,8.15,0.52,0.57,0.62
HFX,Alessandro Riggi,10,f,90,0.22,1.57,0.22,1.35,0.9,25.14,2.02,11.45,2.92,0.43,0.62
PFC,Terran Campbell,14,f,90,0.2,0.79,0.2,2.38,0.59,23.19,0.99,14.87,1.19,0.39,0.6
VFC,Mastanabal Kacher,7,f,90,0.25,1.5,0.0,1.75,0.25,30.75,2.5,6.25,0.25,0.27,0.58
FCE,Tomi Ameobi,18,f,90,0.0,0.63,0.0,0.94,0.63,23.52,0.0,15.68,1.57,0.18,0.58
HFX,Ibrahima Sanoh,9,f,90,0.73,0.73,0.0,2.9,0.73,19.6,0.73,17.42,0.0,0.1,0.57
ATO,Maksym Kowal,21,f,90,0.0,0.0,0.0,0.0,0.0,21.18,0.0,21.18,0.0,0.02,0.57
CFC,Oliver Minatel,7,f,90,0.0,1.19,0.2,1.39,0.4,26.37,0.99,11.1,1.19,0.36,0.57
Y9,Jace Kotsopoulos,12,f,90,0.0,0.0,0.0,0.0,0.0,22.5,0.0,12.86,6.43,0.02,0.56
VFC,Federico Peña,77,f,90,0.0,0.55,0.0,0.83,0.0,23.94,2.48,10.46,3.85,0.24,0.56
FCE,David Doe,26,f,90,0.0,0.0,0.0,0.0,0.0,21.67,1.67,15.0,1.67,0.02,0.53
FFC,Anthony Novak,23,f,90,0.51,0.77,0.0,2.05,1.54,22.05,0.0,12.05,0.77,0.28,0.53
ATO,Malcolm Isaiah Shaw,19,f,90,0.3,0.45,0.15,2.42,0.91,17.85,0.3,16.03,0.45,0.46,0.51
VFC,Daryl Fordyce,16,f,90,0.56,0.0,0.0,3.33,1.67,21.67,0.56,9.44,0.56,0.12,0.49
FCE,Easton Ongaro,19,f,90,0.56,0.75,0.0,1.88,0.56,16.31,1.31,13.12,0.38,0.34,0.45
VFC,Shaan Hundal,11,f,90,0.0,1.94,0.78,1.55,1.55,13.97,0.78,11.64,0.39,0.28,0.41
HFX,Akeem Garcia,11,f,90,0.81,0.67,0.0,2.7,1.35,15.65,0.13,9.85,0.67,0.54,0.4
VFC,Austin Ricci,9,f,90,0.0,0.74,0.0,2.22,1.23,12.58,1.23,11.84,1.48,0.27,0.39
CFC,Jordan Brown,9,f,90,0.41,0.55,0.0,2.74,0.96,14.93,1.37,8.36,0.55,0.46,0.37
Y9,Álvaro Rivero Sánchez,7,f,90,0.25,0.25,0.0,1.5,0.5,13.75,0.0,8.25,0.25,0.17,0.29
Y9,Lowell Wright,80,f,90,0.71,0.0,0.0,2.13,0.71,11.34,0.0,8.5,1.42,0.07,0.29
Y9,Gabriel Monteiro Vasconcelos,99,f,90,0.0,0.0,0.0,1.02,0.0,18.41,0.0,3.07,0.0,0.02,0.25
