team,name,number,position,minutes,cs,saves,shots faced,claimed crosses,overall,new_overall
FFC,Baj Maan,31,g,90,0.0,6.0,8.0,1.0,0.13,0.9
PFC,Callum Irving,13,g,90,0.17,3.83,5.17,0.5,0.56,0.54
ATO,Ignacio Zabal Almazán,1,g,90,0.29,3.43,5.14,0.29,0.62,0.51
PFC,Nolan Wirth,1,g,90,0.33,3.0,4.67,0.0,0.23,0.43
FFC,Triston Henry,1,g,90,0.5,2.62,3.62,0.75,0.79,0.4
HFX,Christian Oxner,50,g,90,0.33,3.17,3.83,0.17,0.48,0.4
HFX,Jason Beaulieu,1,g,90,0.0,2.5,5.0,0.0,0.24,0.4
VFC,James Pantemis,1,g,90,0.29,2.71,4.0,0.29,0.55,0.39
FCE,Dylon Powley,13,g,90,0.0,3.0,4.0,0.0,0.06,0.37
FCE,Connor James,1,g,90,0.0,1.83,4.0,0.33,0.36,0.31
Y9,Nathan Ingham,29,g,90,0.33,2.17,3.17,0.33,0.44,0.3
CFC,Nikolas Giantsopoulos,22,g,90,0.0,2.0,3.0,1.0,0.07,0.3
CFC,Marco Carducci,1,g,90,0.33,1.11,2.22,0.0,0.47,0.14
Y9,Ezequiel Carrasco,37,g,90,0.0,1.0,2.0,0.0,0.03,0.1
