team,name,position,number,nationality,dob,image,flag,link,overall,display
Atletico Ottawa,Ajay Khabra,m,0,Canada,1995-06-13,Khabra_Ajay.2.jpg,Canada.png,https://en.wikipedia.org/wiki/Ajay_Khabra,0.36,Ajay Khabra
Atletico Ottawa,Antoine Coupland,m,0,Canada,2003-12-12,Coupland_Antoine.2.jpg,Canada.png,https://en.wikipedia.org/wiki/Antoine_Coupland,0.0,Antoine Coupland
Atletico Ottawa,Ben Fisk,m,0,Canada,1993-02-04,Fisk_Ben.2.jpg,Canada.png,https://en.wikipedia.org/wiki/Ben_Fisk,0.49,Ben Fisk
Atletico Ottawa,Osah Bernardinho Tetteh,m,0,Ghana,1996-07-02,empty.jpg,Ghana.png,https://en.wikipedia.org/wiki/Bernardinho_(footballer),0.0,Bernardinho
Atletico Ottawa,Evan Brandon John,d,0,Canada,1995-01-05,John_Brandon.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Brandon_John,0.0,Brandon John
Atletico Ottawa,Francisco Javier Acuña Víctor,m,0,Mexico,1988-01-19,Acuña_Francisco.2.jpg,Mexico.png,https://en.wikipedia.org/wiki/Francisco_Acuña,0.0,Francisco Acuña
Atletico Ottawa,Olakunle Dada-Luke,f,0,Canada,2000-01-12,Dada-Luke_Kunle.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Kunle_Dada-Luke,0.0,Kunle Dada-Luke
Atletico Ottawa,Malyk Hamilton,m,0,Canada,1999-09-02,Hamilton_Malyk.2.jpg,Canada.png,https://en.wikipedia.org/wiki/Malyk_Hamilton,0.22,Malyk Hamilton
Atletico Ottawa,Michel Djaozandry,m,0,Canada,,Djaozandry_Michel.2.jpg,Canada.png,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Ottawa,0.0,Michel Djaozandry
Atletico Ottawa,Nacho Zabal,g,0,Spain,1987-02-14,empty.jpg,Spain.png,https://en.wikipedia.org/wiki/Nacho_Zabal,0.0,Nacho Zabal
Atletico Ottawa,Ricky Gomes,g,0,Canada,,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Ricky_Gomes,0.0,Ricky Gomes
Atletico Ottawa,Tevin Shaw,m,0,Jamaica,1997-02-24,empty.jpg,Jamaica.png,https://en.wikipedia.org/wiki/Tevin_Shaw,0.0,Tevin Shaw
Atletico Ottawa,Vashon Neufville,d,0,England,1999-07-18,Neufville_Vashon.2.jpg,England.png,https://en.wikipedia.org/wiki/Vashon_Neufville,0.0,Vashon Neufville
Atletico Ottawa,Víctor Martínez Manrique,m,0,Spain,1997-05-25,Martinez_Victor.2.jpg,Spain.png,https://en.wikipedia.org/wiki/Viti_Martínez,0.0,Viti Martínez
Atletico Ottawa,Malcolm Shaw,f,0,Canada,,Malcolm-Shaw.2.jpg,Canada.png,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Ottawa,0.0,Malcolm Shaw
Atletico Ottawa,Gianfranco Facchineri,d,0,Canada,2002-04-27,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Ottawa,0.0,Gianfranco Facchineri
Cavalry FC,Aribim Pepple,f,24,Canada,2002-12-25,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Aribim_Pepple,0.01,Aribim Pepple
Cavalry FC,Bruno Zebie,m,16,Canada,1995-08-14,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Bruno_Zebie,0.32,Bruno Zebie
Cavalry FC,Dominick Zator,d,4,Canada,1994-09-18,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Dominick_Zator,0.83,Dominick Zator
Cavalry FC,Elijah Adekugbe,m,8,England,1996-07-17,empty.jpg,England.png,https://en.wikipedia.org/wiki/Elijah_Adekugbe,0.47,Elijah Adekugbe
Cavalry FC,Elliot Simmons,m,15,Canada,1998-02-05,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Elliot_Simmons,0.27,Elliot Simmons
Cavalry FC,Jair Córdova,f,19,Peru,1996-08-18,empty.jpg,Peru.png,https://en.wikipedia.org/wiki/Jair_Córdova,0.0,Jair Córdova
Cavalry FC,Jonathan Wheeldon,d,14,England,1988-08-28,empty.jpg,England.png,https://en.wikipedia.org/wiki/Jonathan_Wheeldon,0.38,Jay Wheeldon
Cavalry FC,Jordan Brown,f,9,England,1996-11-10,empty.jpg,England.png,https://en.wikipedia.org/wiki/Jordan_Brown,0.39,Jordan Brown
Cavalry FC,José Escalante,m,11,Honduras,1995-05-29,empty.jpg,Honduras.png,https://en.wikipedia.org/wiki/José_Escalante,0.53,José Escalante
Cavalry FC,Jose Hernandez,f,20,Canada,2000-03-19,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Jose_Hernandez,0.27,Jose Hernandez
Cavalry FC,Marco Carducci,g,1,Canada,1995-09-25,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Marco_Carducci,0.79,Marco Carducci
Cavalry FC,Mason Trafford,d,5,Canada,1986-08-21,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Mason_Trafford,0.33,Mason Trafford
Cavalry FC,Mohamed Farsi,d,0,Canada,1999-12-16,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Mohamed_Farsi,0.0,Mohamed Farsi
Cavalry FC,Nathan Mavila,d,3,England,1993-10-15,empty.jpg,England.png,https://en.wikipedia.org/wiki/Nathan_Mavila,0.66,Nathan Mavila
Cavalry FC,Nico Pasquotti,f,17,Canada,1995-10-18,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Nico_Pasquotti,0.64,Nico Pasquotti
Cavalry FC,Nikolas Ledgerwood,m,6,Canada,1985-01-16,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Nikolas_Ledgerwood,0.36,Nik Ledgerwood
Cavalry FC,Nikolas Giantsopoulos,g,22,Canada,1994-06-24,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Nikolas_Giantsopoulos,0.18,Niko Giantsopoulos
Cavalry FC,Oliver Minatel,f,7,Brazil,1992-08-29,empty.jpg,Brazil.png,https://en.wikipedia.org/wiki/Oliver_Minatel,0.43,Oliver Minatel
Cavalry FC,Richard Luca,m,23,Brazil,1998-01-06,empty.jpg,Brazil.png,https://en.wikipedia.org/wiki/Richard_Luca,0.0,Richard Luca
Cavalry FC,Robert Boskovic,d,0,Canada,1998-07-01,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Robert_Boskovic,0.0,Robert Boskovic
Cavalry FC,Sergio Camargo,m,10,Canada,1994-08-16,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Sergio_Camargo,0.38,Sergio Camargo
FC Edmonton,Allan Zebie,d,4,Canada,1993-05-29,Allan-Zebie.1.png,Canada.png,https://en.wikipedia.org/wiki/Allan_Zebie,0.61,Allan Zebie
FC Edmonton,Amer Didic,d,55,Canada,1994-12-28,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Amer_Didic,0.58,Amer Didic
FC Edmonton,Anthony Caceres,m,0,Canada,2000-01-31,Antony-Caceres.1.png,Canada.png,https://en.wikipedia.org/wiki/Anthony_Caceres,0.0,Anthony Caceres
FC Edmonton,Chance Carter,m,0,Canada,2001-09-15,Chance-Carter.1.png,Canada.png,https://en.wikipedia.org/wiki/Chance_Carter,0.0,Chance Carter
FC Edmonton,Chris Ezoua,g,31,Canada,,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Chris_Ezoua,0.0,Chris Ezoua
FC Edmonton,Connor James,g,1,Canada,1996-07-17,Connor-James.1.png,Canada.png,https://en.wikipedia.org/wiki/Connor_James,0.71,Connor James
FC Edmonton,David Doe,f,26,Canada,2000-11-30,David-Doe.1.png,Canada.png,https://en.wikipedia.org/wiki/David_Doe,0.04,David Doe
