team,name,position,number,nationality,dob,image,flag,link,overall,display
Atlético Ottawa,Ajay Khabra,m,23,Canada,1995-06-13,Khabra_Ajay.2.jpg,Canada.png,https://en.wikipedia.org/wiki/Ajay_Khabra,0.35,Ajay Khabra
Atlético Ottawa,Antoine Coupland,m,11,Canada,2003-12-12,Coupland_Antoine.2.jpg,Canada.png,https://en.wikipedia.org/wiki/Antoine_Coupland,0.24,Antoine Coupland
Atlético Ottawa,Ben Fisk,m,10,Canada,1993-02-04,Fisk_Ben.2.jpg,Canada.png,https://en.wikipedia.org/wiki/Ben_Fisk,0.58,Ben Fisk
Atlético Ottawa,Evan Brandon John,d,4,Canada,1995-01-05,John_Brandon.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Brandon_John,0.41,Brandon John
Atlético Ottawa,Francisco Javier Acuña Víctor,m,8,Mexico,1988-01-19,Acuña_Francisco.2.jpg,Mexico.png,https://en.wikipedia.org/wiki/Francisco_Acuña,0.76,Francisco Acuña
Atlético Ottawa,Malyk Hamilton,m,2,Canada,1999-09-02,Hamilton_Malyk.2.jpg,Canada.png,https://en.wikipedia.org/wiki/Malyk_Hamilton,0.65,Malyk Hamilton
Atlético Ottawa,Michel Djaozandry,m,12,Canada,1998-02-17,Djaozandry_Michel.2.jpg,Canada.png,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Ottawa,0.19,Michel Djaozandry
Atlético Ottawa,Ignacio Zabal Almazán,g,1,Spain,1987-02-14,Nacho-Zabal.jpg,Spain.png,https://en.wikipedia.org/wiki/Nacho_Zabal,0.86,Nacho Zabal
Atlético Ottawa,Ricky Gomes,g,25,Canada,1997-07-19,Ricky-Gomes.jpg,Canada.png,https://en.wikipedia.org/wiki/Ricky_Gomes,0.05,Ricky Gomes
Atlético Ottawa,Vashon Neufville,d,44,England,1999-07-18,Neufville_Vashon.2.jpg,England.png,https://en.wikipedia.org/wiki/Vashon_Neufville,0.18,Vashon Neufville
Atlético Ottawa,Víctor Martínez Manrique,m,5,Spain,1997-05-25,Martinez_Victor.2.jpg,Spain.png,https://en.wikipedia.org/wiki/Viti_Martínez,0.49,Viti Martínez
Atlético Ottawa,Malcolm Isaiah Shaw,f,19,Canada,1995-07-27,Malcolm-Shaw.2.jpg,Canada.png,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Ottawa,0.58,Malcolm Shaw
Atlético Ottawa,Gianfranco Facchineri,d,6,Canada,2002-04-27,Gianfranco-Facchineri.jpg,Canada.png,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Ottawa,0.24,Gianfranco Facchineri
Atlético Ottawa,Matteo de Brienne,m,42,Canada,2002-05-22,Matteo-De-Brienne.jpg,Canada.png,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Ottawa,0.05,Matteo  de Brienne
Atlético Ottawa,Mohamed Kourouma,f,9,Canada,1990-08-04,Mohamed-Kourouma-1.jpg,Canada.png,https://en.wikipedia.org/wiki/Mohamed_Kourouma_(soccer),0.72,Mohamed Kourouma
Atlético Ottawa,Horace Sobze Zemo,g,30,Cameroon,1993-05-17,Horace-Sobze-Zemo.jpg,Canada.png,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Ottawa,0.05,Horace Sobze Zemo
Atlético Ottawa,Milovan Kapor,d,3,Canada,1991- 08-05,Milovan-Kapor.jpg,Canada.png,https://en.wikipedia.org/wiki/Milovan_Kapor,0.37,Milovan Kapor
Atlético Ottawa,Ben McKendry,m,22,Canada,1993-03-25,Ben-McKendry.jpg,Canada.png,https://en.wikipedia.org/wiki/Ben_McKendry,0.5,Ben McKendry
Atlético Ottawa,Jarred Phillips,d,14,Canada,1995-05-14,Jarred-Phillips.jpg,Canada.png,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Ottawa,0.24,Jarred Phillips
Atlético Ottawa,Maksym Kowal,f,21,Canada,1991-06-04,Maksym-Kowal.jpg,Canada.png,https://en.wikipedia.org/wiki/Maksym_Kowal,0.02,Maksym Kowal
Cavalry FC,Aribim Pepple,f,24,Canada,2002-12-25,Aribim-Pepple.jpg,Canada.png,https://en.wikipedia.org/wiki/Aribim_Pepple,0.07,Aribim Pepple
Cavalry FC,Bruno Zebie,m,16,Canada,1995-08-14,Bruno-Zebie.jpg,Canada.png,https://en.wikipedia.org/wiki/Bruno_Zebie,0.39,Bruno Zebie
Cavalry FC,Dominick Zator,d,4,Canada,1994-09-18,Dominick-Zator.jpg,Canada.png,https://en.wikipedia.org/wiki/Dominick_Zator,0.55,Dominick Zator
Cavalry FC,Elijah Adekugbe,m,8,England,1996-07-17,Elijah-Adekugbe.jpg,England.png,https://en.wikipedia.org/wiki/Elijah_Adekugbe,0.73,Elijah Adekugbe
Cavalry FC,Elliot Simmons,m,15,Canada,1998-02-05,Elliot-Simmons.jpg,Canada.png,https://en.wikipedia.org/wiki/Elliot_Simmons,0.45,Elliot Simmons
