name,Ast,Min,display,position,number,team
Marco Bustos,3,849,Marco Bustos,m,10,Pacific FC
Francisco Javier Acuña Víctor,2,531,Francisco Acuña,m,8,Atlético Ottawa
Brett Levis,2,383,Brett Levis,m,17,Valour FC
Alejandro Díaz Liceága,2,609,Alejandro Diaz,f,9,Pacific FC
Shaan Hundal,2,232,Shaan Hundal,f,11,Valour FC
Alex Marshall,2,583,Alex Marshall,m,7,HFX Wanderers FC
Victor Blasco,2,644,Victor Blasco,m,23,Pacific FC
Molham Babouli,2,455,Mo Babouli,f,19,Forge FC
Andre Rampersad,2,820,Andre Rampersad,m,18,HFX Wanderers FC
Paolo Sabak,2,752,Paolo Sabak,m,24,Forge FC
Maxim Tissot,2,394,Maxim Tissot,d,15,Forge FC
Oliver Minatel,1,454,Oliver Minatel,f,7,Cavalry FC
Nikolas Ledgerwood,1,411,Nik Ledgerwood,m,6,Cavalry FC
Nathan Mavila,1,709,Nathan Mavila,d,3,Cavalry FC
Elijah Adekugbe,1,638,Elijah Adekugbe,m,8,Cavalry FC
Mohamed Farsi,1,611,Mohamed Farsi,d,21,Cavalry FC
José Antonio Galán Pedrosa,1,310,José Galán,m,21,Valour FC
Matthew Baldisimo,1,875,Matthew Baldisimo,m,8,Pacific FC
Malyk Hamilton,1,630,Malyk Hamilton,m,2,Atlético Ottawa
Malcolm Isaiah Shaw,1,595,Malcolm Shaw,f,19,Atlético Ottawa
Kyle Porter,1,372,Kyle Porter,m,19,York9 FC
Josh Heard,1,218,Josh Heard,m,11,Pacific FC
Kyle Edward Bekker,1,879,Kyle Bekker,m,10,Forge FC
João Morelli Neto,1,561,João Morelli,f,22,HFX Wanderers FC
Kadell Thomas,1,283,Kadell Thomas,f,17,Forge FC
David Choinière,1,598,David Choinière,m,7,Forge FC
Kadin Chung,1,765,Kadin Chung,d,7,Pacific FC
Vashon Neufville,1,241,Vashon Neufville,d,44,Atlético Ottawa
Antony Caceres,1,248,Anthony Caceres,m,20,FC Edmonton
Terique Mohammed,1,304,Terique Mohammed,d,57,FC Edmonton
Alessandro Riggi,1,471,Alessandro Riggi,f,10,HFX Wanderers FC
Terran Campbell,1,480,Terran Campbell,f,14,Pacific FC
Zachary Verhoven,1,308,Zach Verhoven,m,16,Pacific FC
Matteo de Brienne,0,0,Matteo  de Brienne,m,42,Atlético Ottawa
Mateo Restrepo,0,626,Mateo Restrepo,d,14,HFX Wanderers FC
Mastanabal Kacher,0,360,Masta Kacher,f,7,Valour FC
Matthew Arnone,0,62,Matthew Arnone,d,17,York9 FC
Marcel Dominik Zajac,0,237,Marcel Zajac,f,9,Forge FC
Mason Trafford,0,720,Mason Trafford,d,5,Cavalry FC
Mark Village,0,0,Marcus Velado-Tsegaye,-,999,No Club FC
Marcus Velado-Tsegaye,0,230,Marcus Velado-Tsegaye,f,17,FC Edmonton
Marcus Haber,0,507,Marcus Haber,f,29,Cavalry FC
Marco Carducci,0,810,Marco Carducci,g,1,Cavalry FC
Triston Henry,0,900,Triston Henry,g,1,Forge FC
Marcel de Jong,0,442,Marcel de Jong,d,17,Pacific FC
Ryan Telfer,0,620,Ryan Telfer,m,18,York9 FC
Manuel Aparicio,0,530,Manny Aparicio,m,10,York9 FC
Matthew Silva,0,0,Matt Silva,-,999,No Club FC
Víctor Martínez Manrique,0,540,Viti Martínez,m,5,Atlético Ottawa
Maksym Kowal,0,51,Maksym Kowal,f,21,Atlético Ottawa
Luke Green,0,90,Luke Green,d,16,HFX Wanderers FC
Lukas MacNaughton,0,720,Lukas MacNaughton,d,6,Pacific FC
Luca Gasparotto,0,630,Luca Gasparotto,d,13,York9 FC
Lowell Wright,0,128,Lowell Wright,f,80,York9 FC
Louis Béland-Goyette,0,648,Louis Béland-Goyette,m,5,HFX Wanderers FC
Wataru Murofushi,0,329,Wataru Murofushi,m,23,York9 FC
Yohan Le Bourhis,0,90,Yohan Le Bourhis,d,4,Valour FC
Kwame Awuah,0,842,Kwame Awuah,d,6,Forge FC
Yong-Chan Son,0,303,Yong-Chan Son,m,7,FC Edmonton
Klaidi Cela,0,3,Klaidi Cela,d,16,Forge FC
