image,name,number,flag,overall,position,link,colour
Triston-Henry.1.jpg,Triston Henry,1,Canada.png,0.72,g,https://en.wikipedia.org/wiki/Triston_Henry,cpl-ffc
Daniel-Krutzen.1.jpg,Daniel Krutzen,5,Belgium.png,0.74,d,https://en.wikipedia.org/wiki/Daniel_Krutzen,cpl-ffc
Lukas-MacNaughton.1.png,Lukas MacNaughton,6,Canada.png,0.59,d,https://en.wikipedia.org/wiki/Lukas_MacNaughton,cpl-pfc
Dominick-Zator.jpg,Dominick Zator,4,Canada.png,0.58,d,https://en.wikipedia.org/wiki/Dominick_Zator,cpl-cfc
Marco-Bustos.1.png,Marco Bustos,10,Canada.png,0.62,m,https://en.wikipedia.org/wiki/Marco_Bustos,cpl-pfc
Kyle-Bekker.1.jpg,Kyle Edward Bekker,10,Canada.png,0.57,m,https://en.wikipedia.org/wiki/Kyle_Bekker,cpl-ffc
Sabak_Paolo.png,Paolo Sabak,24,Belgium.png,0.53,m,https://en.wikipedia.org/wiki/Paolo_Sabak,cpl-ffc
Joseph-Di-Chiara.jpg,Joseph Di Chiara,8,Canada.png,0.52,m,https://en.wikipedia.org/wiki/Joseph_Di_Chiara,cpl-y9-old
Victor-Blasco.1.png,Victor Blasco,23,Spain.png,0.52,m,https://en.wikipedia.org/wiki/Victor_Blasco,cpl-pfc
Akeem-Garcia.1.jpg,Akeem Garcia,11,TrinidadandTobago.png,0.55,f,https://en.wikipedia.org/wiki/Akeem_Garcia,cpl-hfx
Alejandro-Diaz.1.png,Alejandro Díaz Liceága,9,Mexico.png,0.52,f,https://en.wikipedia.org/wiki/Alejandro_Díaz,cpl-pfc
