team,name,Min,ExpG,ExpA,Goal,PsOnHfFl,SucflDuels,Touches,DuelLs,SucflTkls,Int,DefTouch,Clrnce,Recovery,TchsM3,Aerials,display
Cavalry,Jonathan Wheeldon,90,0.02,0.0,0,7,3,71,5,0,0,9,9,7,24,6,Jay Wheeldon
Cavalry,Jonathan Wheeldon,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Jay Wheeldon
Cavalry,Jonathan Wheeldon,90,0.0,0.0,0,2,3,64,1,0,3,5,1,4,18,3,Jay Wheeldon
Cavalry,Jonathan Wheeldon,90,0.0,0.0,0,3,4,73,4,0,2,9,7,5,19,4,Jay Wheeldon
Cavalry,Jonathan Wheeldon,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Jay Wheeldon
Cavalry,Dominick Zator,90,0.33,0.0,1,2,13,63,3,1,0,3,1,6,33,9,Dominick Zator
Cavalry,Dominick Zator,90,0.08,0.03,0,1,2,69,0,0,0,2,2,1,24,1,Dominick Zator
Cavalry,Dominick Zator,90,0.06,0.31,0,4,5,108,7,0,0,1,1,3,72,7,Dominick Zator
Cavalry,Dominick Zator,90,0.03,0.04,0,5,6,74,3,2,1,6,2,6,27,3,Dominick Zator
Cavalry,Dominick Zator,90,0.0,0.0,0,5,5,101,3,4,1,6,1,3,52,1,Dominick Zator
Cavalry,Dominick Zator,90,0.0,0.0,0,4,3,86,2,0,3,4,1,4,30,3,Dominick Zator
Cavalry,Mason Trafford,90,0.0,0.0,0,5,4,59,1,0,1,1,0,3,24,3,Mason Trafford
Cavalry,Mason Trafford,90,0.0,0.0,0,1,0,68,0,0,1,5,4,3,15,0,Mason Trafford
Cavalry,Mason Trafford,90,0.05,0.03,0,3,8,85,2,1,1,6,2,5,22,4,Mason Trafford
Cavalry,Mason Trafford,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Mason Trafford
Cavalry,Mason Trafford,90,0.0,0.0,0,1,2,64,4,2,0,5,3,1,22,2,Mason Trafford
Cavalry,Mason Trafford,90,0.28,0.0,0,3,4,46,4,1,0,4,3,3,17,5,Mason Trafford
Cavalry,Nathan Mavila,90,0.79,0.21,1,3,6,49,6,1,1,2,0,6,19,2,Nathan Mavila
Cavalry,Nathan Mavila,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Nathan Mavila
Cavalry,Nathan Mavila,90,0.0,0.05,0,3,4,88,7,0,0,1,1,4,53,4,Nathan Mavila
Cavalry,Nathan Mavila,90,0.07,0.0,1,2,5,75,9,1,2,5,2,11,18,3,Nathan Mavila
Cavalry,Nathan Mavila,90,0.46,0.03,0,1,6,61,7,0,2,2,0,3,27,5,Nathan Mavila
Cavalry,Nathan Mavila,58,0.79,0.0,1,2,2,35,4,1,0,3,0,3,14,0,Nathan Mavila
Cavalry,Mohamed Farsi,10,0.07,0.0,0,1,0,5,1,0,0,0,0,0,1,0,Mohamed Farsi
Cavalry,Mohamed Farsi,90,0.0,0.49,0,1,4,56,3,1,2,5,2,6,18,1,Mohamed Farsi
Cavalry,Mohamed Farsi,64,0.0,0.06,0,0,6,62,2,2,1,7,3,2,35,1,Mohamed Farsi
Cavalry,Mohamed Farsi,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Mohamed Farsi
Cavalry,Mohamed Farsi,71,0.0,0.06,0,2,7,67,2,3,1,5,0,4,25,1,Mohamed Farsi
