team,name,Min,ExpG,overall,ExpA,Goal,PsOnHfFl,Touches,SucflTkls,Int,DefTouch,Clrnce,Recovery,TchsM3,Aerials,DuelsW%,display,number
for,Daniel Krutzen,961,1.81,0.85,0.53,2,46,816,10,34,87,38,52,276,40,61.0,Daniel Krutzen,5
cav,Dominick Zator,900,0.65,0.71,1.04,1,50,811,12,8,47,21,48,352,39,62.0,Dominick Zator,4
hfx,Peter Schaale,900,0.31,0.66,0.55,0,34,543,11,10,87,55,39,204,41,53.0,Peter Schaale,2
pac,Thomas Meilleur-Giguère,900,0.42,0.64,0.41,0,26,725,3,25,78,46,54,226,27,50.0,Thomas Meilleur-Giguère,26
for,Kwame Awuah,842,0.08,0.63,0.6,1,38,626,16,14,51,12,51,258,22,57.0,Kwame Awuah,6
for,David Edward Edgar,900,0.95,0.62,0.27,0,33,597,5,14,77,53,41,219,25,62.0,David Edgar,30
pac,Lukas MacNaughton,720,0.88,0.6,0.2,1,33,592,9,11,54,29,40,196,30,65.0,Lukas MacNaughton,6
hfx,Mateo Restrepo,626,0.0,0.58,0.21,0,35,408,21,17,74,20,38,177,17,59.0,Mateo Restrepo,14
pac,Kadin Chung,765,0.0,0.57,0.35,0,28,641,17,10,45,12,53,289,16,60.0,Kadin Chung,7
hfx,Chrisnovic N'Sa,738,0.17,0.55,0.06,0,26,509,16,17,65,22,37,195,17,60.0,Chris N'sa,6
yor,Luca Gasparotto,630,0.46,0.51,0.0,0,28,398,5,14,66,43,20,113,30,68.0,Luca Gasparotto,13
hfx,Jems Geffrard,945,0.13,0.51,0.04,0,31,467,3,15,62,39,37,130,22,60.0,Jems Geffrard,3
cav,Nathan Mavila,709,2.22,0.5,1.1,3,22,495,6,10,27,6,42,205,20,45.0,Nathan Mavila,3
yor,Roger Thompson,630,0.09,0.49,0.22,0,22,460,4,13,51,28,32,204,27,64.0,Roger Thompson,6
for,Dominic Samuel,721,0.68,0.47,0.21,0,23,491,7,10,47,20,31,194,21,64.0,Dominic Samuel,4
cav,Mohamed Farsi,611,0.44,0.47,0.78,1,13,482,8,11,40,10,49,184,14,60.0,Mohamed Farsi,21
cav,Mason Trafford,720,0.33,0.46,0.46,0,19,517,8,11,47,25,31,184,19,56.0,Mason Trafford,5
fce,Jeannot Esua,617,0.88,0.46,0.45,0,11,471,3,12,44,24,54,203,11,64.0,Jeannot Esua,3
pac,Jordan Haynes,465,0.0,0.46,0.03,0,36,428,8,7,34,14,30,221,22,63.0,Jordan Haynes,3
fce,Ramon Soria,630,0.14,0.44,0.18,0,25,484,5,7,35,18,40,190,20,58.0,Ramon Soria,5
val,Julian Dunn-Johnson,630,0.0,0.43,0.07,0,16,378,7,11,51,22,32,103,26,57.0,Julian Dunn,5
fce,Mélé Temguia,450,0.44,0.41,0.0,0,14,353,10,12,45,15,34,149,10,59.0,Mélé Temguia,8
pac,Marcel de Jong,442,0.27,0.4,0.73,0,21,410,9,10,35,14,22,180,8,68.0,Marcel de Jong,17
yor,Morey Doner,630,0.0,0.38,0.29,0,21,467,4,12,29,10,35,200,8,50.0,Morey Doner,3
cav,Robert Boskovic,479,0.13,0.38,0.0,0,21,396,4,9,27,7,32,208,16,58.0,Robert Boskovic,25
val,Andrew Jean-Baptiste,462,0.18,0.37,0.0,1,16,280,5,8,34,20,16,100,15,59.0,Andrew Jean-Baptiste,35
ato,Evan Brandon John,618,0.0,0.36,0.47,0,13,314,5,8,39,23,17,128,16,62.0,Brandon John,4
cav,Jonathan Wheeldon,459,0.02,0.34,0.0,0,16,334,2,7,33,23,21,111,20,49.0,Jay Wheeldon,14
hfx,Jake Ruby,312,0.2,0.32,0.02,0,12,250,6,6,32,10,25,90,10,65.0,Jake Ruby,20
ato,Milovan Kapor,495,0.0,0.3,0.09,0,13,272,1,7,34,26,18,105,15,42.0,Milovan Kapor,3
hfx,Alex De Carolis,371,0.15,0.29,0.1,1,9,187,5,5,24,8,15,62,7,68.0,Alex De Carolis,24
for,Maxim Tissot,394,0.9,0.29,2.46,1,14,271,5,4,16,6,20,120,13,37.0,Maxim Tissot,15
fce,Allan Zebie,412,0.15,0.29,0.07,0,9,269,7,5,16,0,29,164,6,62.0,Allan Zebie,4
yor,Fugo Segawa,353,0.04,0.29,0.1,0,12,268,7,7,25,8,18,125,7,57.0,Fugo Segawa,26
yor,Diyaeddine Abzi,438,0.44,0.29,0.47,0,16,306,6,7,25,8,29,103,4,46.0,Diyaeddine Abzi,20
cav,Dean Northover,355,0.03,0.28,0.27,0,16,248,4,8,20,5,17,98,13,58.0,Dean Northover,12
fce,Terique Mohammed,304,0.05,0.26,0.07,0,6,206,10,4,30,11,14,72,4,51.0,Terique Mohammed,57
fce,Amer Didic,241,0.13,0.24,0.0,0,9,181,3,2,20,14,9,70,10,69.0,Amer Didic,55
for,Jordan Dunstan,254,0.0,0.24,0.03,0,10,166,3,6,23,13,6,59,16,50.0,Jordan Dunstan,21
ato,Jarred Phillips,290,0.0,0.22,0.0,0,13,173,7,6,23,6,10,60,2,42.0,Jarred Phillips,14
ato,Gianfranco Facchineri,206,0.04,0.2,0.0,0,5,89,8,2,21,10,8,37,1,57.0,Gianfranco Facchineri,6
hfx,Daniel Kinumbe,208,0.17,0.2,0.03,0,8,109,2,7,10,1,12,42,7,64.0,Daniel Kinumbe,13
ato,Vashon Neufville,241,0.0,0.19,0.74,0,12,149,1,6,12,2,15,57,7,47.0,Vashon Neufville,44
fce,Duran Lee,122,0.0,0.19,0.0,0,5,112,3,2,11,3,12,52,8,62.0,Duran Lee,23
for,Jonathan Grant,274,0.18,0.17,0.18,0,5,139,1,7,15,6,18,44,10,28.0,Jonathan Grant,2
