team,name,Min,CleanSheet,PsOnHfFl,Recovery,GoalCncd,GoalCnIBx,Saves,SvClct,SvDive,SvHands,SvInBox,SvOutBox,SvPrdSaf,SvStand,BgChncFace,ExpGAg,display
Pacific,Callum Irving,90,1,1,3,0,0,7,5,2,7,5,2,1,1,3,2.11,Callum Irving
Pacific,Callum Irving,90,0,5,1,1,1,2,2,2,2,1,1,0,0,1,1.3,Callum Irving
Pacific,Callum Irving,90,0,0,0,1,1,6,2,2,5,5,1,2,2,3,1.56,Callum Irving
Pacific,Callum Irving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Callum Irving
Pacific,Callum Irving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Callum Irving
Pacific,Callum Irving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Callum Irving
Atlético Ottawa,Ignacio Zabal Almazán,90,0,1,3,2,2,4,2,1,3,2,2,1,1,2,1.79,Nacho Zabal
Atlético Ottawa,Ignacio Zabal Almazán,90,1,3,1,0,0,4,3,1,3,3,1,1,0,2,1.07,Nacho Zabal
Atlético Ottawa,Ignacio Zabal Almazán,90,0,1,0,4,3,7,1,5,7,5,2,5,1,2,1.99,Nacho Zabal
Atlético Ottawa,Ignacio Zabal Almazán,90,0,2,3,2,2,2,2,1,2,2,0,0,1,4,3.19,Nacho Zabal
Atlético Ottawa,Ignacio Zabal Almazán,90,1,4,1,0,0,4,3,1,3,2,2,1,1,1,0.69,Nacho Zabal
Atlético Ottawa,Ignacio Zabal Almazán,90,0,4,1,2,2,2,0,1,2,1,1,1,1,3,2.13,Nacho Zabal
Pacific,Nolan Wirth,90,0,5,0,2,2,4,3,0,4,3,1,1,3,1,1.04,Nolan Wirth
Pacific,Nolan Wirth,90,0,3,1,2,2,2,2,0,2,2,0,0,0,3,2.09,Nolan Wirth
Pacific,Nolan Wirth,90,0,3,2,1,1,1,1,0,1,0,1,0,1,1,0.63,Nolan Wirth
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Nolan Wirth
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Nolan Wirth
Pacific,Nolan Wirth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Nolan Wirth
Forge,Triston Henry,90,0,3,0,1,1,2,0,1,2,2,0,2,0,1,1.42,Triston Henry
Forge,Triston Henry,90,0,3,1,2,2,4,2,2,4,3,1,2,0,3,1.52,Triston Henry
Forge,Triston Henry,90,1,3,1,0,0,2,1,0,2,2,0,1,0,1,1.11,Triston Henry
Forge,Triston Henry,90,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.27,Triston Henry
Forge,Triston Henry,90,0,0,0,3,3,2,0,1,2,1,1,2,1,2,1.72,Triston Henry
Forge,Triston Henry,90,1,0,1,0,0,3,0,1,3,1,2,3,1,0,0.16,Triston Henry
Cavalry,Marco Carducci,90,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0.28,Marco Carducci
Cavalry,Marco Carducci,90,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.08,Marco Carducci
Cavalry,Marco Carducci,90,0,4,1,2,2,1,0,1,1,0,1,1,0,3,2.07,Marco Carducci
Cavalry,Marco Carducci,90,0,2,1,2,2,2,1,1,2,0,2,0,1,1,0.65,Marco Carducci
Cavalry,Marco Carducci,90,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.26,Marco Carducci
Cavalry,Marco Carducci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Marco Carducci
Valour,James Pantemis,90,1,3,0,0,0,3,1,1,3,1,2,1,2,0,0.39,James Pantemis
Valour,James Pantemis,90,0,2,1,2,2,6,3,2,5,5,1,2,3,2,1.35,James Pantemis
Valour,James Pantemis,90,0,0,0,2,2,1,0,1,1,1,0,1,0,3,1.79,James Pantemis
Valour,James Pantemis,90,1,0,2,0,0,3,2,1,3,2,1,0,2,0,0.37,James Pantemis
Valour,James Pantemis,90,0,0,1,1,1,1,0,1,1,1,0,1,0,2,0.77,James Pantemis
Valour,James Pantemis,90,0,1,1,2,1,3,0,3,2,2,1,2,0,0,0.44,James Pantemis
HFX Wanderers,Christian Oxner,90,1,3,1,0,0,4,1,2,3,2,2,1,1,0,0.51,Christian Oxner
HFX Wanderers,Christian Oxner,90,0,0,0,1,0,2,1,1,2,1,1,1,0,2,1.19,Christian Oxner
HFX Wanderers,Christian Oxner,90,0,0,0,1,0,3,0,0,3,3,0,2,1,0,0.34,Christian Oxner
HFX Wanderers,Christian Oxner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Christian Oxner
HFX Wanderers,Christian Oxner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Christian Oxner
HFX Wanderers,Jason Beaulieu,90,0,3,4,2,1,2,0,1,1,1,1,2,0,1,0.49,Jason Beaulieu
HFX Wanderers,Jason Beaulieu,90,0,1,2,1,1,4,1,2,3,4,0,2,0,2,1.56,Jason Beaulieu
HFX Wanderers,Jason Beaulieu,90,0,1,2,2,2,2,1,1,2,0,2,1,1,2,1.02,Jason Beaulieu
HFX Wanderers,Jason Beaulieu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Jason Beaulieu
HFX Wanderers,Jason Beaulieu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Jason Beaulieu
HFX Wanderers,Jason Beaulieu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Jason Beaulieu
York9,Nathan Ingham,90,1,1,3,0,0,3,1,2,3,1,2,1,1,0,0.47,Nathan Ingham
York9,Nathan Ingham,90,0,0,0,1,1,4,1,3,3,4,0,2,1,1,1.48,Nathan Ingham
York9,Nathan Ingham,90,0,0,0,2,2,3,0,3,3,2,1,1,0,4,2.85,Nathan Ingham
York9,Nathan Ingham,90,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.23,Nathan Ingham
York9,Nathan Ingham,90,0,1,0,2,2,0,0,0,0,0,0,0,0,2,1.32,Nathan Ingham
Edmonton,Connor James,90,0,1,0,3,3,1,1,0,1,0,1,0,1,3,0.91,Connor James
Edmonton,Connor James,90,0,3,2,2,2,2,1,2,2,2,0,0,0,2,1.27,Connor James
Edmonton,Connor James,90,0,0,2,2,1,2,2,1,2,1,1,0,1,0,0.23,Connor James
Edmonton,Connor James,90,0,1,0,2,2,3,1,2,2,2,1,1,1,5,2.84,Connor James
Edmonton,Connor James,90,0,0,2,2,2,2,2,1,2,0,2,0,1,1,0.64,Connor James
Edmonton,Connor James,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Connor James
Edmonton,Dylon Powley,90,0,2,2,1,0,3,1,3,3,1,2,2,0,1,1.09,Dylon Powley
Edmonton,Dylon Powley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Dylon Powley
Edmonton,Dylon Powley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Dylon Powley
Edmonton,Dylon Powley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Dylon Powley
Edmonton,Dylon Powley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Dylon Powley
Edmonton,Dylon Powley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Dylon Powley
Cavalry,Nikolas Giantsopoulos,90,0,3,0,1,1,2,0,2,2,2,0,2,0,1,1.07,Niko Giantsopoulos
Cavalry,Nikolas Giantsopoulos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Niko Giantsopoulos
