team,Age,pos,name,overall,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,Crosses,Touches,TcklMade%,Pass%,DuelsW%,display
Pacific,24.0,rm,Marco Bustos,0.62,90,0.3,0.24,0.56,0.0,0.0,0.11,0.33,3.33,58.67,2.47,9.44,6.33,Marco Bustos
Cavalry,25.0,lm,Nathan Mavila,0.59,90,0.28,0.14,0.38,0.25,0.0,0.0,0.12,5.75,61.88,7.81,9.12,5.62,Nathan Mavila
Forge,30.0,cm,Kyle Edward Bekker,0.57,90,0.13,0.08,0.3,0.0,0.0,0.1,0.1,4.9,55.6,4.64,7.6,4.6,Kyle Bekker
Forge,21.0,cm,Paolo Sabak,0.53,90,0.31,0.24,0.25,0.25,0.0,0.0,0.25,1.12,55.88,5.0,9.75,6.38,Paolo Sabak
Pacific,26.0,lm,Victor Blasco,0.52,90,0.42,0.31,0.29,0.0,0.0,0.0,0.29,6.0,63.0,10.71,10.71,8.0,Victor Blasco
York United,28.0,cm,Joseph Di Chiara,0.52,90,0.35,0.05,0.5,0.33,0.0,0.17,0.0,1.5,65.33,10.83,14.33,8.17,Joseph Di Chiara
Forge,24.0,cm,Alexander Börje Achinioti-Jönsson,0.52,90,0.27,0.0,0.33,0.0,0.0,0.22,0.0,0.11,48.22,8.7,9.11,6.89,Alexander Achinioti-Jönsson
HFX Wanderers,24.0,cam,João Morelli Neto,0.49,90,0.48,0.06,0.67,0.33,0.0,0.0,0.17,3.0,52.83,6.67,11.67,6.83,João Morelli
Cavalry,24.0,cm,Elijah Adekugbe,0.49,90,0.07,0.09,0.14,0.0,0.0,0.0,0.14,4.57,78.14,10.71,12.14,9.0,Elijah Adekugbe
Cavalry,21.0,rm,Mohamed Farsi,0.46,90,0.06,0.11,0.14,0.0,0.0,0.0,0.14,5.14,68.86,9.74,10.57,8.57,Mohamed Farsi
