team,name,number,position,minutes,goals,tackles,t-won,clearances,interceptions,duels,d-won,overall
FFC,Daniel Krutzen,5,d,781,2,13,8,31,26,91,54,0.75
HFX,Chrisnovic N'Sa,6,d,649,0,23,19,16,12,84,53,0.65
PFC,Kadin Chung,7,d,675,0,25,19,11,11,78,50,0.63
HFX,Peter Schaale,2,d,810,0,15,9,53,11,77,44,0.62
CFC,Dominick Zator,4,d,900,1,15,12,21,8,80,49,0.62
HFX,Mateo Restrepo,14,d,536,0,26,18,12,16,63,43,0.6
FFC,Kwame Awuah,6,d,662,1,18,12,12,12,77,47,0.59
CFC,Nathan Mavila,3,d,709,3,10,7,6,8,94,42,0.59
PFC,Lukas MacNaughton,6,d,630,1,13,9,28,12,71,48,0.58
CFC,Mohamed Farsi,21,d,611,1,14,8,8,13,74,44,0.52
Y9,Luca Gasparotto,13,d,630,0,10,6,43,13,49,34,0.48
PFC,Thomas Meilleur-Giguère,26,d,810,0,6,3,44,22,42,20,0.47
FFC,Dominic Samuel,4,d,557,0,14,5,14,8,83,49,0.47
VFC,Julian Dunn-Johnson,5,d,630,0,14,7,22,10,69,35,0.47
FFC,David Edgar,30,d,720,0,7,5,50,8,45,30,0.45
FCE,Jeannot Esua,3,d,617,0,6,4,22,15,68,41,0.45
FCE,Mélé Temguia,8,d,450,0,15,12,11,11,56,32,0.44
Y9,Roger Thompson,6,d,630,0,10,5,28,15,49,31,0.44
CFC,Mason Trafford,5,d,720,0,10,8,25,11,45,25,0.43
HFX,Jems Geffrard,3,d,855,0,5,4,32,16,39,23,0.42
PFC,Jordan Haynes,3,d,465,0,14,8,12,9,54,35,0.4
FCE,Ramon Soria,5,d,630,0,10,7,17,7,48,29,0.38
VFC,Andrew Jean-Baptiste,35,d,462,1,5,5,18,11,32,19,0.34
ATO,Evan Brandon John,4,d,618,0,5,3,21,7,46,29,0.34
FCE,Terique Mohammed,57,d,303,0,14,8,9,2,51,27,0.32
HFX,Alex De Carolis,24,d,371,1,9,6,7,7,32,22,0.31
PFC,Marcel de Jong,17,d,352,0,8,8,14,11,29,20,0.31
HFX,Jake Ruby,20,d,311,0,12,5,10,5,47,31,0.31
Y9,Morey Doner,3,d,630,0,5,4,11,13,37,18,0.31
CFC,Robert Boskovic,25,d,479,0,10,4,7,9,43,25,0.31
FCE,Allan Zebie,4,d,412,0,11,9,0,7,36,22,0.3
Y9,Diyaeddine Abzi,20,d,438,0,8,6,7,7,48,22,0.3
ATO,Milovan Kapor,3,d,495,0,4,4,26,10,34,16,0.3
CFC,Dean Northover,12,d,355,0,8,4,5,8,49,28,0.29
CFC,Jonathan Wheeldon,14,d,459,0,3,2,23,9,36,18,0.27
Y9,Fugo Segawa,26,d,353,0,8,7,6,7,35,18,0.26
ATO,Gianfranco Facchineri,6,d,206,0,9,8,10,2,20,12,0.21
FFC,Jordan Dunstan,21,d,237,0,4,3,9,6,31,17,0.2
ATO,Jarred Phillips,14,d,289,0,6,5,5,5,27,11,0.19
FFC,Maxim Tissot,15,d,312,0,4,3,6,3,39,13,0.19
FCE,Duran Lee,23,d,123,0,6,4,5,1,24,15,0.15
FCE,Amer Didic,55,d,241,0,4,4,9,1,16,12,0.15
HFX,Daniel Kinumbe,13,d,208,0,2,2,1,6,25,16,0.15
FFC,Monti Mohsen,22,d,208,0,3,3,3,1,25,16,0.14
ATO,Vashon Neufville,44,d,241,0,2,1,2,5,28,12,0.14
FFC,Jonathan Grant,2,d,207,0,1,1,5,3,32,12,0.13
Y9,Ijah Halley,14,d,157,0,1,1,1,0,32,13,0.1
FCE,Samuel Gardner,33,d,82,0,4,3,2,3,14,7,0.1
FCE,Kareem Moses,12,d,140,0,3,1,10,1,12,5,0.09
PFC,Abdoulaye Samake,5,d,89,0,2,2,2,3,7,3,0.07
VFC,Yohan Le Bourhis,4,d,90,1,0,0,1,0,7,5,0.07
VFC,Arnold Bouka Moutou,29,d,70,0,2,1,0,1,11,5,0.05
HFX,Luke Green,16,d,90,0,1,1,3,1,7,3,0.05
VFC,Chakib Hocine,4,d,66,0,1,1,2,0,8,4,0.04
Y9,Matthew Arnone,17,d,62,0,1,1,1,2,3,2,0.04
VFC,Raphaël Garcia,2,d,26,0,1,0,1,1,4,2,0.02
FFC,Klaidi Cela,16,d,2,0,0,0,0,0,2,0,0.0
