team,name,number,position,minutes,goals,tackles,t-won,clearances,interceptions,duels,d-won,overall
PFC,Kadin Chung,7,d,90,0,3,2,3,1,17,13,0.66
PFC,Jordan Haynes,3,d,90,0,4,2,1,3,13,7,0.62
CFC,Dominick Zator,4,d,90,1,2,1,1,0,15,12,0.61
FFC,Daniel Krutzen,5,d,90,0,2,2,4,3,13,6,0.6
FFC,David Edgar,30,d,90,0,3,2,5,3,5,4,0.57
HFX,Peter Schaale,2,d,90,0,3,2,5,2,6,4,0.55
CFC,Nathan Mavila,3,d,90,1,1,1,0,1,13,7,0.53
Y9,Roger Thompson,6,d,90,0,2,2,2,3,7,5,0.51
Y9,Diyaeddine Abzi,20,d,84,0,2,2,1,2,10,6,0.5
FFC,Kwame Awuah,6,d,90,0,2,1,5,2,10,5,0.49
HFX,Jake Ruby,20,d,90,0,2,2,2,0,12,4,0.47
Y9,Luca Gasparotto,13,d,90,0,1,0,3,3,11,10,0.45
HFX,Jems Geffrard,3,d,90,0,1,1,4,2,3,2,0.37
CFC,Jonathan Wheeldon,14,d,90,0,0,0,8,0,9,4,0.35
HFX,Alex De Carolis,24,d,81,0,1,1,0,1,5,5,0.31
Y9,Morey Doner,3,d,90,0,0,0,0,5,4,3,0.3
Y9,Matthew Arnone,17,d,53,0,1,1,1,2,3,2,0.27
FFC,Jonathan Grant,2,d,78,0,0,0,5,0,10,2,0.27
PFC,Thomas Meilleur-Giguère,26,d,90,0,0,0,4,2,3,1,0.26
PFC,Lukas MacNaughton,6,d,90,0,0,0,2,0,7,4,0.24
CFC,Mason Trafford,5,d,90,0,0,0,0,1,5,4,0.22
FFC,Dominic Samuel,4,d,12,0,1,0,0,0,2,2,0.08
Y9,Ijah Halley,14,d,6,0,0,0,0,0,5,2,0.06
PFC,Marcel de Jong,17,d,7,0,0,0,1,0,2,0,0.04
FFC,Maxim Tissot,15,d,10,0,0,0,1,0,2,0,0.04
CFC,Mohamed Farsi,21,d,10,0,0,0,0,0,0,0,0.01
HFX,Mateo Restrepo,14,d,9,0,0,0,0,0,0,0,0.01
