Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,week,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
1,1,7yfwpe3tltsxez80puqy7hoet,95575,90,28,Central Midfielder,Joseph,Di Chiara,J. Di Chiara,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,102,45,47,0.13,0,0,0.04,0,0,0,1,1,2,0,0,6,0,0,0,118,5,0,3,1,5,60.0%,1,0,6,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,18,20,80,3,19.6%,90.2%,68,9,15,12,15,75,0,18.8,2,100.0%,1,0.00,12,0,0,0,0,1,80.0%,2,3,0,0.13,0.00,0.13,1,0,HFX vs Y9,2020-08-29,7ubxnr535nkdppzi934wdbdhw,15376,7yfwpe3tltsxez80puqy7hoet:2126256,HFX vs Y9 (2020-08-29)
2,1,7lqj7hx4na2kvl5doan797vmx,250776,90,25,Right Centre Back,Dominick,Zator,D. Zator,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,96,53,31,0.06,0,0,0.31,0,1,0,1,1,1,0,0,5,1,0,0,108,7,0,0,0,1,-,1,0,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,31,72,1,33.3%,87.5%,56,0,28,1,29,66,0,19.4,0,42.9%,7,0.00,0,0,0,0,2,2,62.5%,1,0,0,0.00,0.06,0.06,1,0,EDM vs CAV,2020-08-21,7tigxj35sgqjbet0qxe22v21g,6925,7lqj7hx4na2kvl5doan797vmx:2126240,EDM vs CAV (2020-08-21)
3,1,9rwo2uejpeqqkmy6lgacm0ley,481367,90,25,Right Centre Back,Lukas,MacNaughton,L. MacNaughton,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,5,93,67,16,0.15,0,0,0.00,0,0,0,0,0,0,0,0,7,0,0,0,107,2,0,1,2,4,100.0%,1,0,4,1,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,68,37,2,33.3%,89.2%,26,0,57,0,61,32,0,25.9,0,80.0%,5,0.00,0,0,0,0,0,0,77.4%,2,2,0,0.00,0.15,0.15,0,0,PAC vs ATO,2020-09-03,7uqr7tcyx5axz4fcls8m9stn8,16614,9rwo2uejpeqqkmy6lgacm0ley:2126262,PAC vs ATO (2020-09-03)
4,1,d3uo72swkorck8mo41kv1yp61,423548,90,23,Left Centre Back,Daniel,Krutzen,D. Krutzen,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,88,53,23,0.06,0,0,0.00,0,0,0,0,0,1,0,0,6,1,0,0,102,3,1,0,2,7,100.0%,4,2,5,1,0,2,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,35,1,47.7%,86.4%,29,0,47,0,54,34,0,25.5,0,100.0%,1,0.00,0,0,0,0,0,0,71.4%,7,0,0,0.00,0.06,0.06,0,0,HFX vs FOR,2020-08-20,7tg0hh0cm7hvex18ezv8bl4pg,15376,d3uo72swkorck8mo41kv1yp61:2126238,HFX vs FOR (2020-08-20)
5,1,7lqj7hx4na2kvl5doan797vmx,250776,90,25,Right Centre Back,Dominick,Zator,D. Zator,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,86,39,33,0.00,0,0,0.00,0,0,0,0,0,0,0,0,5,0,0,0,101,3,0,4,1,6,80.0%,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,36,52,1,51.2%,83.7%,38,4,30,8,32,46,0,21.7,1,100.0%,1,0.00,0,0,0,0,3,3,79.5%,3,3,0,0.00,0.00,0.00,0,0,ATO vs CAV,2020-08-27,7u47vp82i9898dpktaf5q6psk,16614,7lqj7hx4na2kvl5doan797vmx:2126251,ATO vs CAV (2020-08-27)
6,1,b84lif9t7gwlw9ou9izawvumt,40345,90,33,Right Centre Back,David,Edgar,D. Edgar,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,90,53,35,0.00,0,0,0.00,0,0,0,0,0,0,0,0,2,0,0,0,98,2,1,0,1,5,100.0%,3,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48,49,0,50.0%,97.8%,48,1,39,1,40,49,0,21.1,0,50.0%,2,0.00,0,0,0,0,0,0,97.8%,5,0,0,0.00,0.00,0.00,0,2,FOR vs EDM,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,6925,b84lif9t7gwlw9ou9izawvumt:2126225,FOR vs EDM (2020-08-16)
6,1,7w93cfaszi89ex6xdf9tgkp9l,199141,90,25,Right Centre Back,Mélé,Temguia,M. Temguia,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,80,45,28,0.14,0,0,0.00,0,0,0,0,0,1,0,0,9,1,0,0,98,6,2,2,2,8,80.0%,2,1,7,3,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,42,52,2,42.5%,91.3%,42,1,30,1,33,46,0,19.4,1,100.0%,3,0.00,0,0,0,0,0,0,88.2%,6,2,0,0.00,0.14,0.14,0,1,ATO vs EDM,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,16614,7w93cfaszi89ex6xdf9tgkp9l:2126243,ATO vs EDM (2020-08-23)
8,1,d3uo72swkorck8mo41kv1yp61,423548,90,23,Left Centre Back,Daniel,Krutzen,D. Krutzen,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,87,55,23,0.00,0,0,0.00,0,0,0,0,0,3,0,0,5,2,0,0,93,6,0,0,2,3,0.0%,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40,52,1,47.1%,89.7%,44,0,34,1,38,48,0,21.0,3,60.0%,5,0.00,0,0,0,0,0,0,80.5%,2,1,0,0.00,0.00,0.00,0,0,FOR vs EDM,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,6925,d3uo72swkorck8mo41kv1yp61:2126225,FOR vs EDM (2020-08-16)
9,1,br7fuyg4h8gseboweg8wjujft,225054,90,22,Left Centre Back,Thomas,Meilleur-Giguère,T. Meilleur-Giguère,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,83,59,12,0.00,0,0,0.00,0,0,0,0,0,0,0,0,3,0,0,0,92,3,0,0,0,7,-,7,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,63,29,0,31.3%,85.5%,23,0,48,0,56,27,0,25.7,0,60.0%,5,0.00,0,0,0,0,0,0,61.5%,6,1,0,0.00,0.00,0.00,0,0,PAC vs ATO,2020-09-03,7uqr7tcyx5axz4fcls8m9stn8,16614,br7fuyg4h8gseboweg8wjujft:2126262,PAC vs ATO (2020-09-03)
9,1,5m5p9c4iyl4f4j1rr1rdmojfu,481561,90,24,Central Midfielder,Elijah,Adekugbe,E. Adekugbe,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,69,48,17,0.03,0,1,0.10,0,0,1,1,2,1,0,0,9,1,0,0,92,7,1,0,1,4,25.0%,2,0,2,0,0,1,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,25,54,0,15.9%,94.2%,44,6,15,6,17,46,0,18.8,3,40.0%,5,0.00,25,0,0,0,0,4,72.7%,2,1,1,0.03,0.00,0.03,1,1,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15376,5m5p9c4iyl4f4j1rr1rdmojfu:2126244,CAV vs HFX (2020-08-24)
