Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,PassesIntoBox,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,null,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,ewjp0ru1c4fn1h5bqyqdih0wl,168287,B. Fisk,Ben Fisk,Left Attacking Midfielder,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,152275,Ben,Fisk,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Atlético Ottawa,1,90,28,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,33,14,14,0.06,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,37,4,0,0,0,0,0.00%,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,14,7,16,1,15.20%,84.80%,12,10,6,11,15,7,,0,0,0,0,0,0,0,0,0.04,0.03,0.04,0.03,0.06,0,0,0.03,2,-,-,27.80%,0,11,1,11,1,11,,,ATO vs EDM,TRUE,FALSE,FALSE,TRUE,FALSE,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,73xrv2025rnj0t3y9ayp83bec,6925,6925,Atlético Ottawa,Edmonton,EDM,2,2,Played,T 2-2,2126243,ATO vs EDM (2020-08-23)
1,eyems8p1wpp6df9w1wz6rdvpx,226323,B. McKendry,Ben McKendry,Defensive Midfielder,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,203479,Ben,McKendry,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Defensive Midfielder,Atlético Ottawa,1,40,27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,7,9,0.03,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,24,1,2,2,0,4,100.00%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12,0,22.20%,88.90%,7,6,3,6,8,4,50.00%,2,0,0,0,0,0,3,1,0.03,0,0.03,0,0.03,0,0,0.03,1,-,-,27.80%,0,11,0,11,0,11,,,ATO vs EDM,TRUE,FALSE,FALSE,TRUE,FALSE,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,73xrv2025rnj0t3y9ayp83bec,6925,6925,Atlético Ottawa,Edmonton,EDM,2,2,Played,T 2-2,2126243,ATO vs EDM (2020-08-23)
1,eb8zwnam8ieg4y7xra9x5on9x,122972,F. Acuña,Francisco Javier Acuña Víctor,Centre Attacking Midfielder,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,57342,Francisco Javier,Acuña Víctor,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Attacking Midfielder,Atlético Ottawa,1,74,33,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,5,0,38,8,25,0.33,2,0,0.1,1,0,0,3,3,5,0,0,5,3,0,0,57,5,0,2,0,2,100.00%,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,29,5,23,2,31.60%,86.80%,16,14,3,17,18,3,,0,0,1,3,1,1,1,0,0.33,0,0.33,0,0.33,3,0,0.17,2,0,0,27.80%,3,11,0,11,0,11,,,ATO vs EDM,TRUE,FALSE,FALSE,TRUE,FALSE,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,73xrv2025rnj0t3y9ayp83bec,6925,6925,Atlético Ottawa,Edmonton,EDM,2,2,Played,T 2-2,2126243,ATO vs EDM (2020-08-23)
1,8ipv2tlducl1y5qq8c8f4pdk9,212915,V. Neufville,Vashon Neufville,Left Back,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,193101,Vashon,Neufville,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Back,Atlético Ottawa,1,90,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,27,5,14,0,0,0,0.07,0,0,0,1,1,1,0,0,3,0,0,0,48,5,1,1,2,7,100.00%,1,1,4,0,3,0,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,20,17,2,55.60%,70.40%,11,5,3,5,13,9,0.00%,1,0,0,2,7,7,0,0,0,0,0,0,0,1,1,-,0,0,0,27.80%,0,11,1,11,1,11,,,ATO vs EDM,TRUE,FALSE,FALSE,TRUE,FALSE,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,73xrv2025rnj0t3y9ayp83bec,6925,6925,Atlético Ottawa,Edmonton,EDM,2,2,Played,T 2-2,2126243,ATO vs EDM (2020-08-23)
1,ddyudctrqh7j4vqoofwg0oull,298587,M. Hamilton,Malyk Hamilton,Right Back,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,232384,Malyk,Hamilton,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Back,Atlético Ottawa,1,90,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,45,13,21,0,0,1,0.08,0,0,0,1,1,2,0,0,3,0,0,0,71,5,0,2,2,8,66.70%,4,0,9,1,1,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,14,36,21,1,57.80%,75.60%,13,11,10,11,17,17,,0,0,0,3,8,8,0,0,0,0,0,0,0,0,0,-,0,0,0,27.80%,0,11,3,11,3,11,,,ATO vs EDM,TRUE,FALSE,FALSE,TRUE,FALSE,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,73xrv2025rnj0t3y9ayp83bec,6925,6925,Atlético Ottawa,Edmonton,EDM,2,2,Played,T 2-2,2126243,ATO vs EDM (2020-08-23)
1,dlkpavxvjx1hy57k8sbk21lg5,56329,Nacho Zabal,Ignacio Zabal Almazán,Goalkeeper,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,88457,Ignacio,Zabal Almazán,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Goalkeeper,Atlético Ottawa,1,90,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,26,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,1,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,0,0,0,1,0,0,2,1,1,1,1,0,1,0,0,0,0,3,0,0,0,35,0,0,100.00%,42.30%,0,0,11,0,0,26,,0,2.13,0,0,1,1,0,0,0,0,0,0,0,0,0,-,0,-,-,27.80%,0,11,0,11,0,11,,,ATO vs EDM,TRUE,FALSE,FALSE,TRUE,FALSE,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,73xrv2025rnj0t3y9ayp83bec,6925,6925,Atlético Ottawa,Edmonton,EDM,2,2,Played,T 2-2,2126243,ATO vs EDM (2020-08-23)
1,c11tg3waak6my0tyjpq9qeuzu,635204,G. Facchineri,Gianfranco Facchineri,Left Centre Back,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,438073,Gianfranco,Facchineri,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Centre Back,Atlético Ottawa,1,90,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,19,10,5,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,28,2,0,1,1,7,100.00%,5,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,20,6,0,57.90%,78.90%,5,1,9,1,6,12,100.00%,1,0,0,0,7,7,0,0,0,0,0,0,0,0,0,-,0,-,-,27.80%,0,11,0,11,0,11,,,ATO vs EDM,TRUE,FALSE,FALSE,TRUE,FALSE,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,73xrv2025rnj0t3y9ayp83bec,6925,6925,Atlético Ottawa,Edmonton,EDM,2,2,Played,T 2-2,2126243,ATO vs EDM (2020-08-23)
1,9bu481g5htyonfco9whsamve2,765150,M. Kourouma,Mohamed Kourouma,Right Attacking Midfielder,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,483062,Mohamed,Kourouma,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Attacking Midfielder,Atlético Ottawa,1,90,30,0,0,0,1,0,1,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,9,2,44,9,24,0.18,0,0,0.07,0,0,1,0,1,2,0,0,6,1,0,0,70,8,2,0,2,4,40.00%,0,0,5,0,1,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,36,6,28,3,31.80%,75.00%,12,18,3,23,17,4,0.00%,2,0,0,6,1,1,2,1,0.13,0.05,0.13,0.05,0.18,1,0,0.04,4,0.17,0,27.80%,1,11,4,11,4,11,,,ATO vs EDM,TRUE,FALSE,FALSE,TRUE,FALSE,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,73xrv2025rnj0t3y9ayp83bec,6925,6925,Atlético Ottawa,Edmonton,EDM,2,2,Played,T 2-2,2126243,ATO vs EDM (2020-08-23)
1,58elvwym7gnql18liaoa6zo16,765953,A. Khabra,Ajay Khabra,Defensive Midfielder,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,481627,Ajay,Khabra,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Defensive Midfielder,Atlético Ottawa,1,90,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,48,18,23,0,0,0,0.05,0,0,0,1,1,0,0,0,6,0,0,0,57,7,1,1,0,3,66.70%,1,1,10,1,0,2,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,13,17,27,0,39.60%,85.40%,20,11,10,12,26,10,50.00%,2,0,0,0,2,2,0,1,0,0,0,0,0,1,0,-,0,-,-,27.80%,3,11,1,11,1,11,,,ATO vs EDM,TRUE,FALSE,FALSE,TRUE,FALSE,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,73xrv2025rnj0t3y9ayp83bec,6925,6925,Atlético Ottawa,Edmonton,EDM,2,2,Played,T 2-2,2126243,ATO vs EDM (2020-08-23)
1,3e7gd7j0811kh4ibwd2wfr84p,,M. Kowal,Maksym Kowal,Centre Attacking Midfielder,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,484575,Maksym,Kowal,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Attacking Midfielder,Atlético Ottawa,1,16,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0.00%,0.00%,0,0,0,1,1,0,0.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,27.80%,0,11,0,11,0,11,,,ATO vs EDM,TRUE,FALSE,FALSE,TRUE,FALSE,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,73xrv2025rnj0t3y9ayp83bec,6925,6925,Atlético Ottawa,Edmonton,EDM,2,2,Played,T 2-2,2126243,ATO vs EDM (2020-08-23)
